CastaliaResults -i saida.txt -s Estimated network lifetime --all -o2                                                                     

ResourceManager:Estimated network lifetime (days)
 | InterfModel=0 | InterfModel=1 | InterfModel=2
 | 69.939 | 69.934 | 69.937 
ResourceManager:Estimated network lifetime (days) - all values
 | InterfModel=0 | InterfModel=1 | InterfModel=2
 0 | 69.9395 | 69.9299 | 69.9334 
 1 | 69.9392 | 69.93 | 69.9384 
 2 | 69.9435 | 69.9386 | 69.9394 
 3 | 69.9416 | 69.9301 | 69.9415 
 4 | 69.9345 | 69.9332 | 69.942 
 5 | 69.9375 | 69.9349 | 69.9394 
 6 | 69.9368 | 69.9373 | 69.9335 
 7 | 69.9392 | 69.9335 | 69.9345 
 8 | 69.9355 | 69.9361 | 69.9389 
 9 | 69.9402 | 69.9346 | 69.9364 
 10 | 69.9429 | 69.9324 | 69.9385 
 11 | 69.9344 | 69.9368 | 69.9362 
 12 | 69.9408 | 69.9395 | 69.9377 
 13 | 69.939 | 69.9303 | 69.9321 
 14 | 69.9426 | 69.9288 | 69.9346 
 15 | 69.94 | 69.9402 | 69.9389 
 16 | 69.9445 | 69.9382 | 69.9341 
 17 | 69.9418 | 69.9317 | 69.9391 
 18 | 69.9347 | 69.9326 | 69.9342 
 19 | 69.936 | 69.9335 | 69.9409 
 20 | 69.9428 | 69.9306 | 69.9415 
 21 | 69.9336 | 69.9396 | 69.9406 
 22 | 69.9439 | 69.9307 | 69.9385 
 23 | 69.9337 | 69.9291 | 69.9412 
 24 | 69.9354 | 69.9387 | 69.9323 
 25 | 69.9354 | 69.9289 | 69.9328 
 26 | 69.9416 | 69.9322 | 69.9356 
 27 | 69.9385 | 69.93 | 69.9346 
 28 | 69.9383 | 69.9313 | 69.9418 
 29 | 69.938 | 69.9352 | 69.9348 
 30 | 69.9395 | 69.9375 | 69.9338 
 31 | 69.9368 | 69.9316 | 69.9341 
 32 | 69.9359 | 69.9286 | 69.9378 
 33 | 69.9342 | 69.9328 | 69.938 
 34 | 69.9346 | 69.9322 | 69.9326 
 35 | 69.937 | 69.937 | 69.9322 
 36 | 69.9377 | 69.9375 | 69.9334 
 37 | 69.9436 | 69.9304 | 69.9353 
 38 | 69.9414 | 69.934 | 69.9337 
 39 | 69.9438 | 69.9384 | 69.9418 
 40 | 69.9414 | 69.9349 | 69.9352 
 41 | 69.9411 | 69.9374 | 69.9393 
 42 | 69.9432 | 69.9371 | 69.9428 
 43 | 69.9412 | 69.9321 | 69.9417 
 44 | 69.9374 | 69.9388 | 69.9341 
 45 | 69.9355 | 69.9353 | 69.9385 
 46 | 69.9422 | 69.9324 | 69.9333 
 47 | 69.9384 | 69.9354 | 69.9419 
 48 | 69.9411 | 69.9329 | 69.9347 
 49 | 69.9342 | 69.933 | 69.9423 
 50 | 69.9436 | 69.9303 | 69.942 
 51 | 69.9367 | 69.9352 | 69.9362 
 52 | 69.9406 | 69.9284 | 69.9327 
 53 | 69.9354 | 69.9392 | 69.9424 
 54 | 69.9414 | 69.9389 | 69.9363 
 55 | 69.9415 | 69.9382 | 69.937 
 56 | 69.9357 | 69.9325 | 69.9428 
 57 | 69.9338 | 69.9395 | 69.9323 
 58 | 69.9351 | 69.9331 | 69.9356 
 59 | 69.9382 | 69.9383 | 69.9394 
 60 | 69.9392 | 69.9316 | 69.9356 
 61 | 69.9364 | 69.9334 | 69.933 
 62 | 69.9399 | 69.9384 | 69.9361 
 63 | 69.9424 | 69.934 | 69.9408 
 64 | 69.9357 | 69.9327 | 69.9376 
 65 | 69.9348 | 69.9287 | 69.9424 
 66 | 69.9336 | 69.9327 | 69.9377 
 67 | 69.9401 | 69.9293 | 69.9364 
 68 | 69.9371 | 69.9341 | 69.9379 
 69 | 69.941 | 69.9288 | 69.9347 
 70 | 69.9435 | 69.9289 | 69.9322 
 71 | 69.9383 | 69.9324 | 69.9418 
 72 | 69.9432 | 69.937 | 69.9351 
 73 | 69.9353 | 69.9337 | 69.9325 
 74 | 69.939 | 69.9303 | 69.9356 
 75 | 69.9397 | 69.9377 | 69.9343 
 76 | 69.9412 | 69.9397 | 69.9371 
 77 | 69.9448 | 69.9305 | 69.9349 
 78 | 69.9418 | 69.9307 | 69.9344 
 79 | 69.9362 | 69.9315 | 69.9416 
 80 | 69.9345 | 69.9308 | 69.9324 
 81 | 69.9443 | 69.9329 | 69.9327 
 82 | 69.9344 | 69.9306 | 69.9338 
 83 | 69.9423 | 69.939 | 69.9424 
 84 | 69.9406 | 69.9374 | 69.9392 
 85 | 69.942 | 69.9393 | 69.9362 
 86 | 69.9337 | 69.9296 | 69.9363 
 87 | 69.9427 | 69.9305 | 69.9325 
 88 | 69.9407 | 69.9368 | 69.9399 
 89 | 69.9348 | 69.9352 | 69.9398 
 90 | 69.9361 | 69.9345 | 69.9396 
 91 | 69.9338 | 69.9338 | 69.9408 
 92 | 69.9405 | 69.934 | 69.9385 
 93 | 69.9374 | 69.939 | 69.9319 
 94 | 69.9402 | 69.9295 | 69.9426 
 95 | 69.94 | 69.9384 | 69.9381 
 96 | 69.9372 | 69.9317 | 69.9422 
 97 | 69.9358 | 69.9383 | 69.9414 
 98 | 69.9372 | 69.9305 | 69.939 
 99 | 69.9345 | 69.9292 | 69.935 

