CastaliaResults -i saida.txt -s Consumed Energy -n --all -o2                                                             

ResourceManager:Consumed Energy
 | node=0 | node=1 | node=2 | node=3 | node=4 | node=5
InterfModel=0 | 0.932 | 0.245 | 0.248 | 0.242 | 0.245 | 0.243 
InterfModel=1 | 0.933 | 0.244 | 0.248 | 0.241 | 0.246 | 0.243 
InterfModel=2 | 0.933 | 0.245 | 0.248 | 0.241 | 0.246 | 0.243 
ResourceManager:Consumed Energy - all values
 | node=0 | node=1 | node=2 | node=3 | node=4 | node=5
InterfModel=0 0 | 0.932487 | 0.245344 | 0.248155 | 0.24084 | 0.245027 | 0.243209 
InterfModel=0 1 | 0.932476 | 0.24433 | 0.248319 | 0.240875 | 0.246028 | 0.242285 
InterfModel=0 2 | 0.932443 | 0.245474 | 0.247678 | 0.242898 | 0.244542 | 0.242857 
InterfModel=0 3 | 0.932466 | 0.244455 | 0.247681 | 0.239585 | 0.244456 | 0.2451 
InterfModel=0 4 | 0.93254 | 0.244498 | 0.248146 | 0.241531 | 0.245148 | 0.241985 
InterfModel=0 5 | 0.932501 | 0.242555 | 0.247739 | 0.239781 | 0.245608 | 0.244141 
InterfModel=0 6 | 0.932508 | 0.246209 | 0.248286 | 0.242162 | 0.244128 | 0.244251 
InterfModel=0 7 | 0.932478 | 0.244737 | 0.248344 | 0.243183 | 0.24571 | 0.241925 
InterfModel=0 8 | 0.932527 | 0.243306 | 0.24843 | 0.243023 | 0.246252 | 0.242105 
InterfModel=0 9 | 0.932463 | 0.244216 | 0.247856 | 0.242283 | 0.244679 | 0.241944 
InterfModel=0 10 | 0.932428 | 0.243922 | 0.247942 | 0.240394 | 0.24568 | 0.243131 
InterfModel=0 11 | 0.932543 | 0.244214 | 0.24835 | 0.241656 | 0.246213 | 0.243874 
InterfModel=0 12 | 0.932455 | 0.244101 | 0.247699 | 0.240677 | 0.246084 | 0.244788 
InterfModel=0 13 | 0.932482 | 0.245098 | 0.248364 | 0.241555 | 0.244346 | 0.245209 
InterfModel=0 14 | 0.932433 | 0.242279 | 0.247658 | 0.2391 | 0.245001 | 0.242502 
InterfModel=0 15 | 0.932467 | 0.242908 | 0.247517 | 0.241636 | 0.243833 | 0.243674 
InterfModel=0 16 | 0.932407 | 0.245051 | 0.247897 | 0.24218 | 0.245409 | 0.242802 
InterfModel=0 17 | 0.932445 | 0.244548 | 0.247501 | 0.241019 | 0.245327 | 0.24154 
InterfModel=0 18 | 0.932541 | 0.244925 | 0.24836 | 0.242545 | 0.245728 | 0.242781 
InterfModel=0 19 | 0.93252 | 0.245189 | 0.248303 | 0.242871 | 0.245591 | 0.241807 
InterfModel=0 20 | 0.932429 | 0.244681 | 0.247787 | 0.241925 | 0.24687 | 0.243326 
InterfModel=0 21 | 0.932556 | 0.245488 | 0.248061 | 0.240809 | 0.24495 | 0.241533 
InterfModel=0 22 | 0.932432 | 0.243174 | 0.247381 | 0.24176 | 0.246164 | 0.243467 
InterfModel=0 23 | 0.932551 | 0.24471 | 0.248194 | 0.240526 | 0.24419 | 0.242264 
InterfModel=0 24 | 0.93253 | 0.244865 | 0.248367 | 0.242595 | 0.244829 | 0.244155 
InterfModel=0 25 | 0.932531 | 0.245806 | 0.248141 | 0.244103 | 0.246446 | 0.242525 
InterfModel=0 26 | 0.932446 | 0.244505 | 0.24786 | 0.240118 | 0.242966 | 0.241953 
InterfModel=0 27 | 0.932486 | 0.243545 | 0.247378 | 0.240824 | 0.24469 | 0.243172 
InterfModel=0 28 | 0.932493 | 0.245199 | 0.247831 | 0.243348 | 0.245666 | 0.242142 
InterfModel=0 29 | 0.932493 | 0.244119 | 0.247884 | 0.240133 | 0.24541 | 0.240873 
InterfModel=0 30 | 0.932474 | 0.244729 | 0.247986 | 0.239639 | 0.244615 | 0.241934 
