CastaliaResults -i saida.txt -s Packet Breakdown -n --all -o2                                                              

Communication.MAC:Packet breakdown
 | Failed, buffer overflow | Failed, busy channel | Failed, no ack | Success, first try | Success, not first try
InterfModel=0,node=1 | 0 | 19.51 | 93.6 | 2124.61 | 759.92 
InterfModel=0,node=2 | 0 | 19.05 | 19.29 | 2224.55 | 734.89 
InterfModel=0,node=3 | 0.41 | 18.69 | 186.95 | 3312.7 | 975.01 
InterfModel=0,node=4 | 1459.77 | 19.61 | 45.12 | 4834.81 | 1108.71 
InterfModel=0,node=5 | 1494.08 | 14.18 | 105.77 | 4655.59 | 1198.16 
InterfModel=1,node=1 | 0 | 21.61 | 220.91 | 1878.43 | 876.14 
InterfModel=1,node=2 | 0 | 20.76 | 149.34 | 1936.43 | 890.92 
InterfModel=1,node=3 | 221.64 | 19.67 | 347.73 | 2807.46 | 1078.43 
InterfModel=1,node=4 | 2452.51 | 21.35 | 119.08 | 3688.64 | 1185.22 
InterfModel=1,node=5 | 2559.55 | 15.17 | 239.92 | 3384.53 | 1267.83 
InterfModel=2,node=1 | 0 | 20.34 | 192.34 | 1948.44 | 836.29 
InterfModel=2,node=2 | 0 | 21.7 | 37.43 | 2258.16 | 680.49 
InterfModel=2,node=3 | 100.21 | 18.74 | 314.4 | 2982.37 | 1065.88 
InterfModel=2,node=4 | 1919.45 | 22.11 | 59.25 | 4441.81 | 1025.14 
InterfModel=2,node=5 | 1885.52 | 15.86 | 130.67 | 4321.98 | 1113.47 
Communication.MAC:Packet breakdown - all values
 | Failed, buffer overflow | Failed, busy channel | Failed, no ack | Success, first try | Success, not first try
InterfModel=0,node=1 0 | - | 23 | 72 | 2126 | 777 
InterfModel=0,node=1 1 | - | 14 | 78 | 2157 | 748 
InterfModel=0,node=1 2 | - | 17 | 76 | 2103 | 801 
InterfModel=0,node=1 3 | - | 14 | 85 | 2169 | 730 
InterfModel=0,node=1 4 | - | 14 | 109 | 2119 | 757 
InterfModel=0,node=1 5 | - | 17 | 100 | 2177 | 705 
InterfModel=0,node=1 6 | - | 19 | 89 | 2085 | 806 
InterfModel=0,node=1 7 | - | 26 | 88 | 2145 | 739 
InterfModel=0,node=1 8 | - | 26 | 77 | 2087 | 809 
InterfModel=0,node=1 9 | - | 23 | 101 | 2137 | 736 
InterfModel=0,node=1 10 | - | 29 | 90 | 2208 | 671 
InterfModel=0,node=1 11 | - | 12 | 92 | 2094 | 799 
InterfModel=0,node=1 12 | - | 17 | 101 | 2090 | 786 
InterfModel=0,node=1 13 | - | 21 | 76 | 2072 | 828 
InterfModel=0,node=1 14 | - | 23 | 95 | 2105 | 775 
InterfModel=0,node=1 15 | - | 21 | 99 | 2072 | 802 
InterfModel=0,node=1 16 | - | 24 | 85 | 2125 | 761 
InterfModel=0,node=1 17 | - | 27 | 111 | 2065 | 794 
InterfModel=0,node=1 18 | - | 17 | 88 | 2183 | 711 
InterfModel=0,node=1 19 | - | 16 | 85 | 2090 | 804 
InterfModel=0,node=1 20 | - | 27 | 101 | 2101 | 768 
InterfModel=0,node=1 21 | - | 23 | 94 | 2119 | 763 
InterfModel=0,node=1 22 | - | 12 | 95 | 2091 | 799 
InterfModel=0,node=1 23 | - | 22 | 98 | 2166 | 712 
InterfModel=0,node=1 24 | - | 20 | 80 | 2188 | 710 
InterfModel=0,node=1 25 | - | 18 | 84 | 2143 | 754 
InterfModel=0,node=1 26 | - | 31 | 59 | 2204 | 704 
InterfModel=0,node=1 27 | - | 20 | 86 | 2153 | 739 
InterfModel=0,node=1 28 | - | 28 | 98 | 2099 | 771 
InterfModel=0,node=1 29 | - | 13 | 77 | 2186 | 723 
InterfModel=0,node=1 30 | - | 16 | 109 | 2169 | 703 
InterfModel=0,node=1 31 | - | 15 | 91 | 2060 | 833 
InterfModel=0,node=1 32 | - | 10 | 93 | 2047 | 848 
InterfModel=0,node=1 33 | - | 14 | 89 | 2190 | 704 
InterfModel=0,node=1 34 | - | 17 | 106 | 2098 | 778 
InterfModel=0,node=1 35 | - | 16 | 98 | 2141 | 738 
InterfModel=0,node=1 36 | - | 21 | 93 | 2075 | 808 
InterfModel=0,node=1 37 | - | 15 | 76 | 2191 | 716 
InterfModel=0,node=1 38 | - | 25 | 114 | 2103 | 755 
InterfModel=0,node=1 39 | - | 19 | 102 | 2074 | 803 
InterfModel=0,node=1 40 | - | 23 | 75 | 2122 | 777 
InterfModel=0,node=1 41 | - | 15 | 93 | 2175 | 711 
InterfModel=0,node=1 42 | - | 23 | 96 | 2166 | 712 
InterfModel=0,node=1 43 | - | 19 | 101 | 2142 | 735 
InterfModel=0,node=1 44 | - | 19 | 103 | 2126 | 749 
InterfModel=0,node=1 45 | - | 21 | 99 | 2077 | 801 
InterfModel=0,node=1 46 | - | 16 | 79 | 2160 | 741 
InterfModel=0,node=1 47 | - | 31 | 105 | 2065 | 798 
InterfModel=0,node=1 48 | - | 17 | 113 | 2104 | 763 
InterfModel=0,node=1 49 | - | 18 | 87 | 2164 | 730 
InterfModel=0,node=1 50 | - | 13 | 93 | 2062 | 829 
InterfModel=0,node=1 51 | - | 19 | 84 | 2143 | 753 
InterfModel=0,node=1 52 | - | 15 | 89 | 2090 | 803 
InterfModel=0,node=1 53 | - | 26 | 107 | 2103 | 763 
InterfModel=0,node=1 54 | - | 18 | 117 | 2071 | 791 
InterfModel=0,node=1 55 | - | 21 | 102 | 2149 | 726 
InterfModel=0,node=1 56 | - | 23 | 116 | 2069 | 791 
