CastaliaResults -i saida.txt -s Estimated network lifetime --all -o2                                                                     

ResourceManager:Estimated network lifetime (days)
 | InterfModel=0 | InterfModel=1 | InterfModel=2
 | 69.938 | 69.933 | 69.936 
ResourceManager:Estimated network lifetime (days) - all values
 | InterfModel=0 | InterfModel=1 | InterfModel=2
 0 | 69.9389 | 69.9286 | 69.9323 
 1 | 69.9387 | 69.9289 | 69.9377 
 2 | 69.9427 | 69.9374 | 69.9384 
 3 | 69.9411 | 69.9286 | 69.9404 
 4 | 69.934 | 69.9319 | 69.9408 
 5 | 69.937 | 69.934 | 69.9383 
 6 | 69.9361 | 69.936 | 69.9326 
 7 | 69.9385 | 69.9322 | 69.9333 
 8 | 69.9349 | 69.9353 | 69.9382 
 9 | 69.9396 | 69.9332 | 69.9355 
 10 | 69.9425 | 69.9308 | 69.9375 
 11 | 69.9337 | 69.9355 | 69.9353 
 12 | 69.9402 | 69.9386 | 69.9368 
 13 | 69.9386 | 69.9291 | 69.9315 
 14 | 69.9422 | 69.9279 | 69.9334 
 15 | 69.9394 | 69.9386 | 69.9379 
 16 | 69.9438 | 69.937 | 69.9333 
 17 | 69.9413 | 69.9304 | 69.9381 
 18 | 69.934 | 69.9317 | 69.9332 
 19 | 69.9353 | 69.9319 | 69.9399 
 20 | 69.9422 | 69.9294 | 69.9409 
 21 | 69.9329 | 69.9384 | 69.9397 
 22 | 69.9431 | 69.9293 | 69.9379 
 23 | 69.9333 | 69.9282 | 69.9402 
 24 | 69.9349 | 69.9373 | 69.9315 
 25 | 69.9348 | 69.928 | 69.9317 
 26 | 69.9411 | 69.931 | 69.9347 
 27 | 69.9378 | 69.9286 | 69.9338 
 28 | 69.9379 | 69.9303 | 69.9409 
 29 | 69.9374 | 69.9336 | 69.9335 
 30 | 69.9389 | 69.9365 | 69.9326 
 31 | 69.9364 | 69.9303 | 69.9333 
 32 | 69.9353 | 69.9272 | 69.9367 
 33 | 69.9338 | 69.9317 | 69.9371 
 34 | 69.9341 | 69.9312 | 69.9317 
 35 | 69.9367 | 69.936 | 69.9311 
 36 | 69.9369 | 69.9365 | 69.9322 
 37 | 69.9428 | 69.929 | 69.9342 
 38 | 69.9407 | 69.9331 | 69.9327 
 39 | 69.9433 | 69.937 | 69.9406 
 40 | 69.9405 | 69.9337 | 69.9344 
 41 | 69.9404 | 69.9359 | 69.9383 
 42 | 69.9425 | 69.9362 | 69.9418 
 43 | 69.9405 | 69.9308 | 69.9406 
 44 | 69.9368 | 69.9375 | 69.9329 
 45 | 69.935 | 69.9344 | 69.9377 
 46 | 69.9414 | 69.931 | 69.9322 
 47 | 69.9378 | 69.9338 | 69.9412 
 48 | 69.9408 | 69.9319 | 69.9337 
 49 | 69.9336 | 69.9315 | 69.9412 
 50 | 69.9428 | 69.9291 | 69.9407 
 51 | 69.936 | 69.9338 | 69.9353 
 52 | 69.94 | 69.9272 | 69.9316 
 53 | 69.9347 | 69.9382 | 69.9416 
 54 | 69.9408 | 69.9379 | 69.9356 
 55 | 69.9409 | 69.9368 | 69.9358 
 56 | 69.9351 | 69.9315 | 69.942 
 57 | 69.9333 | 69.9382 | 69.9314 
 58 | 69.9347 | 69.9322 | 69.9346 
 59 | 69.9375 | 69.9371 | 69.9385 
 60 | 69.9385 | 69.9301 | 69.9344 
 61 | 69.936 | 69.9327 | 69.932 
 62 | 69.9394 | 69.9369 | 69.9349 
 63 | 69.9416 | 69.9328 | 69.94 
 64 | 69.9351 | 69.9315 | 69.9365 
 65 | 69.9342 | 69.9276 | 69.9415 
 66 | 69.9331 | 69.9312 | 69.9367 
 67 | 69.9393 | 69.9285 | 69.9355 
 68 | 69.9364 | 69.9328 | 69.9369 
 69 | 69.9405 | 69.9277 | 69.9336 
 70 | 69.9428 | 69.9276 | 69.9315 
 71 | 69.9377 | 69.931 | 69.9408 
 72 | 69.9427 | 69.9361 | 69.934 
 73 | 69.9345 | 69.9323 | 69.9315 
 74 | 69.9385 | 69.9291 | 69.9348 
 75 | 69.939 | 69.9363 | 69.9334 
 76 | 69.9406 | 69.9387 | 69.9359 
 77 | 69.9442 | 69.9293 | 69.9338 
 78 | 69.9412 | 69.9295 | 69.933 
 79 | 69.9357 | 69.9301 | 69.9407 
 80 | 69.9341 | 69.929 | 69.9314 
 81 | 69.9436 | 69.9317 | 69.9315 
 82 | 69.9336 | 69.9292 | 69.9327 
 83 | 69.9417 | 69.9373 | 69.9413 
 84 | 69.9401 | 69.9364 | 69.9384 
 85 | 69.9415 | 69.9382 | 69.9355 
 86 | 69.9333 | 69.9282 | 69.9352 
 87 | 69.9421 | 69.9295 | 69.9314 
 88 | 69.9401 | 69.9358 | 69.9391 
 89 | 69.9344 | 69.9341 | 69.9389 
 90 | 69.9354 | 69.9333 | 69.9388 
 91 | 69.9329 | 69.9325 | 69.9396 
 92 | 69.9401 | 69.9327 | 69.9376 
 93 | 69.9368 | 69.9378 | 69.9312 
 94 | 69.9395 | 69.9281 | 69.9416 
 95 | 69.9394 | 69.9376 | 69.9371 
 96 | 69.9367 | 69.9307 | 69.941 
 97 | 69.935 | 69.9374 | 69.9403 
 98 | 69.9369 | 69.9291 | 69.9382 
 99 | 69.9342 | 69.9282 | 69.9342 

