CastaliaResults -i saida.txt -s Energy nJ/bit -n --all -o2                                                           

Application:Energy nJ/bit
 | node=1 | node=2 | node=3 | node=4 | node=5
InterfModel=0 | 99.095 | 99.562 | 65.408 | 48.408 | 49.599 
InterfModel=1 | 101.432 | 101.988 | 67.033 | 58.923 | 63.046 
InterfModel=2 | 100.363 | 99.51 | 66.263 | 52.825 | 56.597 
Application:Energy nJ/bit - all values
 | node=1 | node=2 | node=3 | node=4 | node=5
InterfModel=0 0 | 98.7974 | 99.1655 | 65.6693 | 48.6491 | 49.0708 
InterfModel=0 1 | 99.624 | 99.5491 | 66.0827 | 48.4076 | 50.4375 
InterfModel=0 2 | 98.7974 | 99.7347 | 64.9685 | 47.6059 | 51.2437 
InterfModel=0 3 | 98.9258 | 99.5828 | 65.2624 | 49.2074 | 49.0702 
InterfModel=0 4 | 99.5122 | 99.8286 | 65.4584 | 48.0899 | 49.3844 
InterfModel=0 5 | 98.2829 | 99.6335 | 65.4312 | 48.2824 | 49.5923 
InterfModel=0 6 | 99.809 | 99.5851 | 64.9789 | 49.5801 | 48.939 
InterfModel=0 7 | 99.1885 | 100.032 | 65.5191 | 47.7906 | 49.6824 
InterfModel=0 8 | 99.0268 | 99.774 | 65.6918 | 48.6675 | 49.0326 
InterfModel=0 9 | 99.002 | 99.688 | 65.4749 | 48.5958 | 48.9578 
InterfModel=0 10 | 99.3022 | 99.6988 | 65.4539 | 47.1105 | 50.5544 
InterfModel=0 11 | 99.4387 | 99.7356 | 65.5338 | 48.38 | 49.6783 
InterfModel=0 12 | 100.007 | 99.4179 | 65.6128 | 48.7206 | 49.2167 
InterfModel=0 13 | 99.5124 | 99.6612 | 65.6046 | 49.056 | 49.6775 
InterfModel=0 14 | 98.8705 | 99.2894 | 65.9221 | 48.6326 | 48.9159 
InterfModel=0 15 | 99.9878 | 99.3756 | 65.6023 | 48.9012 | 49.2184 
InterfModel=0 16 | 98.7717 | 99.469 | 65.5325 | 48.3858 | 50.269 
InterfModel=0 17 | 98.9672 | 99.1172 | 66.0646 | 48.6618 | 49.112 
InterfModel=0 18 | 99.2427 | 99.5348 | 65.2061 | 48.4018 | 49.9946 
InterfModel=0 19 | 98.2379 | 99.7268 | 65.1453 | 47.8429 | 48.9608 
InterfModel=0 20 | 99.2593 | 99.2623 | 65.0527 | 48.2886 | 49.6617 
InterfModel=0 21 | 99.2068 | 99.9652 | 64.7768 | 48.922 | 49.0403 
InterfModel=0 22 | 98.4257 | 99.9099 | 65.0486 | 48.3981 | 50.3326 
InterfModel=0 23 | 99.498 | 99.6434 | 65.2405 | 48.868 | 48.8046 
InterfModel=0 24 | 98.7182 | 99.5388 | 65.7885 | 49.0102 | 49.4281 
InterfModel=0 25 | 98.5862 | 99.7322 | 65.5022 | 48.3231 | 49.2732 
InterfModel=0 26 | 99.6826 | 99.4045 | 65.7111 | 48.4291 | 50.5906 
InterfModel=0 27 | 98.9019 | 99.6205 | 64.7036 | 47.6512 | 49.7926 
InterfModel=0 28 | 99.1329 | 99.2001 | 65.2476 | 48.6825 | 49.7496 
InterfModel=0 29 | 99.17 | 99.3454 | 65.4847 | 47.8984 | 50.261 
InterfModel=0 30 | 99.0539 | 99.5689 | 65.6225 | 48.9853 | 49.2529 
InterfModel=0 31 | 99.0857 | 99.6094 | 66.1415 | 49.04 | 48.4247 
InterfModel=0 32 | 98.8514 | 99.6769 | 64.892 | 47.5783 | 50.1269 
InterfModel=0 33 | 99.3665 | 99.9616 | 64.7945 | 48.1505 | 50.6905 
InterfModel=0 34 | 99.0319 | 100.01 | 65.6745 | 48.5914 | 50.3256 
InterfModel=0 35 | 99.0116 | 99.6224 | 65.6611 | 49.2121 | 49.5972 
InterfModel=0 36 | 99.3488 | 100.007 | 64.8481 | 48.0784 | 49.7087 
InterfModel=0 37 | 99.1974 | 99.5069 | 65.9039 | 48.8393 | 48.9412 
InterfModel=0 38 | 99.5324 | 99.4946 | 65.4016 | 48.0585 | 49.728 
InterfModel=0 39 | 99.178 | 99.4516 | 65.5012 | 49.1961 | 48.7631 
InterfModel=0 40 | 98.7459 | 99.6095 | 65.1295 | 47.8744 | 50.0334 
InterfModel=0 41 | 98.9003 | 99.4975 | 65.1343 | 48.7106 | 49.5944 
InterfModel=0 42 | 98.9093 | 100.002 | 65.4469 | 48.8872 | 49.7118 
InterfModel=0 43 | 98.9642 | 99.3956 | 64.6712 | 49.0239 | 48.7796 
InterfModel=0 44 | 98.8566 | 99.6878 | 65.345 | 47.6367 | 50.6668 
InterfModel=0 45 | 98.9253 | 99.4605 | 65.4649 | 48.1963 | 50.2938 
InterfModel=0 46 | 98.5032 | 99.7176 | 65.3426 | 48.8698 | 49.283 
InterfModel=0 47 | 98.8913 | 99.48 | 65.5911 | 47.8515 | 50.7815 
InterfModel=0 48 | 98.3696 | 99.5211 | 65.5551 | 48.1855 | 49.3721 
InterfModel=0 49 | 98.919 | 99.5728 | 65.7601 | 48.426 | 48.8058 
