CastaliaResults -i saida.txt -s Packets received per node -n --all -o2                                                                       

Application:Packets received per node
 | index=1 | index=2 | index=3 | index=4 | index=5
InterfModel=0 | 2882.33 | 2952.23 | 4292.1 | 5758.48 | 5466.73 
InterfModel=1 | 2743.23 | 2807.58 | 3884.08 | 4292.11 | 3733.9 
InterfModel=2 | 2815.73 | 2955.69 | 4161.7 | 5182.37 | 4587.59 
Application:Packets received per node - all values
 | index=1 | index=2 | index=3 | index=4 | index=5
InterfModel=0 0 | 2896 | 2952 | 4296 | 5804 | 5474 
InterfModel=0 1 | 2878 | 2950 | 4291 | 5851 | 5408 
InterfModel=0 2 | 2893 | 2951 | 4314 | 5700 | 5396 
InterfModel=0 3 | 2890 | 2950 | 4266 | 5777 | 5407 
InterfModel=0 4 | 2894 | 2943 | 4279 | 5846 | 5404 
InterfModel=0 5 | 2858 | 2951 | 4281 | 5683 | 5484 
InterfModel=0 6 | 2868 | 2945 | 4288 | 5629 | 5571 
InterfModel=0 7 | 2872 | 2961 | 4292 | 5731 | 5482 
InterfModel=0 8 | 2887 | 2942 | 4286 | 5849 | 5412 
InterfModel=0 9 | 2882 | 2954 | 4329 | 5845 | 5322 
InterfModel=0 10 | 2876 | 2939 | 4282 | 5852 | 5450 
InterfModel=0 11 | 2881 | 2955 | 4268 | 5646 | 5510 
InterfModel=0 12 | 2877 | 2948 | 4300 | 5755 | 5506 
InterfModel=0 13 | 2877 | 2952 | 4306 | 5763 | 5526 
InterfModel=0 14 | 2893 | 2939 | 4313 | 5630 | 5584 
InterfModel=0 15 | 2876 | 2941 | 4296 | 5794 | 5620 
InterfModel=0 16 | 2889 | 2957 | 4297 | 5814 | 5381 
InterfModel=0 17 | 2882 | 2951 | 4315 | 5719 | 5437 
InterfModel=0 18 | 2876 | 2950 | 4275 | 5691 | 5636 
InterfModel=0 19 | 2892 | 2952 | 4307 | 5748 | 5710 
InterfModel=0 20 | 2868 | 2957 | 4304 | 5742 | 5421 
InterfModel=0 21 | 2874 | 2957 | 4300 | 5856 | 5493 
InterfModel=0 22 | 2862 | 2946 | 4267 | 5671 | 5548 
InterfModel=0 23 | 2867 | 2963 | 4321 | 5826 | 5458 
InterfModel=0 24 | 2883 | 2960 | 4310 | 5814 | 5440 
InterfModel=0 25 | 2878 | 2948 | 4297 | 5747 | 5465 
InterfModel=0 26 | 2893 | 2945 | 4260 | 5731 | 5442 
InterfModel=0 27 | 2876 | 2949 | 4290 | 5733 | 5438 
InterfModel=0 28 | 2894 | 2953 | 4287 | 5639 | 5471 
InterfModel=0 29 | 2893 | 2961 | 4283 | 5841 | 5377 
InterfModel=0 30 | 2885 | 2946 | 4296 | 5902 | 5409 
InterfModel=0 31 | 2887 | 2951 | 4302 | 5755 | 5469 
InterfModel=0 32 | 2873 | 2955 | 4311 | 5836 | 5269 
InterfModel=0 33 | 2886 | 2949 | 4323 | 5664 | 5552 
InterfModel=0 34 | 2891 | 2957 | 4237 | 5698 | 5460 
InterfModel=0 35 | 2883 | 2956 | 4273 | 5852 | 5444 
InterfModel=0 36 | 2871 | 2939 | 4296 | 5715 | 5529 
InterfModel=0 37 | 2892 | 2952 | 4284 | 5679 | 5661 
InterfModel=0 38 | 2879 | 2959 | 4279 | 5745 | 5480 
InterfModel=0 39 | 2854 | 2961 | 4268 | 5887 | 5302 
InterfModel=0 40 | 2890 | 2950 | 4306 | 5897 | 5404 
InterfModel=0 41 | 2889 | 2951 | 4301 | 5751 | 5440 
InterfModel=0 42 | 2871 | 2947 | 4298 | 5657 | 5585 
InterfModel=0 43 | 2907 | 2959 | 4307 | 5884 | 5270 
InterfModel=0 44 | 2879 | 2942 | 4305 | 5764 | 5399 
InterfModel=0 45 | 2897 | 2945 | 4288 | 5656 | 5592 
InterfModel=0 46 | 2876 | 2941 | 4302 | 5663 | 5497 
InterfModel=0 47 | 2870 | 2964 | 4307 | 5648 | 5467 
InterfModel=0 48 | 2876 | 2944 | 4297 | 5723 | 5497 
InterfModel=0 49 | 2892 | 2957 | 4287 | 5670 | 5467 
InterfModel=0 50 | 2880 | 2943 | 4272 | 5815 | 5347 
InterfModel=0 51 | 2909 | 2952 | 4309 | 5667 | 5574 
InterfModel=0 52 | 2899 | 2954 | 4249 | 5694 | 5587 
