CastaliaResults -i saida.txt -s Packet Breakdown -n --all -o2                                                              

Communication.MAC:Packet breakdown
 | Failed, buffer overflow | Failed, busy channel | Failed, no ack | Success, first try | Success, not first try
InterfModel=0,node=1 | 0 | 18.34 | 38.13 | 2210.02 | 731.15 
InterfModel=0,node=2 | 0 | 19.1 | 12.42 | 2255.54 | 710.62 
InterfModel=0,node=3 | 0.02 | 19.05 | 75.49 | 3458.16 | 942.73 
InterfModel=0,node=4 | 1297.46 | 17.51 | 36.96 | 5059.06 | 1057.06 
InterfModel=0,node=5 | 1449.09 | 15.82 | 72.7 | 4847.63 | 1083.03 
InterfModel=1,node=1 | 0 | 20.64 | 91.52 | 2054.47 | 830.87 
InterfModel=1,node=2 | 0 | 20.83 | 65.45 | 2085.49 | 825.77 
InterfModel=1,node=3 | 4.44 | 19.51 | 150.97 | 3252.09 | 1063.84 
InterfModel=1,node=4 | 2186.1 | 19.33 | 93.07 | 4023.08 | 1145.65 
InterfModel=1,node=5 | 2386.06 | 16.27 | 166.28 | 3720.65 | 1177.66 
InterfModel=2,node=1 | 0 | 17.91 | 74.11 | 2125.88 | 779.65 
InterfModel=2,node=2 | 0 | 19.62 | 9.45 | 2346.33 | 622.33 
InterfModel=2,node=3 | 0.57 | 18.55 | 126.54 | 3324.64 | 1023.22 
InterfModel=2,node=4 | 1770.79 | 18.98 | 58.95 | 4588.23 | 1030.47 
InterfModel=2,node=5 | 2028.28 | 15.12 | 118.47 | 4187.48 | 1117.9 
Communication.MAC:Packet breakdown - all values
 | Failed, buffer overflow | Failed, busy channel | Failed, no ack | Success, first try | Success, not first try
InterfModel=0,node=1 0 | - | 13 | 44 | 2183 | 758 
InterfModel=0,node=1 1 | - | 17 | 58 | 2202 | 721 
InterfModel=0,node=1 2 | - | 20 | 27 | 2265 | 684 
InterfModel=0,node=1 3 | - | 18 | 35 | 2254 | 691 
InterfModel=0,node=1 4 | - | 17 | 38 | 2219 | 725 
InterfModel=0,node=1 5 | - | 16 | 34 | 2249 | 698 
InterfModel=0,node=1 6 | - | 17 | 53 | 2191 | 737 
InterfModel=0,node=1 7 | - | 15 | 36 | 2196 | 751 
InterfModel=0,node=1 8 | - | 17 | 35 | 2209 | 737 
InterfModel=0,node=1 9 | - | 10 | 22 | 2280 | 685 
InterfModel=0,node=1 10 | - | 22 | 40 | 2271 | 664 
InterfModel=0,node=1 11 | - | 17 | 42 | 2203 | 736 
InterfModel=0,node=1 12 | - | 14 | 43 | 2201 | 735 
InterfModel=0,node=1 13 | - | 17 | 37 | 2165 | 778 
InterfModel=0,node=1 14 | - | 18 | 26 | 2204 | 751 
InterfModel=0,node=1 15 | - | 19 | 38 | 2192 | 748 
InterfModel=0,node=1 16 | - | 23 | 41 | 2195 | 738 
InterfModel=0,node=1 17 | - | 20 | 42 | 2155 | 779 
InterfModel=0,node=1 18 | - | 22 | 35 | 2225 | 717 
InterfModel=0,node=1 19 | - | 20 | 42 | 2182 | 752 
InterfModel=0,node=1 20 | - | 20 | 31 | 2194 | 752 
InterfModel=0,node=1 21 | - | 22 | 45 | 2192 | 740 
InterfModel=0,node=1 22 | - | 23 | 38 | 2171 | 765 
InterfModel=0,node=1 23 | - | 21 | 30 | 2253 | 692 
InterfModel=0,node=1 24 | - | 17 | 39 | 2232 | 711 
InterfModel=0,node=1 25 | - | 19 | 44 | 2234 | 702 
InterfModel=0,node=1 26 | - | 14 | 36 | 2292 | 653 
InterfModel=0,node=1 27 | - | 19 | 43 | 2241 | 694 
InterfModel=0,node=1 28 | - | 15 | 42 | 2183 | 758 
InterfModel=0,node=1 29 | - | 18 | 30 | 2267 | 684 
InterfModel=0,node=1 30 | - | 11 | 32 | 2262 | 693 
InterfModel=0,node=1 31 | - | 22 | 46 | 2191 | 739 
InterfModel=0,node=1 32 | - | 23 | 33 | 2134 | 809 
InterfModel=0,node=1 33 | - | 17 | 36 | 2263 | 681 
InterfModel=0,node=1 34 | - | 16 | 40 | 2198 | 744 
InterfModel=0,node=1 35 | - | 27 | 35 | 2195 | 742 
InterfModel=0,node=1 36 | - | 22 | 51 | 2163 | 761 
InterfModel=0,node=1 37 | - | 19 | 27 | 2236 | 716 
InterfModel=0,node=1 38 | - | 17 | 31 | 2260 | 690 
InterfModel=0,node=1 39 | - | 20 | 46 | 2181 | 749 
InterfModel=0,node=1 40 | - | 24 | 35 | 2223 | 715 
InterfModel=0,node=1 41 | - | 21 | 35 | 2247 | 694 
InterfModel=0,node=1 42 | - | 21 | 39 | 2279 | 658 
InterfModel=0,node=1 43 | - | 13 | 36 | 2154 | 794 
InterfModel=0,node=1 44 | - | 23 | 37 | 2193 | 745 
InterfModel=0,node=1 45 | - | 25 | 44 | 2210 | 719 
InterfModel=0,node=1 46 | - | 12 | 31 | 2256 | 698 
InterfModel=0,node=1 47 | - | 23 | 34 | 2160 | 780 
InterfModel=0,node=1 48 | - | 26 | 38 | 2214 | 720 
InterfModel=0,node=1 49 | - | 16 | 31 | 2273 | 678 
InterfModel=0,node=1 50 | - | 22 | 38 | 2166 | 772 
InterfModel=0,node=1 51 | - | 16 | 36 | 2214 | 733 
InterfModel=0,node=1 52 | - | 15 | 31 | 2183 | 768 
InterfModel=0,node=1 53 | - | 22 | 30 | 2243 | 704 
InterfModel=0,node=1 54 | - | 16 | 47 | 2148 | 786 
InterfModel=0,node=1 55 | - | 13 | 32 | 2234 | 718 
InterfModel=0,node=1 56 | - | 21 | 41 | 2151 | 785 
InterfModel=0,node=1 57 | - | 13 | 37 | 2234 | 715 
InterfModel=0,node=1 58 | - | 20 | 38 | 2193 | 748 
InterfModel=0,node=1 59 | - | 18 | 50 | 2157 | 772 
InterfModel=0,node=1 60 | - | 8 | 39 | 2232 | 719 
InterfModel=0,node=1 61 | - | 19 | 37 | 2268 | 673 
InterfModel=0,node=1 62 | - | 18 | 30 | 2170 | 781 
InterfModel=0,node=1 63 | - | 20 | 31 | 2198 | 749 
InterfModel=0,node=1 64 | - | 18 | 36 | 2159 | 784 
InterfModel=0,node=1 65 | - | 11 | 40 | 2218 | 730 
InterfModel=0,node=1 66 | - | 21 | 32 | 2287 | 659 
InterfModel=0,node=1 67 | - | 15 | 43 | 2182 | 758 
InterfModel=0,node=1 68 | - | 13 | 34 | 2243 | 709 
InterfModel=0,node=1 69 | - | 20 | 45 | 2225 | 705 
InterfModel=0,node=1 70 | - | 18 | 50 | 2167 | 763 
InterfModel=0,node=1 71 | - | 21 | 40 | 2210 | 726 
InterfModel=0,node=1 72 | - | 22 | 35 | 2195 | 745 
InterfModel=0,node=1 73 | - | 20 | 34 | 2187 | 758 
InterfModel=0,node=1 74 | - | 23 | 37 | 2163 | 771 
InterfModel=0,node=1 75 | - | 25 | 50 | 2141 | 781 
InterfModel=0,node=1 76 | - | 22 | 42 | 2182 | 751 
InterfModel=0,node=1 77 | - | 19 | 36 | 2232 | 709 
InterfModel=0,node=1 78 | - | 18 | 43 | 2146 | 790 
InterfModel=0,node=1 79 | - | 20 | 30 | 2233 | 716 
InterfModel=0,node=1 80 | - | 15 | 27 | 2232 | 725 
InterfModel=0,node=1 81 | - | 13 | 45 | 2199 | 740 
InterfModel=0,node=1 82 | - | 14 | 43 | 2158 | 784 
InterfModel=0,node=1 83 | - | 21 | 36 | 2166 | 774 
InterfModel=0,node=1 84 | - | 15 | 42 | 2156 | 783 
InterfModel=0,node=1 85 | - | 16 | 25 | 2284 | 672 
InterfModel=0,node=1 86 | - | 14 | 39 | 2258 | 688 
InterfModel=0,node=1 87 | - | 14 | 37 | 2288 | 657 
InterfModel=0,node=1 88 | - | 17 | 29 | 2206 | 747 
InterfModel=0,node=1 89 | - | 17 | 36 | 2206 | 739 
InterfModel=0,node=1 90 | - | 22 | 51 | 2169 | 757 
InterfModel=0,node=1 91 | - | 20 | 40 | 2240 | 699 
InterfModel=0,node=1 92 | - | 19 | 32 | 2295 | 652 
InterfModel=0,node=1 93 | - | 17 | 45 | 2255 | 681 
InterfModel=0,node=1 94 | - | 17 | 47 | 2143 | 791 
InterfModel=0,node=1 95 | - | 15 | 44 | 2201 | 737 
InterfModel=0,node=1 96 | - | 21 | 45 | 2233 | 699 
InterfModel=0,node=1 97 | - | 29 | 50 | 2183 | 737 
InterfModel=0,node=1 98 | - | 19 | 43 | 2161 | 776 
InterfModel=0,node=1 99 | - | 14 | 30 | 2216 | 738 
InterfModel=0,node=2 0 | - | 15 | 11 | 2255 | 716 
InterfModel=0,node=2 1 | - | 17 | 6 | 2306 | 668 
InterfModel=0,node=2 2 | - | 25 | 11 | 2259 | 701 
InterfModel=0,node=2 3 | - | 24 | 15 | 2236 | 722 
InterfModel=0,node=2 4 | - | 20 | 18 | 2187 | 773 
InterfModel=0,node=2 5 | - | 23 | 10 | 2222 | 742 
InterfModel=0,node=2 6 | - | 17 | 12 | 2311 | 658 
InterfModel=0,node=2 7 | - | 24 | 14 | 2247 | 711 
InterfModel=0,node=2 8 | - | 20 | 14 | 2231 | 734 
InterfModel=0,node=2 9 | - | 23 | 14 | 2242 | 720 
InterfModel=0,node=2 10 | - | 26 | 14 | 2208 | 750 
InterfModel=0,node=2 11 | - | 22 | 11 | 2209 | 757 
InterfModel=0,node=2 12 | - | 22 | 12 | 2203 | 761 
InterfModel=0,node=2 13 | - | 19 | 14 | 2221 | 742 
InterfModel=0,node=2 14 | - | 27 | 11 | 2264 | 695 
InterfModel=0,node=2 15 | - | 19 | 19 | 2212 | 747 
InterfModel=0,node=2 16 | - | 19 | 15 | 2226 | 739 
InterfModel=0,node=2 17 | - | 23 | 20 | 2205 | 749 
InterfModel=0,node=2 18 | - | 23 | 14 | 2261 | 701 
InterfModel=0,node=2 19 | - | 13 | 8 | 2347 | 631 
InterfModel=0,node=2 20 | - | 17 | 13 | 2296 | 671 
InterfModel=0,node=2 21 | - | 18 | 13 | 2205 | 762 
InterfModel=0,node=2 22 | - | 30 | 7 | 2239 | 722 
InterfModel=0,node=2 23 | - | 17 | 13 | 2217 | 752 
InterfModel=0,node=2 24 | - | 20 | 15 | 2180 | 784 
InterfModel=0,node=2 25 | - | 21 | 11 | 2329 | 638 
InterfModel=0,node=2 26 | - | 19 | 17 | 2274 | 688 
InterfModel=0,node=2 27 | - | 17 | 13 | 2209 | 758 
InterfModel=0,node=2 28 | - | 15 | 13 | 2272 | 697 
InterfModel=0,node=2 29 | - | 20 | 7 | 2289 | 683 
InterfModel=0,node=2 30 | - | 17 | 9 | 2265 | 706 
InterfModel=0,node=2 31 | - | 15 | 16 | 2213 | 752 
InterfModel=0,node=2 32 | - | 22 | 10 | 2281 | 684 
InterfModel=0,node=2 33 | - | 23 | 17 | 2219 | 738 
InterfModel=0,node=2 34 | - | 11 | 9 | 2287 | 692 
InterfModel=0,node=2 35 | - | 20 | 9 | 2317 | 652 
InterfModel=0,node=2 36 | - | 19 | 11 | 2232 | 737 
InterfModel=0,node=2 37 | - | 17 | 13 | 2278 | 690 
InterfModel=0,node=2 38 | - | 16 | 9 | 2285 | 686 
InterfModel=0,node=2 39 | - | 18 | 8 | 2273 | 698 
InterfModel=0,node=2 40 | - | 23 | 4 | 2262 | 708 
InterfModel=0,node=2 41 | - | 14 | 4 | 2332 | 646 
InterfModel=0,node=2 42 | - | 26 | 16 | 2295 | 660 
InterfModel=0,node=2 43 | - | 15 | 15 | 2231 | 736 
InterfModel=0,node=2 44 | - | 22 | 10 | 2225 | 742 
InterfModel=0,node=2 45 | - | 15 | 8 | 2311 | 664 
InterfModel=0,node=2 46 | - | 23 | 22 | 2207 | 746 
InterfModel=0,node=2 47 | - | 15 | 27 | 2219 | 736 
InterfModel=0,node=2 48 | - | 26 | 9 | 2215 | 748 
InterfModel=0,node=2 49 | - | 11 | 14 | 2234 | 739 
InterfModel=0,node=2 50 | - | 19 | 8 | 2269 | 702 
InterfModel=0,node=2 51 | - | 17 | 10 | 2274 | 698 
