CastaliaResults -i saida.txt -s Packet Breakdown -n --all -o2                                                              

Communication.MAC:Packet breakdown
 | Failed, buffer overflow | Failed, busy channel | Failed, no ack | Success, first try | Success, not first try
InterfModel=0,node=1 | 0 | 17.8 | 86.97 | 2121.58 | 771.34 
InterfModel=0,node=2 | 0 | 19.25 | 25.94 | 2209.65 | 743.08 
InterfModel=0,node=3 | 0.34 | 17.74 | 164.24 | 3313.44 | 998.41 
InterfModel=0,node=4 | 1512.25 | 15.94 | 96.45 | 4710.64 | 1132.73 
InterfModel=0,node=5 | 1683.78 | 12.69 | 195.12 | 4388.33 | 1187.58 
InterfModel=1,node=1 | 0 | 19.62 | 194.89 | 1896.06 | 886.57 
InterfModel=1,node=2 | 0 | 20.46 | 134.99 | 1955.58 | 886.41 
InterfModel=1,node=3 | 78.02 | 18.91 | 301.76 | 2960.17 | 1123.11 
InterfModel=1,node=4 | 2684.64 | 18.41 | 239.09 | 3330.12 | 1194.42 
InterfModel=1,node=5 | 2982.7 | 13.38 | 438.43 | 2832.49 | 1200.04 
InterfModel=2,node=1 | 0 | 18.28 | 139.14 | 2045.74 | 794.22 
InterfModel=2,node=2 | 0 | 20.53 | 17.41 | 2335.92 | 624.15 
InterfModel=2,node=3 | 6.65 | 18.02 | 243.86 | 3181.47 | 1041.48 
InterfModel=2,node=4 | 2004.17 | 18.29 | 148.96 | 4219.99 | 1075.7 
InterfModel=2,node=5 | 2357.11 | 12.63 | 314.72 | 3629.29 | 1153.4 
Communication.MAC:Packet breakdown - all values
 | Failed, buffer overflow | Failed, busy channel | Failed, no ack | Success, first try | Success, not first try
InterfModel=0,node=1 0 | - | 16 | 112 | 2062 | 806 
InterfModel=0,node=1 1 | - | 18 | 70 | 2158 | 753 
InterfModel=0,node=1 2 | - | 19 | 90 | 2109 | 779 
InterfModel=0,node=1 3 | - | 16 | 104 | 2155 | 723 
InterfModel=0,node=1 4 | - | 22 | 111 | 2069 | 797 
InterfModel=0,node=1 5 | - | 23 | 106 | 2145 | 723 
InterfModel=0,node=1 6 | - | 21 | 92 | 2112 | 773 
InterfModel=0,node=1 7 | - | 18 | 92 | 2079 | 809 
InterfModel=0,node=1 8 | - | 17 | 80 | 2082 | 819 
InterfModel=0,node=1 9 | - | 18 | 86 | 2158 | 735 
InterfModel=0,node=1 10 | - | 12 | 86 | 2198 | 701 
InterfModel=0,node=1 11 | - | 16 | 91 | 2105 | 787 
InterfModel=0,node=1 12 | - | 19 | 91 | 2088 | 798 
InterfModel=0,node=1 13 | - | 13 | 83 | 2073 | 828 
InterfModel=0,node=1 14 | - | 24 | 118 | 2091 | 764 
InterfModel=0,node=1 15 | - | 17 | 98 | 2063 | 820 
InterfModel=0,node=1 16 | - | 23 | 78 | 2145 | 751 
InterfModel=0,node=1 17 | - | 20 | 79 | 2077 | 820 
InterfModel=0,node=1 18 | - | 20 | 71 | 2139 | 769 
InterfModel=0,node=1 19 | - | 23 | 81 | 2056 | 839 
InterfModel=0,node=1 20 | - | 17 | 93 | 2137 | 750 
InterfModel=0,node=1 21 | - | 23 | 100 | 2073 | 803 
InterfModel=0,node=1 22 | - | 23 | 65 | 2101 | 805 
InterfModel=0,node=1 23 | - | 19 | 61 | 2161 | 758 
InterfModel=0,node=1 24 | - | 21 | 93 | 2124 | 761 
InterfModel=0,node=1 25 | - | 21 | 77 | 2165 | 734 
InterfModel=0,node=1 26 | - | 20 | 79 | 2207 | 693 
InterfModel=0,node=1 27 | - | 13 | 79 | 2147 | 759 
InterfModel=0,node=1 28 | - | 18 | 97 | 2089 | 792 
InterfModel=0,node=1 29 | - | 16 | 77 | 2177 | 729 
InterfModel=0,node=1 30 | - | 15 | 73 | 2193 | 718 
InterfModel=0,node=1 31 | - | 11 | 88 | 2067 | 832 
InterfModel=0,node=1 32 | - | 19 | 94 | 2073 | 813 
InterfModel=0,node=1 33 | - | 26 | 93 | 2125 | 754 
InterfModel=0,node=1 34 | - | 17 | 65 | 2143 | 769 
InterfModel=0,node=1 35 | - | 18 | 90 | 2163 | 727 
InterfModel=0,node=1 36 | - | 19 | 84 | 2039 | 854 
InterfModel=0,node=1 37 | - | 16 | 94 | 2133 | 755 
InterfModel=0,node=1 38 | - | 19 | 59 | 2173 | 746 
InterfModel=0,node=1 39 | - | 15 | 75 | 2069 | 839 
InterfModel=0,node=1 40 | - | 18 | 93 | 2168 | 718 
InterfModel=0,node=1 41 | - | 21 | 84 | 2161 | 731 
InterfModel=0,node=1 42 | - | 17 | 65 | 2141 | 774 
InterfModel=0,node=1 43 | - | 19 | 87 | 2119 | 773 
InterfModel=0,node=1 44 | - | 15 | 76 | 2116 | 792 
InterfModel=0,node=1 45 | - | 18 | 73 | 2115 | 793 
InterfModel=0,node=1 46 | - | 18 | 81 | 2132 | 765 
InterfModel=0,node=1 47 | - | 21 | 91 | 2117 | 768 
InterfModel=0,node=1 48 | - | 15 | 80 | 2115 | 785 
InterfModel=0,node=1 49 | - | 19 | 83 | 2178 | 719 
InterfModel=0,node=1 50 | - | 19 | 111 | 2005 | 862 
InterfModel=0,node=1 51 | - | 19 | 85 | 2125 | 770 
InterfModel=0,node=1 52 | - | 21 | 95 | 2077 | 805 
InterfModel=0,node=1 53 | - | 11 | 102 | 2112 | 774 
InterfModel=0,node=1 54 | - | 16 | 93 | 2086 | 802 
InterfModel=0,node=1 55 | - | 14 | 61 | 2146 | 777 
InterfModel=0,node=1 56 | - | 10 | 96 | 2063 | 830 
InterfModel=0,node=1 57 | - | 18 | 101 | 2110 | 766 
InterfModel=0,node=1 58 | - | 17 | 88 | 2146 | 748 
InterfModel=0,node=1 59 | - | 18 | 100 | 2096 | 784 
InterfModel=0,node=1 60 | - | 15 | 78 | 2174 | 729 
InterfModel=0,node=1 61 | - | 18 | 76 | 2142 | 763 
InterfModel=0,node=1 62 | - | 24 | 98 | 2096 | 781 
InterfModel=0,node=1 63 | - | 17 | 100 | 2099 | 782 
InterfModel=0,node=1 64 | - | 17 | 87 | 2085 | 810 
InterfModel=0,node=1 65 | - | 15 | 84 | 2120 | 780 
InterfModel=0,node=1 66 | - | 26 | 78 | 2156 | 739 
InterfModel=0,node=1 67 | - | 23 | 94 | 2115 | 767 
InterfModel=0,node=1 68 | - | 14 | 79 | 2166 | 738 
InterfModel=0,node=1 69 | - | 17 | 89 | 2143 | 748 
