CastaliaResults -i saida.txt -s Packets reception rate -n --all -o2                                                                    

Application:Packets reception rate - total
 | index=1 | index=2 | index=3 | index=4 | index=5
InterfModel=0 | 0.97 | 0.986 | 0.965 | 0.781 | 0.748 
InterfModel=1 | 0.933 | 0.949 | 0.914 | 0.606 | 0.542 
InterfModel=2 | 0.952 | 0.987 | 0.945 | 0.708 | 0.642 
Application:Packets reception rate - all values
 | index=1 | index=2 | index=3 | index=4 | index=5
InterfModel=0 0 | 0.965989 | 0.986662 | 0.966437 | 0.787172 | 0.734231 
InterfModel=0 1 | 0.975659 | 0.983328 | 0.964437 | 0.77757 | 0.754234 
InterfModel=0 2 | 0.970323 | 0.987663 | 0.965992 | 0.775867 | 0.749567 
InterfModel=0 3 | 0.964321 | 0.981994 | 0.967326 | 0.759435 | 0.771703 
InterfModel=0 4 | 0.96132 | 0.982994 | 0.962436 | 0.790477 | 0.7482 
InterfModel=0 5 | 0.962321 | 0.983661 | 0.963992 | 0.786372 | 0.761136 
InterfModel=0 6 | 0.967656 | 0.984995 | 0.964214 | 0.778904 | 0.7548 
InterfModel=0 7 | 0.96899 | 0.985328 | 0.967326 | 0.782771 | 0.732098 
InterfModel=0 8 | 0.971324 | 0.988663 | 0.964437 | 0.785438 | 0.750633 
InterfModel=0 9 | 0.969323 | 0.990997 | 0.966659 | 0.773836 | 0.7505 
InterfModel=0 10 | 0.970323 | 0.986 | 0.958435 | 0.775407 | 0.756234 
InterfModel=0 11 | 0.969657 | 0.984995 | 0.963325 | 0.799573 | 0.723563 
InterfModel=0 12 | 0.969323 | 0.985328 | 0.963992 | 0.77197 | 0.752767 
InterfModel=0 13 | 0.974992 | 0.987329 | 0.967771 | 0.80024 | 0.740864 
InterfModel=0 14 | 0.960654 | 0.986996 | 0.967771 | 0.788772 | 0.761435 
InterfModel=0 15 | 0.967 | 0.986662 | 0.95888 | 0.790372 | 0.736898 
InterfModel=0 16 | 0.970657 | 0.982327 | 0.968437 | 0.785143 | 0.753434 
InterfModel=0 17 | 0.971657 | 0.985662 | 0.962658 | 0.789544 | 0.738899 
InterfModel=0 18 | 0.974325 | 0.988329 | 0.965096 | 0.776904 | 0.758101 
InterfModel=0 19 | 0.969667 | 0.98933 | 0.961769 | 0.789439 | 0.743966 
InterfModel=0 20 | 0.966989 | 0.988996 | 0.969771 | 0.781675 | 0.747566 
InterfModel=0 21 | 0.966322 | 0.985328 | 0.963556 | 0.785009 | 0.738197 
InterfModel=0 22 | 0.972658 | 0.987333 | 0.961102 | 0.771067 | 0.759269 
InterfModel=0 23 | 0.977326 | 0.987329 | 0.968215 | 0.766369 | 0.770205 
InterfModel=0 24 | 0.96899 | 0.986662 | 0.959324 | 0.789439 | 0.757301 
InterfModel=0 25 | 0.96999 | 0.985995 | 0.962214 | 0.764102 | 0.754634 
InterfModel=0 26 | 0.971991 | 0.987329 | 0.957768 | 0.784371 | 0.744766 
InterfModel=0 27 | 0.974658 | 0.987333 | 0.961102 | 0.774103 | 0.743966 
InterfModel=0 28 | 0.967333 | 0.989997 | 0.963992 | 0.765804 | 0.761835 
InterfModel=0 29 | 0.973324 | 0.985328 | 0.967771 | 0.769036 | 0.750233 
InterfModel=0 30 | 0.972991 | 0.986662 | 0.966437 | 0.779733 | 0.742766 
InterfModel=0 31 | 0.971657 | 0.991664 | 0.969993 | 0.790505 | 0.753167 
InterfModel=0 32 | 0.96999 | 0.987663 | 0.968215 | 0.767271 | 0.755834 
InterfModel=0 33 | 0.965322 | 0.986329 | 0.960436 | 0.786105 | 0.746233 
InterfModel=0 34 | 0.976992 | 0.985662 | 0.961547 | 0.787838 | 0.7513 
InterfModel=0 35 | 0.971991 | 0.987996 | 0.963325 | 0.781971 | 0.755834 
InterfModel=0 36 | 0.971333 | 0.988329 | 0.961547 | 0.769569 | 0.756735 
InterfModel=0 37 | 0.967989 | 0.985995 | 0.960213 | 0.786905 | 0.739565 
InterfModel=0 38 | 0.976992 | 0.986329 | 0.961769 | 0.7872 | 0.7489 
InterfModel=0 39 | 0.97866 | 0.986996 | 0.965548 | 0.765835 | 0.770903 
