CastaliaResults -i saida.txt -s Energy nJ/bit -n --all -o2                                                           

Application:Energy nJ/bit
 | node=1 | node=2 | node=3 | node=4 | node=5
InterfModel=0 | 100.155 | 99.793 | 66.306 | 49.676 | 51.408 
InterfModel=1 | 104.001 | 103.634 | 69.931 | 64.178 | 70.945 
InterfModel=2 | 101.982 | 99.682 | 67.6 | 54.844 | 59.864 
Application:Energy nJ/bit - all values
 | node=1 | node=2 | node=3 | node=4 | node=5
InterfModel=0 0 | 100.919 | 99.7221 | 65.7814 | 49.2953 | 51.9848 
InterfModel=0 1 | 99.7293 | 100.272 | 66.2119 | 50.0737 | 50.8964 
InterfModel=0 2 | 100.076 | 99.4924 | 65.7841 | 50.0111 | 50.9554 
InterfModel=0 3 | 100.646 | 100.214 | 66.1146 | 50.9837 | 49.9507 
InterfModel=0 4 | 100.845 | 100.226 | 66.4778 | 49.0423 | 51.4077 
InterfModel=0 5 | 100.59 | 100.208 | 66.8752 | 49.4949 | 50.4217 
InterfModel=0 6 | 100.665 | 100.09 | 66.5216 | 49.9206 | 50.6716 
InterfModel=0 7 | 100.844 | 99.9927 | 66.3191 | 49.6447 | 52.4505 
InterfModel=0 8 | 100.094 | 99.7013 | 66.4286 | 49.2205 | 51.1715 
InterfModel=0 9 | 100.041 | 99.4435 | 66.0044 | 50.0389 | 51.4148 
InterfModel=0 10 | 99.5145 | 99.7404 | 66.3013 | 49.6717 | 50.4878 
InterfModel=0 11 | 100.36 | 100.037 | 66.3105 | 48.6188 | 53.4001 
InterfModel=0 12 | 100.137 | 99.8816 | 66.4051 | 50.1542 | 50.8796 
InterfModel=0 13 | 100.238 | 99.7986 | 66.0667 | 48.5812 | 52.0035 
InterfModel=0 14 | 100.868 | 99.6281 | 65.9896 | 49.2919 | 50.6058 
InterfModel=0 15 | 100.789 | 99.5301 | 66.8987 | 49.1617 | 51.9434 
InterfModel=0 16 | 100.17 | 100.117 | 65.9565 | 49.5438 | 50.9238 
InterfModel=0 17 | 99.8639 | 99.8276 | 66.6585 | 49.2346 | 51.8428 
InterfModel=0 18 | 99.8209 | 99.4165 | 66.0723 | 50.02 | 50.6703 
InterfModel=0 19 | 100.363 | 99.5795 | 66.4994 | 49.3001 | 51.6842 
InterfModel=0 20 | 100.465 | 99.3283 | 66.2804 | 49.5566 | 51.3464 
InterfModel=0 21 | 100.426 | 100.104 | 65.8941 | 49.3452 | 52.1162 
InterfModel=0 22 | 99.3532 | 99.5192 | 66.4442 | 50.3773 | 50.9981 
InterfModel=0 23 | 99.4269 | 99.8071 | 66.3488 | 50.6813 | 50.2288 
InterfModel=0 24 | 100.24 | 99.8055 | 66.5005 | 49.314 | 50.6901 
InterfModel=0 25 | 99.9821 | 99.8445 | 66.5718 | 50.9682 | 50.9669 
InterfModel=0 26 | 99.5002 | 99.6681 | 66.2771 | 49.3607 | 51.6671 
InterfModel=0 27 | 99.7121 | 99.6547 | 66.479 | 50.0969 | 51.2677 
InterfModel=0 28 | 100.466 | 99.1068 | 66.6817 | 50.4826 | 50.389 
InterfModel=0 29 | 100.454 | 99.8849 | 66.0806 | 50.5747 | 51.43 
InterfModel=0 30 | 99.512 | 99.7964 | 65.8891 | 49.7741 | 51.6933 
InterfModel=0 31 | 100.015 | 99.3683 | 66.0854 | 49.0746 | 51.0033 
InterfModel=0 32 | 100.358 | 99.6273 | 65.5941 | 50.7463 | 50.9704 
InterfModel=0 33 | 100.288 | 99.9997 | 66.7153 | 49.4627 | 51.9809 
InterfModel=0 34 | 99.7837 | 99.9666 | 66.5504 | 49.4346 | 51.4054 
InterfModel=0 35 | 99.6907 | 99.955 | 66.3945 | 49.688 | 51.1249 
InterfModel=0 36 | 100.121 | 99.7705 | 66.698 | 50.3206 | 50.8772 
InterfModel=0 37 | 100.412 | 99.8054 | 66.7584 | 49.4483 | 51.7199 
InterfModel=0 38 | 98.9063 | 99.897 | 66.3037 | 49.1883 | 51.4253 
InterfModel=0 39 | 99.3214 | 99.4725 | 66.1421 | 50.6481 | 49.6499 
InterfModel=0 40 | 100.487 | 100.156 | 66.9014 | 49.6702 | 52.6053 
InterfModel=0 41 | 100.272 | 100.236 | 66.6232 | 49.113 | 51.2483 
InterfModel=0 42 | 99.8355 | 99.765 | 65.864 | 50.6395 | 51.6094 
InterfModel=0 43 | 100.325 | 99.5901 | 66.0013 | 48.4436 | 53.5137 
InterfModel=0 44 | 99.7507 | 99.4037 | 66.7495 | 49.7319 | 51.2185 
InterfModel=0 45 | 100.092 | 99.7113 | 65.9355 | 50.4829 | 50.8255 
InterfModel=0 46 | 99.9557 | 99.782 | 66.0173 | 49.0329 | 52.1053 
InterfModel=0 47 | 100.283 | 99.4848 | 66.4206 | 49.9226 | 51.1851 
InterfModel=0 48 | 99.4823 | 99.593 | 66.5208 | 49.3442 | 50.8268 
InterfModel=0 49 | 99.724 | 99.9702 | 66.4298 | 50.1152 | 50.7968 
InterfModel=0 50 | 100.942 | 99.6223 | 65.7678 | 51.0645 | 50.42 
InterfModel=0 51 | 100.072 | 99.7759 | 66.413 | 48.6675 | 53.4863 
InterfModel=0 52 | 100.664 | 99.3258 | 66.2205 | 49.1903 | 51.631 
InterfModel=0 53 | 100.525 | 100.077 | 66.3334 | 50.916 | 50.4463 
InterfModel=0 54 | 100.164 | 99.3244 | 66.2241 | 49.7739 | 51.7085 
