CastaliaResults -i saida.txt -s Estimated network lifetime --all -o2                                                                     

ResourceManager:Estimated network lifetime (days)
 | InterfModel=0 | InterfModel=1 | InterfModel=2
 | 69.939 | 69.935 | 69.937 
ResourceManager:Estimated network lifetime (days) - all values
 | InterfModel=0 | InterfModel=1 | InterfModel=2
 0 | 69.94 | 69.9309 | 69.9336 
 1 | 69.9394 | 69.9308 | 69.9386 
 2 | 69.9435 | 69.9392 | 69.9397 
 3 | 69.9419 | 69.931 | 69.9418 
 4 | 69.9348 | 69.9339 | 69.9422 
 5 | 69.9379 | 69.9359 | 69.9396 
 6 | 69.9369 | 69.9377 | 69.9339 
 7 | 69.9396 | 69.9342 | 69.9348 
 8 | 69.9358 | 69.9371 | 69.9393 
 9 | 69.9406 | 69.9354 | 69.9369 
 10 | 69.9434 | 69.9329 | 69.9386 
 11 | 69.9346 | 69.9373 | 69.9363 
 12 | 69.9412 | 69.9402 | 69.9381 
 13 | 69.9392 | 69.9308 | 69.9324 
 14 | 69.9427 | 69.9297 | 69.935 
 15 | 69.9405 | 69.9406 | 69.9392 
 16 | 69.9446 | 69.9388 | 69.9343 
 17 | 69.9422 | 69.9323 | 69.9391 
 18 | 69.9348 | 69.9337 | 69.9344 
 19 | 69.936 | 69.9339 | 69.941 
 20 | 69.9429 | 69.9313 | 69.9422 
 21 | 69.9339 | 69.9402 | 69.9409 
 22 | 69.944 | 69.9312 | 69.939 
 23 | 69.9341 | 69.9302 | 69.9413 
 24 | 69.9356 | 69.9393 | 69.9328 
 25 | 69.9359 | 69.9299 | 69.9328 
 26 | 69.9418 | 69.933 | 69.9358 
 27 | 69.9387 | 69.9309 | 69.935 
 28 | 69.9387 | 69.9323 | 69.942 
 29 | 69.9381 | 69.9356 | 69.9351 
 30 | 69.9397 | 69.9383 | 69.9339 
 31 | 69.9372 | 69.932 | 69.9345 
 32 | 69.936 | 69.9293 | 69.9383 
 33 | 69.9347 | 69.9336 | 69.9384 
 34 | 69.9349 | 69.9329 | 69.9327 
 35 | 69.9375 | 69.9379 | 69.9322 
 36 | 69.9377 | 69.9383 | 69.9336 
 37 | 69.9439 | 69.9309 | 69.9357 
 38 | 69.9415 | 69.9346 | 69.934 
 39 | 69.9439 | 69.9388 | 69.9421 
 40 | 69.9416 | 69.9356 | 69.9357 
 41 | 69.9411 | 69.9382 | 69.9396 
 42 | 69.9437 | 69.938 | 69.9431 
 43 | 69.9415 | 69.9329 | 69.9418 
 44 | 69.9375 | 69.9398 | 69.9345 
 45 | 69.9359 | 69.9363 | 69.9388 
 46 | 69.9423 | 69.9329 | 69.9336 
 47 | 69.9386 | 69.936 | 69.9422 
 48 | 69.9414 | 69.9338 | 69.935 
 49 | 69.9345 | 69.9335 | 69.9424 
 50 | 69.944 | 69.9311 | 69.9424 
 51 | 69.937 | 69.9361 | 69.9363 
 52 | 69.9409 | 69.9294 | 69.9331 
 53 | 69.9355 | 69.9398 | 69.9427 
 54 | 69.9418 | 69.9398 | 69.9366 
 55 | 69.9418 | 69.9388 | 69.9374 
 56 | 69.936 | 69.9334 | 69.9432 
 57 | 69.9342 | 69.9402 | 69.9328 
 58 | 69.9353 | 69.9339 | 69.9359 
 59 | 69.9383 | 69.9389 | 69.9397 
 60 | 69.9394 | 69.9322 | 69.9356 
 61 | 69.9368 | 69.9346 | 69.9334 
 62 | 69.9403 | 69.9392 | 69.9367 
 63 | 69.9427 | 69.9348 | 69.9409 
 64 | 69.9359 | 69.9334 | 69.9379 
 65 | 69.935 | 69.9295 | 69.9427 
 66 | 69.9338 | 69.9334 | 69.9382 
 67 | 69.94 | 69.9302 | 69.9368 
 68 | 69.9374 | 69.9352 | 69.9381 
 69 | 69.9414 | 69.9296 | 69.9348 
 70 | 69.9439 | 69.9294 | 69.9327 
 71 | 69.9385 | 69.9333 | 69.9424 
 72 | 69.9433 | 69.9378 | 69.9353 
 73 | 69.9354 | 69.9341 | 69.9327 
 74 | 69.9393 | 69.9311 | 69.936 
 75 | 69.9398 | 69.9383 | 69.9347 
 76 | 69.9417 | 69.9404 | 69.9373 
 77 | 69.945 | 69.9313 | 69.9352 
 78 | 69.9421 | 69.9315 | 69.9347 
 79 | 69.9365 | 69.932 | 69.9415 
 80 | 69.9347 | 69.9312 | 69.9325 
 81 | 69.9445 | 69.9338 | 69.933 
 82 | 69.9344 | 69.9312 | 69.9341 
 83 | 69.9427 | 69.9394 | 69.9428 
 84 | 69.9406 | 69.9386 | 69.9397 
 85 | 69.9424 | 69.9399 | 69.9367 
 86 | 69.9341 | 69.9306 | 69.9365 
 87 | 69.9431 | 69.9311 | 69.9326 
 88 | 69.941 | 69.9374 | 69.9401 
 89 | 69.9351 | 69.9363 | 69.9402 
 90 | 69.9365 | 69.9355 | 69.9401 
 91 | 69.9339 | 69.9343 | 69.941 
 92 | 69.9407 | 69.9343 | 69.9386 
 93 | 69.9375 | 69.9397 | 69.9324 
 94 | 69.9404 | 69.9298 | 69.943 
 95 | 69.9401 | 69.9394 | 69.9383 
 96 | 69.9375 | 69.9328 | 69.9424 
 97 | 69.936 | 69.9389 | 69.9417 
 98 | 69.9376 | 69.9312 | 69.9395 
 99 | 69.9349 | 69.9303 | 69.9352 

