CastaliaResults -i saida.txt -s Packets reception rate -n --all -o2                                                                    

Application:Packets reception rate - total
 | index=1 | index=2 | index=3 | index=4 | index=5
InterfModel=0 | 0.974 | 0.989 | 0.969 | 0.801 | 0.789 
InterfModel=1 | 0.94 | 0.954 | 0.916 | 0.661 | 0.632 
InterfModel=2 | 0.948 | 0.984 | 0.937 | 0.735 | 0.72 
Application:Packets reception rate - all values
 | index=1 | index=2 | index=3 | index=4 | index=5
InterfModel=0 0 | 0.976992 | 0.99133 | 0.971994 | 0.802907 | 0.791572 
InterfModel=0 1 | 0.975992 | 0.99033 | 0.969326 | 0.79824 | 0.782238 
InterfModel=0 2 | 0.969323 | 0.99033 | 0.966882 | 0.8024 | 0.782104 
InterfModel=0 3 | 0.979326 | 0.986329 | 0.96866 | 0.795173 | 0.796239 
InterfModel=0 4 | 0.976325 | 0.991997 | 0.966215 | 0.817551 | 0.772073 
InterfModel=0 5 | 0.976659 | 0.988329 | 0.968437 | 0.815842 | 0.783409 
InterfModel=0 6 | 0.974992 | 0.99033 | 0.966437 | 0.801174 | 0.788133 
InterfModel=0 7 | 0.975992 | 0.990664 | 0.969104 | 0.787572 | 0.807574 
InterfModel=0 8 | 0.975659 | 0.987663 | 0.969326 | 0.800907 | 0.784771 
InterfModel=0 9 | 0.976659 | 0.986996 | 0.96377 | 0.816642 | 0.781704 
InterfModel=0 10 | 0.974658 | 0.988 | 0.969993 | 0.793011 | 0.792506 
InterfModel=0 11 | 0.96899 | 0.99033 | 0.96377 | 0.792372 | 0.797173 
InterfModel=0 12 | 0.972324 | 0.990997 | 0.966882 | 0.79864 | 0.79864 
InterfModel=0 13 | 0.971991 | 0.988996 | 0.97555 | 0.779037 | 0.803548 
InterfModel=0 14 | 0.978993 | 0.988663 | 0.971105 | 0.798907 | 0.788638 
InterfModel=0 15 | 0.972333 | 0.98933 | 0.970216 | 0.815842 | 0.783705 
InterfModel=0 16 | 0.967989 | 0.993331 | 0.973327 | 0.806882 | 0.785305 
InterfModel=0 17 | 0.972324 | 0.987663 | 0.973327 | 0.819152 | 0.771303 
InterfModel=0 18 | 0.970323 | 0.983328 | 0.974655 | 0.814109 | 0.772103 
InterfModel=0 19 | 0.974 | 0.988996 | 0.965103 | 0.791839 | 0.795973 
InterfModel=0 20 | 0.970323 | 0.989663 | 0.96577 | 0.796612 | 0.790639 
InterfModel=0 21 | 0.975659 | 0.989663 | 0.974444 | 0.807149 | 0.78581 
InterfModel=0 22 | 0.972658 | 0.991333 | 0.965326 | 0.808267 | 0.785009 
InterfModel=0 23 | 0.978326 | 0.98933 | 0.970216 | 0.809175 | 0.788877 
InterfModel=0 24 | 0.977993 | 0.990664 | 0.968882 | 0.797573 | 0.795306 
InterfModel=0 25 | 0.975325 | 0.986329 | 0.973327 | 0.808775 | 0.787038 
InterfModel=0 26 | 0.971657 | 0.990664 | 0.962436 | 0.804774 | 0.782638 
InterfModel=0 27 | 0.971991 | 0.989667 | 0.969993 | 0.793039 | 0.800507 
InterfModel=0 28 | 0.971 | 0.989663 | 0.971549 | 0.782609 | 0.807174 
InterfModel=0 29 | 0.975659 | 0.991664 | 0.965992 | 0.793706 | 0.785571 
InterfModel=0 30 | 0.976659 | 0.98933 | 0.965548 | 0.8052 | 0.781971 
InterfModel=0 31 | 0.974325 | 0.986329 | 0.972216 | 0.809841 | 0.785038 
InterfModel=0 32 | 0.970657 | 0.990664 | 0.969104 | 0.794612 | 0.781838 
InterfModel=0 33 | 0.976325 | 0.988996 | 0.965103 | 0.803974 | 0.793973 
InterfModel=0 34 | 0.974658 | 0.987329 | 0.966882 | 0.804241 | 0.795439 
InterfModel=0 35 | 0.973324 | 0.992664 | 0.971549 | 0.797706 | 0.791305 
InterfModel=0 36 | 0.976333 | 0.986662 | 0.968882 | 0.79904 | 0.783009 
InterfModel=0 37 | 0.972324 | 0.99033 | 0.96577 | 0.808508 | 0.792372 
InterfModel=0 38 | 0.97866 | 0.989997 | 0.974661 | 0.7888 | 0.79984 
InterfModel=0 39 | 0.97099 | 0.987663 | 0.969104 | 0.79984 | 0.788238 
InterfModel=0 40 | 0.971324 | 0.987329 | 0.965548 | 0.801333 | 0.787943 
InterfModel=0 41 | 0.97099 | 0.986329 | 0.973772 | 0.797306 | 0.779274 
InterfModel=0 42 | 0.974992 | 0.98933 | 0.963103 | 0.824243 | 0.780504 
InterfModel=0 43 | 0.975325 | 0.986667 | 0.970438 | 0.804667 | 0.785971 
InterfModel=0 44 | 0.974992 | 0.99133 | 0.973111 | 0.772473 | 0.804774 
InterfModel=0 45 | 0.974325 | 0.988663 | 0.963992 | 0.818376 | 0.77197 
InterfModel=0 46 | 0.976659 | 0.990997 | 0.973772 | 0.783571 | 0.799413 
InterfModel=0 47 | 0.974325 | 0.987663 | 0.970438 | 0.784371 | 0.805041 
InterfModel=0 48 | 0.972658 | 0.987667 | 0.96377 | 0.79848 | 0.794078 
InterfModel=0 49 | 0.97866 | 0.99033 | 0.969771 | 0.794506 | 0.806107 
InterfModel=0 50 | 0.975992 | 0.987329 | 0.97066 | 0.801814 | 0.805548 
InterfModel=0 51 | 0.972324 | 0.99033 | 0.968882 | 0.79968 | 0.794212 
InterfModel=0 52 | 0.977993 | 0.988663 | 0.964889 | 0.795439 | 0.779571 
InterfModel=0 53 | 0.970333 | 0.988329 | 0.968437 | 0.80184 | 0.781571 
InterfModel=0 54 | 0.974658 | 0.99033 | 0.97066 | 0.800773 | 0.791706 
InterfModel=0 55 | 0.973324 | 0.991997 | 0.967548 | 0.784238 | 0.809575 
InterfModel=0 56 | 0.973991 | 0.992331 | 0.971105 | 0.793172 | 0.791867 
InterfModel=0 57 | 0.976659 | 0.988996 | 0.973105 | 0.80104 | 0.790905 
InterfModel=0 58 | 0.966322 | 0.989663 | 0.970889 | 0.816109 | 0.759301 
InterfModel=0 59 | 0.977326 | 0.988663 | 0.966437 | 0.803974 | 0.778874 
InterfModel=0 60 | 0.972658 | 0.991997 | 0.973327 | 0.815842 | 0.777704 
InterfModel=0 61 | 0.973324 | 0.990997 | 0.966215 | 0.809175 | 0.784342 
InterfModel=0 62 | 0.974658 | 0.988996 | 0.968215 | 0.801974 | 0.791706 
InterfModel=0 63 | 0.973333 | 0.986329 | 0.969111 | 0.813842 | 0.783171 
InterfModel=0 64 | 0.972324 | 0.99033 | 0.967326 | 0.792772 | 0.795439 
InterfModel=0 65 | 0.975992 | 0.983328 | 0.968215 | 0.795333 | 0.789572 
InterfModel=0 66 | 0.970657 | 0.988996 | 0.97 | 0.795306 | 0.784905 
InterfModel=0 67 | 0.976992 | 0.991664 | 0.969104 | 0.817176 | 0.7517 
InterfModel=0 68 | 0.974992 | 0.993998 | 0.966659 | 0.797573 | 0.786076 
InterfModel=0 69 | 0.971657 | 0.988663 | 0.970216 | 0.783171 | 0.805574 
InterfModel=0 70 | 0.970323 | 0.990664 | 0.971994 | 0.788744 | 0.80224 
InterfModel=0 71 | 0.974325 | 0.991997 | 0.964214 | 0.797573 | 0.789572 
InterfModel=0 72 | 0.972658 | 0.981327 | 0.963547 | 0.7992 | 0.786638 
InterfModel=0 73 | 0.975325 | 0.99033 | 0.966215 | 0.7928 | 0.796106 
InterfModel=0 74 | 0.964655 | 0.986662 | 0.968215 | 0.816642 | 0.774073 
