CastaliaResults -i saida.txt -s Estimated network lifetime --all -o2                                                                     

ResourceManager:Estimated network lifetime (days)
 | InterfModel=0 | InterfModel=1 | InterfModel=2
 | 69.939 | 69.935 | 69.938 
ResourceManager:Estimated network lifetime (days) - all values
 | InterfModel=0 | InterfModel=1 | InterfModel=2
 0 | 69.9402 | 69.9313 | 69.9339 
 1 | 69.9396 | 69.932 | 69.9391 
 2 | 69.9437 | 69.9402 | 69.9398 
 3 | 69.9423 | 69.9316 | 69.942 
 4 | 69.9351 | 69.9349 | 69.9425 
 5 | 69.938 | 69.9368 | 69.9397 
 6 | 69.9372 | 69.9386 | 69.9341 
 7 | 69.94 | 69.935 | 69.935 
 8 | 69.9362 | 69.938 | 69.9395 
 9 | 69.9407 | 69.9364 | 69.9372 
 10 | 69.9435 | 69.9336 | 69.9388 
 11 | 69.9348 | 69.9383 | 69.9368 
 12 | 69.9414 | 69.9412 | 69.9383 
 13 | 69.9395 | 69.9317 | 69.9327 
 14 | 69.943 | 69.9304 | 69.9352 
 15 | 69.9407 | 69.9414 | 69.9392 
 16 | 69.9449 | 69.9398 | 69.9347 
 17 | 69.9424 | 69.9333 | 69.9396 
 18 | 69.9351 | 69.9345 | 69.9349 
 19 | 69.9365 | 69.935 | 69.9411 
 20 | 69.9432 | 69.9323 | 69.9421 
 21 | 69.9342 | 69.9411 | 69.9411 
 22 | 69.9443 | 69.9318 | 69.939 
 23 | 69.9344 | 69.9307 | 69.9414 
 24 | 69.936 | 69.9403 | 69.9329 
 25 | 69.936 | 69.9307 | 69.9332 
 26 | 69.9423 | 69.9339 | 69.9364 
 27 | 69.9391 | 69.9315 | 69.9352 
 28 | 69.9391 | 69.9329 | 69.9423 
 29 | 69.9386 | 69.9365 | 69.9353 
 30 | 69.94 | 69.9391 | 69.9341 
 31 | 69.9376 | 69.9333 | 69.9347 
 32 | 69.9365 | 69.93 | 69.9383 
 33 | 69.9349 | 69.9344 | 69.9387 
 34 | 69.9351 | 69.9337 | 69.9329 
 35 | 69.9376 | 69.9388 | 69.9325 
 36 | 69.9383 | 69.9392 | 69.9338 
 37 | 69.9442 | 69.9318 | 69.936 
 38 | 69.9415 | 69.9354 | 69.9342 
 39 | 69.9443 | 69.9399 | 69.9422 
 40 | 69.942 | 69.9365 | 69.936 
 41 | 69.9416 | 69.9392 | 69.9398 
 42 | 69.9438 | 69.9387 | 69.9433 
 43 | 69.9417 | 69.9338 | 69.9422 
 44 | 69.9378 | 69.9403 | 69.9347 
 45 | 69.9362 | 69.937 | 69.9391 
 46 | 69.9423 | 69.9339 | 69.9338 
 47 | 69.9388 | 69.9369 | 69.9425 
 48 | 69.9418 | 69.9346 | 69.9352 
 49 | 69.9347 | 69.9345 | 69.9426 
 50 | 69.9441 | 69.9319 | 69.9424 
 51 | 69.9371 | 69.9366 | 69.9366 
 52 | 69.9413 | 69.93 | 69.9332 
 53 | 69.9359 | 69.9406 | 69.9429 
 54 | 69.9419 | 69.9404 | 69.9369 
 55 | 69.9418 | 69.9398 | 69.9376 
 56 | 69.9361 | 69.9343 | 69.9433 
 57 | 69.9346 | 69.9408 | 69.9326 
 58 | 69.9359 | 69.9346 | 69.9363 
 59 | 69.9388 | 69.9396 | 69.9397 
 60 | 69.9396 | 69.933 | 69.9359 
 61 | 69.9371 | 69.9354 | 69.9338 
 62 | 69.9406 | 69.9398 | 69.9367 
 63 | 69.9428 | 69.9358 | 69.9414 
 64 | 69.9362 | 69.934 | 69.9381 
 65 | 69.9353 | 69.9304 | 69.9428 
 66 | 69.9342 | 69.9344 | 69.9384 
 67 | 69.9404 | 69.9311 | 69.937 
 68 | 69.9377 | 69.9359 | 69.9382 
 69 | 69.9416 | 69.9305 | 69.9352 
 70 | 69.9441 | 69.9302 | 69.9329 
 71 | 69.9387 | 69.934 | 69.9426 
 72 | 69.9436 | 69.9387 | 69.9353 
 73 | 69.9357 | 69.9352 | 69.9331 
 74 | 69.9396 | 69.9317 | 69.9362 
 75 | 69.9403 | 69.9391 | 69.9347 
 76 | 69.9418 | 69.9412 | 69.9375 
 77 | 69.9453 | 69.9321 | 69.9352 
 78 | 69.9424 | 69.9324 | 69.935 
 79 | 69.937 | 69.9328 | 69.9421 
 80 | 69.9351 | 69.9322 | 69.9329 
 81 | 69.9446 | 69.9344 | 69.9333 
 82 | 69.9348 | 69.932 | 69.9344 
 83 | 69.9427 | 69.9403 | 69.9429 
 84 | 69.9412 | 69.9394 | 69.9398 
 85 | 69.9427 | 69.9408 | 69.9369 
 86 | 69.9342 | 69.9314 | 69.9368 
 87 | 69.9435 | 69.932 | 69.9328 
 88 | 69.9412 | 69.9383 | 69.9404 
 89 | 69.9352 | 69.9367 | 69.9405 
 90 | 69.9367 | 69.9361 | 69.9403 
 91 | 69.9342 | 69.9353 | 69.9413 
 92 | 69.941 | 69.9352 | 69.9387 
 93 | 69.9378 | 69.9406 | 69.9326 
 94 | 69.9406 | 69.9308 | 69.9431 
 95 | 69.9402 | 69.9404 | 69.9385 
 96 | 69.9379 | 69.9335 | 69.9427 
 97 | 69.9363 | 69.9398 | 69.9418 
 98 | 69.938 | 69.9314 | 69.9396 
 99 | 69.935 | 69.931 | 69.9356 

