CastaliaResults -i saida.txt -s Packet Breakdown -n --all -o2                                                              

Communication.MAC:Packet breakdown
 | Failed, buffer overflow | Failed, busy channel | Failed, no ack | Success, first try | Success, not first try
InterfModel=0,node=1 | 0 | 17.95 | 40.81 | 2205.51 | 733.32 
InterfModel=0,node=2 | 0 | 18.94 | 14.62 | 2249.59 | 714.65 
InterfModel=0,node=3 | 0 | 18.8 | 79.01 | 3454.25 | 943.23 
InterfModel=0,node=4 | 1319.88 | 16.65 | 47.78 | 5014.32 | 1069.54 
InterfModel=0,node=5 | 1498.84 | 14.79 | 92.86 | 4760.93 | 1100.48 
InterfModel=1,node=1 | 0 | 19.98 | 97.43 | 2044.48 | 835.35 
InterfModel=1,node=2 | 0 | 20.82 | 67.52 | 2082.52 | 826.94 
InterfModel=1,node=3 | 3.26 | 18.62 | 154.46 | 3240.37 | 1074.02 
InterfModel=1,node=4 | 2262.74 | 18.02 | 120.58 | 3910.74 | 1154.89 
InterfModel=1,node=5 | 2509.96 | 15.5 | 214.15 | 3542.76 | 1184.57 
InterfModel=2,node=1 | 0 | 19.53 | 72.09 | 2130.55 | 775.17 
InterfModel=2,node=2 | 0 | 19.75 | 9.08 | 2358.2 | 610.79 
InterfModel=2,node=3 | 0.65 | 19.15 | 129.18 | 3337.37 | 1007.33 
InterfModel=2,node=4 | 1785.86 | 17.26 | 75.92 | 4540.16 | 1048.38 
InterfModel=2,node=5 | 2126.59 | 14.31 | 160.51 | 4036.24 | 1129.59 
Communication.MAC:Packet breakdown - all values
 | Failed, buffer overflow | Failed, busy channel | Failed, no ack | Success, first try | Success, not first try
InterfModel=0,node=1 0 | - | 18 | 48 | 2192 | 739 
InterfModel=0,node=1 1 | - | 20 | 32 | 2207 | 737 
InterfModel=0,node=1 2 | - | 20 | 41 | 2221 | 713 
InterfModel=0,node=1 3 | - | 15 | 39 | 2270 | 674 
InterfModel=0,node=1 4 | - | 21 | 39 | 2238 | 699 
InterfModel=0,node=1 5 | - | 21 | 47 | 2245 | 686 
InterfModel=0,node=1 6 | - | 25 | 50 | 2177 | 745 
InterfModel=0,node=1 7 | - | 14 | 45 | 2247 | 693 
InterfModel=0,node=1 8 | - | 15 | 50 | 2143 | 791 
InterfModel=0,node=1 9 | - | 16 | 37 | 2248 | 696 
InterfModel=0,node=1 10 | - | 14 | 36 | 2311 | 635 
InterfModel=0,node=1 11 | - | 13 | 55 | 2206 | 724 
InterfModel=0,node=1 12 | - | 15 | 46 | 2161 | 776 
InterfModel=0,node=1 13 | - | 15 | 35 | 2151 | 796 
InterfModel=0,node=1 14 | - | 24 | 46 | 2219 | 708 
InterfModel=0,node=1 15 | - | 15 | 55 | 2144 | 784 
InterfModel=0,node=1 16 | - | 14 | 39 | 2212 | 732 
InterfModel=0,node=1 17 | - | 19 | 44 | 2162 | 772 
InterfModel=0,node=1 18 | - | 15 | 33 | 2223 | 728 
InterfModel=0,node=1 19 | - | 23 | 41 | 2171 | 764 
InterfModel=0,node=1 20 | - | 18 | 35 | 2255 | 689 
InterfModel=0,node=1 21 | - | 25 | 42 | 2172 | 760 
InterfModel=0,node=1 22 | - | 15 | 51 | 2132 | 800 
InterfModel=0,node=1 23 | - | 18 | 51 | 2192 | 737 
InterfModel=0,node=1 24 | - | 18 | 27 | 2301 | 652 
InterfModel=0,node=1 25 | - | 14 | 39 | 2220 | 726 
InterfModel=0,node=1 26 | - | 24 | 27 | 2268 | 678 
InterfModel=0,node=1 27 | - | 18 | 27 | 2250 | 703 
InterfModel=0,node=1 28 | - | 26 | 44 | 2179 | 749 
InterfModel=0,node=1 29 | - | 17 | 37 | 2269 | 674 
InterfModel=0,node=1 30 | - | 12 | 36 | 2240 | 708 
InterfModel=0,node=1 31 | - | 19 | 44 | 2149 | 787 
InterfModel=0,node=1 32 | - | 12 | 33 | 2132 | 822 
InterfModel=0,node=1 33 | - | 16 | 28 | 2255 | 698 
InterfModel=0,node=1 34 | - | 24 | 31 | 2207 | 736 
InterfModel=0,node=1 35 | - | 15 | 51 | 2248 | 683 
InterfModel=0,node=1 36 | - | 24 | 45 | 2106 | 823 
InterfModel=0,node=1 37 | - | 23 | 48 | 2209 | 718 
InterfModel=0,node=1 38 | - | 17 | 39 | 2249 | 692 
InterfModel=0,node=1 39 | - | 18 | 42 | 2210 | 728 
InterfModel=0,node=1 40 | - | 22 | 40 | 2168 | 767 
InterfModel=0,node=1 41 | - | 19 | 30 | 2181 | 765 
InterfModel=0,node=1 42 | - | 18 | 40 | 2244 | 695 
InterfModel=0,node=1 43 | - | 18 | 42 | 2198 | 739 
InterfModel=0,node=1 44 | - | 22 | 42 | 2193 | 740 
InterfModel=0,node=1 45 | - | 14 | 32 | 2209 | 740 
InterfModel=0,node=1 46 | - | 15 | 25 | 2291 | 666 
InterfModel=0,node=1 47 | - | 25 | 38 | 2186 | 750 
InterfModel=0,node=1 48 | - | 20 | 45 | 2155 | 777 
InterfModel=0,node=1 49 | - | 22 | 35 | 2252 | 689 
InterfModel=0,node=1 50 | - | 13 | 46 | 2135 | 803 
InterfModel=0,node=1 51 | - | 21 | 47 | 2201 | 730 
InterfModel=0,node=1 52 | - | 12 | 40 | 2171 | 775 
InterfModel=0,node=1 53 | - | 17 | 42 | 2196 | 743 
InterfModel=0,node=1 54 | - | 23 | 61 | 2155 | 758 
InterfModel=0,node=1 55 | - | 9 | 41 | 2249 | 699 
InterfModel=0,node=1 56 | - | 14 | 45 | 2184 | 756 
InterfModel=0,node=1 57 | - | 9 | 37 | 2194 | 758 
InterfModel=0,node=1 58 | - | 20 | 35 | 2210 | 733 
InterfModel=0,node=1 59 | - | 16 | 43 | 2177 | 761 
InterfModel=0,node=1 60 | - | 19 | 38 | 2224 | 716 
InterfModel=0,node=1 61 | - | 28 | 49 | 2196 | 725 
InterfModel=0,node=1 62 | - | 20 | 43 | 2197 | 737 
InterfModel=0,node=1 63 | - | 20 | 43 | 2199 | 733 
InterfModel=0,node=1 64 | - | 15 | 34 | 2187 | 762 
InterfModel=0,node=1 65 | - | 15 | 35 | 2192 | 757 
InterfModel=0,node=1 66 | - | 17 | 38 | 2253 | 691 
InterfModel=0,node=1 67 | - | 11 | 54 | 2132 | 802 
InterfModel=0,node=1 68 | - | 21 | 32 | 2250 | 695 
InterfModel=0,node=1 69 | - | 23 | 37 | 2205 | 732 
InterfModel=0,node=1 70 | - | 18 | 45 | 2161 | 772 
InterfModel=0,node=1 71 | - | 13 | 40 | 2271 | 674 
InterfModel=0,node=1 72 | - | 20 | 38 | 2183 | 757 
InterfModel=0,node=1 73 | - | 19 | 38 | 2233 | 709 
InterfModel=0,node=1 74 | - | 24 | 52 | 2142 | 780 
InterfModel=0,node=1 75 | - | 28 | 49 | 2181 | 740 
InterfModel=0,node=1 76 | - | 18 | 51 | 2155 | 773 
InterfModel=0,node=1 77 | - | 20 | 45 | 2254 | 678 
InterfModel=0,node=1 78 | - | 19 | 22 | 2184 | 770 
InterfModel=0,node=1 79 | - | 21 | 47 | 2179 | 750 
InterfModel=0,node=1 80 | - | 18 | 43 | 2269 | 669 
InterfModel=0,node=1 81 | - | 17 | 39 | 2236 | 705 
InterfModel=0,node=1 82 | - | 19 | 56 | 2164 | 760 
InterfModel=0,node=1 83 | - | 15 | 44 | 2152 | 786 
InterfModel=0,node=1 84 | - | 14 | 35 | 2166 | 783 
InterfModel=0,node=1 85 | - | 15 | 44 | 2196 | 742 
InterfModel=0,node=1 86 | - | 12 | 26 | 2246 | 715 
InterfModel=0,node=1 87 | - | 12 | 36 | 2243 | 707 
InterfModel=0,node=1 88 | - | 18 | 40 | 2188 | 752 
InterfModel=0,node=1 89 | - | 21 | 42 | 2249 | 687 
InterfModel=0,node=1 90 | - | 15 | 38 | 2160 | 785 
InterfModel=0,node=1 91 | - | 14 | 42 | 2198 | 743 
InterfModel=0,node=1 92 | - | 19 | 35 | 2267 | 676 
InterfModel=0,node=1 93 | - | 14 | 34 | 2226 | 723 
InterfModel=0,node=1 94 | - | 22 | 54 | 2198 | 723 
InterfModel=0,node=1 95 | - | 17 | 35 | 2236 | 709 
InterfModel=0,node=1 96 | - | 17 | 42 | 2193 | 747 
InterfModel=0,node=1 97 | - | 17 | 40 | 2235 | 704 
InterfModel=0,node=1 98 | - | 21 | 53 | 2143 | 782 
InterfModel=0,node=1 99 | - | 15 | 32 | 2268 | 682 
InterfModel=0,node=2 0 | - | 22 | 20 | 2276 | 679 
InterfModel=0,node=2 1 | - | 15 | 22 | 2271 | 689 
InterfModel=0,node=2 2 | - | 18 | 11 | 2271 | 697 
InterfModel=0,node=2 3 | - | 21 | 14 | 2245 | 718 
InterfModel=0,node=2 4 | - | 21 | 22 | 2164 | 790 
InterfModel=0,node=2 5 | - | 12 | 15 | 2293 | 677 
InterfModel=0,node=2 6 | - | 19 | 13 | 2309 | 656 
InterfModel=0,node=2 7 | - | 19 | 13 | 2278 | 687 
InterfModel=0,node=2 8 | - | 20 | 12 | 2210 | 757 
InterfModel=0,node=2 9 | - | 21 | 19 | 2188 | 770 
InterfModel=0,node=2 10 | - | 14 | 22 | 2196 | 765 
InterfModel=0,node=2 11 | - | 20 | 11 | 2230 | 737 
InterfModel=0,node=2 12 | - | 24 | 11 | 2217 | 746 
InterfModel=0,node=2 13 | - | 25 | 18 | 2210 | 744 
InterfModel=0,node=2 14 | - | 20 | 17 | 2218 | 743 
InterfModel=0,node=2 15 | - | 14 | 15 | 2277 | 691 
InterfModel=0,node=2 16 | - | 19 | 19 | 2202 | 758 
InterfModel=0,node=2 17 | - | 19 | 17 | 2224 | 738 
InterfModel=0,node=2 18 | - | 21 | 17 | 2202 | 759 
InterfModel=0,node=2 19 | - | 16 | 16 | 2293 | 672 
InterfModel=0,node=2 20 | - | 19 | 9 | 2261 | 707 
InterfModel=0,node=2 21 | - | 21 | 19 | 2222 | 737 
InterfModel=0,node=2 22 | - | 24 | 13 | 2256 | 703 
InterfModel=0,node=2 23 | - | 18 | 10 | 2241 | 729 
InterfModel=0,node=2 24 | - | 22 | 13 | 2241 | 722 
InterfModel=0,node=2 25 | - | 25 | 12 | 2311 | 648 
InterfModel=0,node=2 26 | - | 25 | 16 | 2232 | 725 
InterfModel=0,node=2 27 | - | 21 | 14 | 2176 | 786 
InterfModel=0,node=2 28 | - | 25 | 17 | 2258 | 697 
InterfModel=0,node=2 29 | - | 20 | 14 | 2239 | 725 
InterfModel=0,node=2 30 | - | 14 | 7 | 2314 | 663 
InterfModel=0,node=2 31 | - | 18 | 19 | 2193 | 767 
InterfModel=0,node=2 32 | - | 24 | 18 | 2257 | 700 
InterfModel=0,node=2 33 | - | 17 | 24 | 2206 | 750 
InterfModel=0,node=2 34 | - | 15 | 9 | 2309 | 666 
InterfModel=0,node=2 35 | - | 16 | 9 | 2289 | 683 
InterfModel=0,node=2 36 | - | 22 | 12 | 2202 | 762 
InterfModel=0,node=2 37 | - | 22 | 17 | 2250 | 708 
InterfModel=0,node=2 38 | - | 17 | 15 | 2269 | 696 
InterfModel=0,node=2 39 | - | 18 | 23 | 2259 | 697 
InterfModel=0,node=2 40 | - | 26 | 10 | 2269 | 690 
InterfModel=0,node=2 41 | - | 11 | 9 | 2315 | 663 
InterfModel=0,node=2 42 | - | 17 | 11 | 2261 | 708 
InterfModel=0,node=2 43 | - | 30 | 22 | 2236 | 710 
InterfModel=0,node=2 44 | - | 20 | 17 | 2175 | 787 
InterfModel=0,node=2 45 | - | 15 | 11 | 2297 | 676 
InterfModel=0,node=2 46 | - | 19 | 17 | 2246 | 716 
InterfModel=0,node=2 47 | - | 9 | 21 | 2182 | 785 
InterfModel=0,node=2 48 | - | 28 | 16 | 2237 | 717 
InterfModel=0,node=2 49 | - | 17 | 12 | 2198 | 772 
InterfModel=0,node=2 50 | - | 19 | 9 | 2298 | 672 
InterfModel=0,node=2 51 | - | 18 | 20 | 2226 | 732 
InterfModel=0,node=2 52 | - | 21 | 3 | 2306 | 667 
InterfModel=0,node=2 53 | - | 21 | 16 | 2242 | 720 
InterfModel=0,node=2 54 | - | 24 | 6 | 2312 | 655 
InterfModel=0,node=2 55 | - | 16 | 9 | 2239 | 733 
InterfModel=0,node=2 56 | - | 21 | 12 | 2251 | 715 
InterfModel=0,node=2 57 | - | 16 | 17 | 2267 | 699 
InterfModel=0,node=2 58 | - | 16 | 10 | 2277 | 694 
InterfModel=0,node=2 59 | - | 16 | 11 | 2309 | 663 
InterfModel=0,node=2 60 | - | 25 | 11 | 2298 | 663 
InterfModel=0,node=2 61 | - | 16 | 22 | 2198 | 763 
InterfModel=0,node=2 62 | - | 17 | 17 | 2216 | 748 
InterfModel=0,node=2 63 | - | 18 | 16 | 2302 | 661 
InterfModel=0,node=2 64 | - | 15 | 9 | 2303 | 672 
InterfModel=0,node=2 65 | - | 22 | 14 | 2216 | 747 
InterfModel=0,node=2 66 | - | 16 | 12 | 2309 | 662 
InterfModel=0,node=2 67 | - | 22 | 16 | 2203 | 758 
InterfModel=0,node=2 68 | - | 18 | 10 | 2291 | 678 
InterfModel=0,node=2 69 | - | 15 | 8 | 2265 | 710 
InterfModel=0,node=2 70 | - | 26 | 12 | 2266 | 693 
InterfModel=0,node=2 71 | - | 20 | 12 | 2265 | 702 
InterfModel=0,node=2 72 | - | 15 | 18 | 2200 | 765 
InterfModel=0,node=2 73 | - | 20 | 12 | 2284 | 683 
InterfModel=0,node=2 74 | - | 18 | 23 | 2211 | 744 
InterfModel=0,node=2 75 | - | 19 | 11 | 2225 | 743 
InterfModel=0,node=2 76 | - | 20 | 13 | 2288 | 677 
InterfModel=0,node=2 77 | - | 26 | 11 | 2237 | 724 
InterfModel=0,node=2 78 | - | 15 | 16 | 2233 | 731 
InterfModel=0,node=2 79 | - | 18 | 11 | 2291 | 679 
InterfModel=0,node=2 80 | - | 16 | 14 | 2239 | 730 
InterfModel=0,node=2 81 | - | 20 | 12 | 2255 | 710 
InterfModel=0,node=2 82 | - | 19 | 14 | 2239 | 726 
