CastaliaResults -i saida.txt -s Packet Breakdown -n --all -o2                                                              

Communication.MAC:Packet breakdown
 | Failed, buffer overflow | Failed, busy channel | Failed, no ack | Success, first try | Success, not first try
InterfModel=0,node=1 | 0 | 20.37 | 160.89 | 2041.13 | 775.12 
InterfModel=0,node=2 | 0 | 20.91 | 27.13 | 2192.19 | 757.49 
InterfModel=0,node=3 | 13.16 | 18.9 | 311.58 | 3155.03 | 989.97 
InterfModel=0,node=4 | 1621.82 | 20.64 | 55.42 | 4624.73 | 1144.96 
InterfModel=0,node=5 | 1487.28 | 13.42 | 142.86 | 4533.25 | 1291.45 
InterfModel=1,node=1 | 0 | 22.18 | 369.07 | 1711.96 | 893.43 
InterfModel=1,node=2 | 0 | 22.22 | 254.05 | 1798.8 | 922.23 
InterfModel=1,node=3 | 710.19 | 19.07 | 550.68 | 2194.55 | 994.92 
InterfModel=1,node=4 | 2599.61 | 22.53 | 144.87 | 3483.05 | 1216.83 
InterfModel=1,node=5 | 2605.35 | 13.92 | 323.73 | 3176.48 | 1347.79 
InterfModel=2,node=1 | 0 | 21.92 | 329.34 | 1786.27 | 859.4 
InterfModel=2,node=2 | 0 | 22.83 | 71.31 | 2176.04 | 727.38 
InterfModel=2,node=3 | 518.09 | 19.28 | 506.8 | 2422.31 | 1004.47 
InterfModel=2,node=4 | 1947.83 | 23.83 | 60.09 | 4411.04 | 1024.67 
InterfModel=2,node=5 | 1601.08 | 13.84 | 137.55 | 4597.35 | 1118.22 
Communication.MAC:Packet breakdown - all values
 | Failed, buffer overflow | Failed, busy channel | Failed, no ack | Success, first try | Success, not first try
InterfModel=0,node=1 0 | - | 19 | 177 | 2047 | 754 
InterfModel=0,node=1 1 | - | 32 | 152 | 2038 | 775 
InterfModel=0,node=1 2 | - | 23 | 161 | 2068 | 745 
InterfModel=0,node=1 3 | - | 16 | 158 | 2077 | 747 
InterfModel=0,node=1 4 | - | 19 | 211 | 1967 | 800 
InterfModel=0,node=1 5 | - | 24 | 173 | 2079 | 722 
InterfModel=0,node=1 6 | - | 18 | 168 | 2029 | 783 
InterfModel=0,node=1 7 | - | 18 | 178 | 2038 | 764 
InterfModel=0,node=1 8 | - | 25 | 173 | 2022 | 779 
InterfModel=0,node=1 9 | - | 15 | 143 | 2115 | 724 
InterfModel=0,node=1 10 | - | 19 | 162 | 2077 | 736 
InterfModel=0,node=1 11 | - | 14 | 178 | 2010 | 797 
InterfModel=0,node=1 12 | - | 22 | 185 | 2028 | 758 
InterfModel=0,node=1 13 | - | 12 | 147 | 2054 | 784 
InterfModel=0,node=1 14 | - | 20 | 175 | 2005 | 796 
InterfModel=0,node=1 15 | - | 18 | 148 | 2041 | 793 
InterfModel=0,node=1 16 | - | 16 | 172 | 2004 | 807 
InterfModel=0,node=1 17 | - | 31 | 160 | 1963 | 842 
InterfModel=0,node=1 18 | - | 25 | 175 | 2063 | 736 
InterfModel=0,node=1 19 | - | 18 | 150 | 1999 | 832 
InterfModel=0,node=1 20 | - | 15 | 148 | 2075 | 759 
InterfModel=0,node=1 21 | - | 22 | 151 | 2051 | 775 
InterfModel=0,node=1 22 | - | 21 | 176 | 2003 | 797 
InterfModel=0,node=1 23 | - | 19 | 154 | 2055 | 771 
InterfModel=0,node=1 24 | - | 17 | 135 | 2138 | 709 
InterfModel=0,node=1 25 | - | 17 | 170 | 2107 | 704 
InterfModel=0,node=1 26 | - | 14 | 168 | 2108 | 707 
InterfModel=0,node=1 27 | - | 21 | 132 | 2125 | 717 
InterfModel=0,node=1 28 | - | 13 | 157 | 2007 | 818 
InterfModel=0,node=1 29 | - | 19 | 148 | 2060 | 772 
InterfModel=0,node=1 30 | - | 21 | 141 | 2116 | 719 
InterfModel=0,node=1 31 | - | 18 | 153 | 2002 | 824 
InterfModel=0,node=1 32 | - | 21 | 145 | 2005 | 826 
InterfModel=0,node=1 33 | - | 14 | 151 | 2083 | 750 
InterfModel=0,node=1 34 | - | 20 | 153 | 2075 | 751 
InterfModel=0,node=1 35 | - | 21 | 146 | 2098 | 734 
InterfModel=0,node=1 36 | - | 22 | 152 | 2017 | 809 
InterfModel=0,node=1 37 | - | 22 | 162 | 2027 | 784 
InterfModel=0,node=1 38 | - | 23 | 157 | 2073 | 742 
InterfModel=0,node=1 39 | - | 30 | 140 | 2027 | 800 
InterfModel=0,node=1 40 | - | 15 | 144 | 2035 | 803 
InterfModel=0,node=1 41 | - | 27 | 157 | 2081 | 731 
