CastaliaResults -i saida.txt -s Packets reception rate -n --all -o2                                                                    

Application:Packets reception rate - total
 | index=1 | index=2 | index=3 | index=4 | index=5
InterfModel=0 | 0.945 | 0.985 | 0.928 | 0.772 | 0.781 
InterfModel=1 | 0.875 | 0.911 | 0.716 | 0.628 | 0.607 
InterfModel=2 | 0.889 | 0.969 | 0.769 | 0.727 | 0.766 
Application:Packets reception rate - all values
 | index=1 | index=2 | index=3 | index=4 | index=5
InterfModel=0 0 | 0.938646 | 0.981327 | 0.918204 | 0.758901 | 0.779304 
InterfModel=0 1 | 0.944648 | 0.986996 | 0.93643 | 0.770636 | 0.776237 
InterfModel=0 2 | 0.942648 | 0.988329 | 0.92265 | 0.755067 | 0.780104 
InterfModel=0 3 | 0.945649 | 0.982994 | 0.92176 | 0.763835 | 0.781838 
InterfModel=0 4 | 0.931977 | 0.98933 | 0.929318 | 0.787277 | 0.769405 
InterfModel=0 5 | 0.936979 | 0.985662 | 0.926206 | 0.798506 | 0.77394 
InterfModel=0 6 | 0.947649 | 0.986329 | 0.931096 | 0.756368 | 0.801574 
InterfModel=0 7 | 0.939313 | 0.983661 | 0.92665 | 0.777037 | 0.776103 
InterfModel=0 8 | 0.940647 | 0.97866 | 0.916648 | 0.766769 | 0.791172 
InterfModel=0 9 | 0.95065 | 0.985328 | 0.917093 | 0.751967 | 0.796373 
InterfModel=0 10 | 0.942314 | 0.986 | 0.915537 | 0.769939 | 0.784238 
InterfModel=0 11 | 0.94098 | 0.981661 | 0.923094 | 0.763702 | 0.785705 
InterfModel=0 12 | 0.932644 | 0.985328 | 0.936208 | 0.770636 | 0.779837 
InterfModel=0 13 | 0.953318 | 0.988329 | 0.926206 | 0.778237 | 0.773139 
InterfModel=0 14 | 0.939647 | 0.984328 | 0.937986 | 0.774503 | 0.779704 
InterfModel=0 15 | 0.950667 | 0.986996 | 0.931096 | 0.763969 | 0.783304 
InterfModel=0 16 | 0.942981 | 0.986662 | 0.934208 | 0.785409 | 0.763702 
InterfModel=0 17 | 0.941647 | 0.984995 | 0.930429 | 0.765271 | 0.786105 
InterfModel=0 18 | 0.940313 | 0.986996 | 0.916852 | 0.761568 | 0.803307 
