CastaliaResults -i saida.txt -s Energy nJ/bit -n --all -o2                                                           

Application:Energy nJ/bit
 | node=1 | node=2 | node=3 | node=4 | node=5
InterfModel=0 | 102.795 | 99.809 | 68.813 | 50.506 | 49.389 
InterfModel=1 | 110.829 | 107.816 | 89.257 | 62.122 | 63.575 
InterfModel=2 | 108.968 | 101.445 | 83.091 | 53.659 | 50.403 
Application:Energy nJ/bit - all values
 | node=1 | node=2 | node=3 | node=4 | node=5
InterfModel=0 0 | 102.773 | 100.404 | 70.0726 | 51.0837 | 49.4554 
InterfModel=0 1 | 102.745 | 99.6122 | 68.1804 | 50.4706 | 49.5658 
InterfModel=0 2 | 102.458 | 99.3555 | 69.4666 | 51.4175 | 49.1198 
InterfModel=0 3 | 102.313 | 99.8345 | 68.9881 | 51.1074 | 49.4273 
InterfModel=0 4 | 104.203 | 99.5151 | 68.7838 | 49.6169 | 50.0053 
InterfModel=0 5 | 103.524 | 99.8616 | 69.282 | 48.8931 | 50.0016 
InterfModel=0 6 | 102.92 | 99.6726 | 68.3698 | 51.6217 | 48.1501 
InterfModel=0 7 | 103.704 | 100.086 | 68.8468 | 50.0224 | 49.5564 
InterfModel=0 8 | 102.973 | 100.435 | 70.0598 | 50.7264 | 49.0555 
InterfModel=0 9 | 102.427 | 99.8756 | 69.0006 | 51.8172 | 48.5266 
InterfModel=0 10 | 103.041 | 99.7347 | 69.6461 | 50.7007 | 48.8437 
InterfModel=0 11 | 103.004 | 100.305 | 69.2303 | 51.0449 | 49.2935 
InterfModel=0 12 | 104.267 | 99.5278 | 68.2105 | 50.5868 | 49.3522 
InterfModel=0 13 | 101.841 | 99.7061 | 69.2678 | 50.0555 | 49.7308 
InterfModel=0 14 | 103.012 | 99.9015 | 68.4218 | 50.4064 | 49.4702 
InterfModel=0 15 | 101.541 | 99.4906 | 68.941 | 50.9257 | 49.6215 
InterfModel=0 16 | 102.92 | 99.5331 | 68.5106 | 49.6498 | 50.3949 
InterfModel=0 17 | 103.382 | 99.6883 | 68.5576 | 51.0484 | 49.2272 
InterfModel=0 18 | 103.243 | 99.6976 | 69.4638 | 51.0454 | 48.1011 
InterfModel=0 19 | 102.486 | 99.8462 | 69.2923 | 49.4827 | 50.2536 
InterfModel=0 20 | 102.577 | 99.8304 | 67.5399 | 49.8372 | 50.576 
InterfModel=0 21 | 102.908 | 99.9265 | 69.641 | 50.4401 | 49.945 
InterfModel=0 22 | 103.282 | 99.8232 | 69.5022 | 51.8426 | 49.521 
InterfModel=0 23 | 102.354 | 99.8392 | 68.8197 | 50.3102 | 48.84 
InterfModel=0 24 | 102.381 | 99.9715 | 69.1123 | 50.2887 | 50.677 
InterfModel=0 25 | 102.772 | 99.2779 | 68.2354 | 50.3771 | 49.7227 
InterfModel=0 26 | 102.826 | 100.243 | 69.2746 | 50.73 | 48.6185 
InterfModel=0 27 | 101.972 | 99.6782 | 70.1392 | 50.2127 | 48.9207 
InterfModel=0 28 | 102.636 | 99.4952 | 68.9727 | 49.3162 | 50.1486 
InterfModel=0 29 | 101.885 | 99.5701 | 69.2699 | 50.0291 | 49.3437 
InterfModel=0 30 | 102.298 | 99.8533 | 67.731 | 50.768 | 49.082 
InterfModel=0 31 | 102.446 | 99.7518 | 68.52 | 50.6483 | 48.8172 
InterfModel=0 32 | 102.435 | 99.8104 | 68.7751 | 50.981 | 49.2049 
InterfModel=0 33 | 102.468 | 99.8847 | 69.1433 | 50.3199 | 50.5204 
InterfModel=0 34 | 101.48 | 99.7 | 69.5486 | 50.1367 | 49.7923 
InterfModel=0 35 | 102.488 | 100.569 | 67.9986 | 50.7472 | 49.0512 
InterfModel=0 36 | 102.419 | 100.206 | 68.0434 | 50.3995 | 50.1693 
InterfModel=0 37 | 103.237 | 99.9458 | 68.8297 | 50.1898 | 49.4707 
InterfModel=0 38 | 103.567 | 100.063 | 68.5881 | 49.3271 | 49.1146 
InterfModel=0 39 | 102.041 | 99.7887 | 68.8521 | 50.9384 | 48.9358 
InterfModel=0 40 | 102.126 | 99.9402 | 68.5492 | 49.9314 | 48.9299 
InterfModel=0 41 | 103.1 | 99.8279 | 69.1206 | 50.6884 | 49.4934 
InterfModel=0 42 | 102.356 | 99.9542 | 68.1304 | 50.389 | 48.7583 
InterfModel=0 43 | 102.067 | 99.6752 | 69.7463 | 50.4874 | 50.0819 
InterfModel=0 44 | 102.83 | 100.252 | 69.305 | 51.4091 | 49.9765 
InterfModel=0 45 | 104.567 | 99.5864 | 69.5815 | 50.3574 | 50.5306 
InterfModel=0 46 | 102.002 | 99.5065 | 68.1636 | 49.8956 | 49.0113 
InterfModel=0 47 | 102.841 | 99.6108 | 69.175 | 50.4403 | 48.7531 
InterfModel=0 48 | 101.195 | 99.3342 | 67.5186 | 49.5623 | 50.0876 
InterfModel=0 49 | 104.015 | 99.7344 | 69.4569 | 50.988 | 49.7595 
InterfModel=0 50 | 102.305 | 99.6621 | 69.1458 | 50.7826 | 50.0702 
InterfModel=0 51 | 103.574 | 100.11 | 67.9674 | 50.9103 | 49.2994 
InterfModel=0 52 | 102.572 | 100.034 | 68.4917 | 50.2749 | 49.321 
InterfModel=0 53 | 103.074 | 100.241 | 68.2679 | 49.5124 | 50.7587 
InterfModel=0 54 | 103.884 | 99.728 | 68.9923 | 50.9956 | 48.7153 
InterfModel=0 55 | 103.372 | 99.6295 | 68.4323 | 50.6291 | 48.7027 
InterfModel=0 56 | 104.007 | 100.135 | 68.3528 | 51.0196 | 48.7762 
InterfModel=0 57 | 103.296 | 99.5072 | 69.9643 | 50.9781 | 49.473 
InterfModel=0 58 | 102.74 | 99.7854 | 69.2609 | 49.692 | 50.3705 
InterfModel=0 59 | 102.256 | 100.038 | 69.0203 | 49.6763 | 49.4321 
InterfModel=0 60 | 102.643 | 99.6231 | 68.2505 | 49.8075 | 49.7661 
InterfModel=0 61 | 103.194 | 99.8361 | 68.7822 | 49.2308 | 49.0349 
InterfModel=0 62 | 102.164 | 99.9499 | 67.8273 | 50.4015 | 49.3137 
InterfModel=0 63 | 102.259 | 99.6106 | 67.7084 | 50.1849 | 48.3053 
InterfModel=0 64 | 102.755 | 99.8026 | 69.4145 | 50.7828 | 49.8967 
InterfModel=0 65 | 103.408 | 100.031 | 69.8363 | 51.4424 | 49.3655 
InterfModel=0 66 | 102.399 | 99.7203 | 68.9729 | 50.2668 | 49.0862 
InterfModel=0 67 | 102.672 | 99.6546 | 68.5303 | 49.7426 | 49.6342 
InterfModel=0 68 | 103.075 | 99.5428 | 68.1978 | 50.8957 | 49.1395 
