CastaliaResults -i saida.txt -s Packet Breakdown -n --all -o2                                                              

Communication.MAC:Packet breakdown
 | Failed, buffer overflow | Failed, busy channel | Failed, no ack | Success, first try | Success, not first try
InterfModel=0,node=1 | 0 | 18.83 | 46.09 | 2195.49 | 737.27 
InterfModel=0,node=2 | 0 | 19.28 | 12.86 | 2250.01 | 715.67 
InterfModel=0,node=3 | 0 | 19.58 | 91.58 | 3437.29 | 946.65 
InterfModel=0,node=4 | 1324.57 | 17.12 | 37.1 | 5021.77 | 1067.33 
InterfModel=0,node=5 | 1462.17 | 15.38 | 77.5 | 4806.33 | 1106.6 
InterfModel=1,node=1 | 0 | 20.15 | 111.61 | 2023.94 | 841.81 
InterfModel=1,node=2 | 0 | 21.13 | 76.21 | 2063.64 | 836.74 
InterfModel=1,node=3 | 9.78 | 19.65 | 178.25 | 3202.16 | 1079 
InterfModel=1,node=4 | 2245.43 | 19.26 | 99.72 | 3949.98 | 1152.61 
InterfModel=1,node=5 | 2426.7 | 16.32 | 176.88 | 3651.8 | 1195.58 
InterfModel=2,node=1 | 0 | 19.36 | 90.01 | 2098.39 | 789.79 
InterfModel=2,node=2 | 0 | 20.01 | 13.64 | 2334.7 | 629.46 
InterfModel=2,node=3 | 1.51 | 18.63 | 155.89 | 3277.36 | 1038.4 
InterfModel=2,node=4 | 1800.19 | 19.02 | 58.29 | 4562.85 | 1027.34 
InterfModel=2,node=5 | 2010.99 | 15.37 | 122.12 | 4202.96 | 1115.83 
Communication.MAC:Packet breakdown - all values
 | Failed, buffer overflow | Failed, busy channel | Failed, no ack | Success, first try | Success, not first try
InterfModel=0,node=1 0 | - | 18 | 52 | 2188 | 740 
InterfModel=0,node=1 1 | - | 16 | 44 | 2219 | 719 
InterfModel=0,node=1 2 | - | 18 | 41 | 2201 | 737 
InterfModel=0,node=1 3 | - | 19 | 51 | 2209 | 719 
InterfModel=0,node=1 4 | - | 18 | 45 | 2157 | 778 
InterfModel=0,node=1 5 | - | 23 | 35 | 2267 | 674 
InterfModel=0,node=1 6 | - | 15 | 39 | 2181 | 764 
InterfModel=0,node=1 7 | - | 23 | 43 | 2187 | 746 
InterfModel=0,node=1 8 | - | 14 | 48 | 2176 | 760 
InterfModel=0,node=1 9 | - | 12 | 49 | 2194 | 742 
InterfModel=0,node=1 10 | - | 15 | 51 | 2225 | 706 
InterfModel=0,node=1 11 | - | 20 | 40 | 2197 | 740 
InterfModel=0,node=1 12 | - | 16 | 53 | 2203 | 726 
InterfModel=0,node=1 13 | - | 14 | 46 | 2173 | 764 
InterfModel=0,node=1 14 | - | 17 | 45 | 2216 | 720 
InterfModel=0,node=1 15 | - | 16 | 42 | 2170 | 772 
InterfModel=0,node=1 16 | - | 17 | 52 | 2165 | 764 
InterfModel=0,node=1 17 | - | 22 | 43 | 2160 | 773 
InterfModel=0,node=1 18 | - | 25 | 38 | 2195 | 740 
InterfModel=0,node=1 19 | - | 19 | 43 | 2176 | 760 
InterfModel=0,node=1 20 | - | 23 | 47 | 2238 | 689 
InterfModel=0,node=1 21 | - | 15 | 60 | 2153 | 771 
InterfModel=0,node=1 22 | - | 17 | 43 | 2203 | 734 
InterfModel=0,node=1 23 | - | 11 | 42 | 2244 | 702 
InterfModel=0,node=1 24 | - | 15 | 38 | 2253 | 693 
InterfModel=0,node=1 25 | - | 38 | 48 | 2185 | 726 
InterfModel=0,node=1 26 | - | 23 | 40 | 2255 | 678 
InterfModel=0,node=1 27 | - | 26 | 52 | 2211 | 709 
InterfModel=0,node=1 28 | - | 29 | 62 | 2172 | 734 
InterfModel=0,node=1 29 | - | 24 | 59 | 2207 | 709 
InterfModel=0,node=1 30 | - | 15 | 40 | 2275 | 667 
InterfModel=0,node=1 31 | - | 26 | 44 | 2173 | 756 
InterfModel=0,node=1 32 | - | 19 | 51 | 2137 | 792 
InterfModel=0,node=1 33 | - | 15 | 48 | 2239 | 697 
InterfModel=0,node=1 34 | - | 20 | 44 | 2223 | 712 
InterfModel=0,node=1 35 | - | 20 | 47 | 2225 | 706 
InterfModel=0,node=1 36 | - | 18 | 49 | 2179 | 753 
InterfModel=0,node=1 37 | - | 22 | 41 | 2201 | 734 
InterfModel=0,node=1 38 | - | 16 | 36 | 2229 | 716 
InterfModel=0,node=1 39 | - | 9 | 56 | 2111 | 820 
InterfModel=0,node=1 40 | - | 12 | 52 | 2203 | 730 
InterfModel=0,node=1 41 | - | 19 | 42 | 2213 | 723 
InterfModel=0,node=1 42 | - | 10 | 40 | 2282 | 665 
InterfModel=0,node=1 43 | - | 16 | 32 | 2151 | 798 
InterfModel=0,node=1 44 | - | 29 | 42 | 2184 | 741 
InterfModel=0,node=1 45 | - | 18 | 44 | 2173 | 763 
InterfModel=0,node=1 46 | - | 12 | 42 | 2275 | 668 
InterfModel=0,node=1 47 | - | 39 | 47 | 2142 | 769 
InterfModel=0,node=1 48 | - | 20 | 42 | 2205 | 730 
InterfModel=0,node=1 49 | - | 19 | 38 | 2257 | 685 
InterfModel=0,node=1 50 | - | 15 | 61 | 2120 | 801 
InterfModel=0,node=1 51 | - | 18 | 39 | 2198 | 742 
InterfModel=0,node=1 52 | - | 12 | 39 | 2200 | 746 
InterfModel=0,node=1 53 | - | 22 | 38 | 2198 | 741 
InterfModel=0,node=1 54 | - | 17 | 60 | 2158 | 762 
InterfModel=0,node=1 55 | - | 21 | 34 | 2234 | 708 
InterfModel=0,node=1 56 | - | 20 | 42 | 2133 | 804 
InterfModel=0,node=1 57 | - | 18 | 47 | 2174 | 759 
InterfModel=0,node=1 58 | - | 31 | 45 | 2171 | 752 
InterfModel=0,node=1 59 | - | 22 | 64 | 2156 | 755 
InterfModel=0,node=1 60 | - | 30 | 31 | 2295 | 641 
InterfModel=0,node=1 61 | - | 15 | 45 | 2238 | 698 
InterfModel=0,node=1 62 | - | 11 | 55 | 2175 | 756 
InterfModel=0,node=1 63 | - | 14 | 57 | 2158 | 769 
InterfModel=0,node=1 64 | - | 16 | 46 | 2132 | 803 
InterfModel=0,node=1 65 | - | 17 | 43 | 2179 | 754 
InterfModel=0,node=1 66 | - | 18 | 47 | 2284 | 650 
