CastaliaResults -i saida.txt -s Packets received per node -n --all -o2                                                                       

Application:Packets received per node
 | index=1 | index=2 | index=3 | index=4 | index=5
InterfModel=0 | 2794.88 | 2935.4 | 4131.44 | 5447.76 | 5120.87 
InterfModel=1 | 2562.57 | 2687.02 | 3207.61 | 3669.88 | 2938.78 
InterfModel=2 | 2680.81 | 2944.87 | 3795.64 | 4829.06 | 4066.12 
Application:Packets received per node - all values
 | index=1 | index=2 | index=3 | index=4 | index=5
InterfModel=0 0 | 2805 | 2932 | 4097 | 5421 | 5140 
InterfModel=0 1 | 2786 | 2939 | 4127 | 5336 | 5154 
InterfModel=0 2 | 2780 | 2928 | 4145 | 5483 | 5151 
InterfModel=0 3 | 2819 | 2927 | 4142 | 5451 | 5144 
InterfModel=0 4 | 2805 | 2947 | 4129 | 5331 | 5199 
InterfModel=0 5 | 2806 | 2930 | 4151 | 5632 | 4985 
InterfModel=0 6 | 2833 | 2947 | 4124 | 5474 | 5110 
InterfModel=0 7 | 2800 | 2929 | 4132 | 5290 | 5341 
InterfModel=0 8 | 2778 | 2931 | 4123 | 5442 | 5190 
InterfModel=0 9 | 2812 | 2912 | 4136 | 5528 | 5076 
InterfModel=0 10 | 2825 | 2948 | 4127 | 5424 | 5072 
InterfModel=0 11 | 2802 | 2918 | 4120 | 5425 | 5072 
InterfModel=0 12 | 2792 | 2930 | 4172 | 5536 | 5105 
InterfModel=0 13 | 2812 | 2935 | 4187 | 5522 | 4950 
InterfModel=0 14 | 2777 | 2938 | 4100 | 5401 | 5190 
InterfModel=0 15 | 2813 | 2937 | 4137 | 5466 | 4924 
InterfModel=0 16 | 2796 | 2932 | 4132 | 5310 | 5107 
InterfModel=0 17 | 2792 | 2927 | 4091 | 5310 | 5225 
InterfModel=0 18 | 2817 | 2911 | 4113 | 5437 | 5130 
InterfModel=0 19 | 2797 | 2937 | 4138 | 5570 | 5134 
InterfModel=0 20 | 2799 | 2929 | 4165 | 5344 | 5048 
InterfModel=0 21 | 2798 | 2940 | 4086 | 5383 | 5137 
InterfModel=0 22 | 2798 | 2934 | 4171 | 5574 | 4923 
InterfModel=0 23 | 2787 | 2931 | 4131 | 5513 | 4986 
InterfModel=0 24 | 2785 | 2946 | 4196 | 5404 | 5139 
InterfModel=0 25 | 2782 | 2943 | 4175 | 5553 | 5079 
InterfModel=0 26 | 2794 | 2936 | 4131 | 5438 | 5022 
InterfModel=0 27 | 2764 | 2936 | 4170 | 5439 | 5128 
InterfModel=0 28 | 2797 | 2937 | 4129 | 5366 | 5200 
InterfModel=0 29 | 2788 | 2948 | 4133 | 5391 | 5181 
InterfModel=0 30 | 2795 | 2939 | 4075 | 5523 | 5140 
InterfModel=0 31 | 2785 | 2932 | 4067 | 5372 | 5026 
InterfModel=0 32 | 2799 | 2942 | 4135 | 5589 | 5044 
InterfModel=0 33 | 2811 | 2932 | 4150 | 5485 | 5105 
InterfModel=0 34 | 2804 | 2935 | 4139 | 5400 | 5143 
InterfModel=0 35 | 2786 | 2936 | 4125 | 5376 | 5265 
InterfModel=0 36 | 2760 | 2927 | 4094 | 5433 | 5166 
InterfModel=0 37 | 2813 | 2931 | 4164 | 5427 | 5114 
InterfModel=0 38 | 2786 | 2935 | 4102 | 5535 | 5081 
InterfModel=0 39 | 2781 | 2932 | 4169 | 5469 | 5068 
InterfModel=0 40 | 2811 | 2934 | 4149 | 5408 | 5100 
InterfModel=0 41 | 2798 | 2949 | 4161 | 5446 | 5192 
InterfModel=0 42 | 2766 | 2930 | 4160 | 5361 | 5128 
InterfModel=0 43 | 2799 | 2937 | 4145 | 5487 | 5117 
InterfModel=0 44 | 2836 | 2919 | 4103 | 5363 | 5079 
InterfModel=0 45 | 2789 | 2941 | 4124 | 5518 | 5093 
InterfModel=0 46 | 2776 | 2943 | 4174 | 5324 | 5172 
InterfModel=0 47 | 2774 | 2939 | 4123 | 5401 | 5032 
InterfModel=0 48 | 2772 | 2926 | 4051 | 5350 | 5119 
InterfModel=0 49 | 2798 | 2928 | 4166 | 5392 | 5203 
InterfModel=0 50 | 2799 | 2944 | 4103 | 5439 | 5274 
InterfModel=0 51 | 2807 | 2936 | 4181 | 5459 | 5170 
InterfModel=0 52 | 2785 | 2933 | 4202 | 5483 | 5042 
InterfModel=0 53 | 2783 | 2939 | 4117 | 5415 | 5358 
InterfModel=0 54 | 2788 | 2946 | 4166 | 5330 | 5023 
InterfModel=0 55 | 2799 | 2938 | 4133 | 5511 | 4906 
InterfModel=0 56 | 2796 | 2918 | 4103 | 5264 | 5301 
InterfModel=0 57 | 2771 | 2928 | 4094 | 5372 | 5247 
