CastaliaResults -i saida.txt -s Estimated network lifetime --all -o2                                                                     

ResourceManager:Estimated network lifetime (days)
 | InterfModel=0 | InterfModel=1 | InterfModel=2
 | 69.936 | 69.927 | 69.933 
ResourceManager:Estimated network lifetime (days) - all values
 | InterfModel=0 | InterfModel=1 | InterfModel=2
 0 | 69.9368 | 69.9233 | 69.9291 
 1 | 69.9364 | 69.9232 | 69.9343 
 2 | 69.9407 | 69.9314 | 69.9351 
 3 | 69.9391 | 69.9232 | 69.9373 
 4 | 69.9318 | 69.9264 | 69.938 
 5 | 69.9348 | 69.928 | 69.935 
 6 | 69.934 | 69.9305 | 69.9292 
 7 | 69.9366 | 69.927 | 69.93 
 8 | 69.9328 | 69.9295 | 69.9348 
 9 | 69.9375 | 69.9281 | 69.9324 
 10 | 69.9403 | 69.9251 | 69.9341 
 11 | 69.9316 | 69.9297 | 69.9319 
 12 | 69.9383 | 69.9326 | 69.9336 
 13 | 69.9362 | 69.923 | 69.928 
 14 | 69.9397 | 69.9224 | 69.9304 
 15 | 69.9372 | 69.933 | 69.9347 
 16 | 69.9412 | 69.9313 | 69.9298 
 17 | 69.939 | 69.9248 | 69.9347 
 18 | 69.9318 | 69.9259 | 69.9299 
 19 | 69.9334 | 69.9265 | 69.9366 
 20 | 69.9398 | 69.924 | 69.9376 
 21 | 69.9307 | 69.9325 | 69.9361 
 22 | 69.941 | 69.9237 | 69.9345 
 23 | 69.9309 | 69.9229 | 69.9369 
 24 | 69.9326 | 69.9314 | 69.9282 
 25 | 69.933 | 69.922 | 69.9288 
 26 | 69.9387 | 69.9256 | 69.9315 
 27 | 69.9357 | 69.923 | 69.9304 
 28 | 69.9357 | 69.9244 | 69.9375 
 29 | 69.9353 | 69.9281 | 69.9306 
 30 | 69.9369 | 69.9309 | 69.9292 
 31 | 69.9337 | 69.9248 | 69.9299 
 32 | 69.9333 | 69.9219 | 69.9335 
 33 | 69.9318 | 69.9266 | 69.9337 
 34 | 69.9319 | 69.9253 | 69.9284 
 35 | 69.9345 | 69.9301 | 69.9274 
 36 | 69.9348 | 69.9309 | 69.9289 
 37 | 69.9408 | 69.9234 | 69.9309 
 38 | 69.9384 | 69.9274 | 69.9297 
 39 | 69.941 | 69.9314 | 69.9374 
 40 | 69.9386 | 69.928 | 69.931 
 41 | 69.9384 | 69.9304 | 69.9351 
 42 | 69.9404 | 69.9304 | 69.9388 
 43 | 69.9386 | 69.9255 | 69.9374 
 44 | 69.9344 | 69.9322 | 69.9297 
 45 | 69.9329 | 69.9287 | 69.9345 
 46 | 69.9392 | 69.9253 | 69.9292 
 47 | 69.9353 | 69.9283 | 69.9377 
 48 | 69.9382 | 69.9265 | 69.9305 
 49 | 69.9315 | 69.9264 | 69.9379 
 50 | 69.941 | 69.9236 | 69.9378 
 51 | 69.9341 | 69.9281 | 69.932 
 52 | 69.938 | 69.9219 | 69.9286 
 53 | 69.9329 | 69.9325 | 69.9379 
 54 | 69.9384 | 69.9324 | 69.9321 
 55 | 69.9385 | 69.9318 | 69.9327 
 56 | 69.9328 | 69.9258 | 69.9387 
 57 | 69.9311 | 69.933 | 69.928 
 58 | 69.9326 | 69.9261 | 69.9315 
 59 | 69.9356 | 69.9311 | 69.9348 
 60 | 69.9367 | 69.9245 | 69.9309 
 61 | 69.9339 | 69.9269 | 69.9292 
 62 | 69.937 | 69.9314 | 69.9319 
 63 | 69.9396 | 69.9276 | 69.9368 
 64 | 69.9329 | 69.9261 | 69.9334 
 65 | 69.9321 | 69.9221 | 69.9381 
 66 | 69.9311 | 69.9258 | 69.9335 
 67 | 69.9372 | 69.9228 | 69.9322 
 68 | 69.9345 | 69.9276 | 69.9333 
 69 | 69.9383 | 69.9217 | 69.9303 
 70 | 69.9406 | 69.922 | 69.9282 
 71 | 69.9355 | 69.9255 | 69.9379 
 72 | 69.9403 | 69.9301 | 69.9307 
 73 | 69.9325 | 69.9263 | 69.9287 
 74 | 69.9364 | 69.9234 | 69.9315 
 75 | 69.9369 | 69.9312 | 69.9305 
 76 | 69.9386 | 69.9331 | 69.9328 
 77 | 69.9419 | 69.9239 | 69.9304 
 78 | 69.9391 | 69.9241 | 69.93 
 79 | 69.9335 | 69.9241 | 69.9371 
 80 | 69.932 | 69.9241 | 69.928 
 81 | 69.9416 | 69.9268 | 69.9284 
 82 | 69.9317 | 69.9232 | 69.9296 
 83 | 69.9397 | 69.9319 | 69.9382 
 84 | 69.938 | 69.9311 | 69.935 
 85 | 69.9392 | 69.9321 | 69.9323 
 86 | 69.9313 | 69.923 | 69.9322 
 87 | 69.94 | 69.9239 | 69.9283 
 88 | 69.938 | 69.9301 | 69.9358 
 89 | 69.9323 | 69.9287 | 69.9356 
 90 | 69.9333 | 69.9276 | 69.9353 
 91 | 69.9309 | 69.9275 | 69.9361 
 92 | 69.9378 | 69.9268 | 69.9344 
 93 | 69.9346 | 69.9321 | 69.928 
 94 | 69.9377 | 69.9226 | 69.9383 
 95 | 69.9368 | 69.9317 | 69.9339 
 96 | 69.9343 | 69.925 | 69.9376 
 97 | 69.933 | 69.9312 | 69.9373 
 98 | 69.9345 | 69.9235 | 69.9345 
 99 | 69.932 | 69.9228 | 69.9307 

