CastaliaResults -i saida.txt -s Packet Breakdown -n --all -o2                                                              

Communication.MAC:Packet breakdown
 | Failed, buffer overflow | Failed, busy channel | Failed, no ack | Success, first try | Success, not first try
InterfModel=0,node=1 | 0 | 18.78 | 55.16 | 2181.47 | 742.45 
InterfModel=0,node=2 | 0 | 19.77 | 15.09 | 2241.73 | 721.26 
InterfModel=0,node=3 | 0.17 | 18.93 | 113.87 | 3408.37 | 953.69 
InterfModel=0,node=4 | 1363.16 | 17.66 | 39.72 | 4969.88 | 1077.8 
InterfModel=0,node=5 | 1470.75 | 14.66 | 85.71 | 4765.56 | 1131.3 
InterfModel=1,node=1 | 0 | 20.38 | 135.16 | 1987.04 | 854.87 
InterfModel=1,node=2 | 0 | 20.84 | 93.22 | 2032.79 | 850.54 
InterfModel=1,node=3 | 30.84 | 19.35 | 221.14 | 3126.87 | 1087.53 
InterfModel=1,node=4 | 2308.06 | 18.98 | 102.15 | 3873.02 | 1164.76 
InterfModel=1,node=5 | 2472.17 | 15.72 | 192.23 | 3574.71 | 1212.27 
InterfModel=2,node=1 | 0 | 19.45 | 114.94 | 2056.68 | 806.42 
InterfModel=2,node=2 | 0 | 20.59 | 19.45 | 2312.11 | 645.61 
InterfModel=2,node=3 | 6.94 | 19.66 | 196.72 | 3212.39 | 1054.93 
InterfModel=2,node=4 | 1831.16 | 19.99 | 59.12 | 4529.1 | 1027.98 
InterfModel=2,node=5 | 2004.67 | 15.39 | 122.7 | 4208.77 | 1115.93 
Communication.MAC:Packet breakdown - all values
 | Failed, buffer overflow | Failed, busy channel | Failed, no ack | Success, first try | Success, not first try
InterfModel=0,node=1 0 | - | 25 | 61 | 2146 | 766 
InterfModel=0,node=1 1 | - | 18 | 62 | 2188 | 730 
InterfModel=0,node=1 2 | - | 20 | 55 | 2178 | 744 
InterfModel=0,node=1 3 | - | 14 | 65 | 2229 | 689 
InterfModel=0,node=1 4 | - | 20 | 47 | 2204 | 728 
InterfModel=0,node=1 5 | - | 21 | 57 | 2214 | 705 
InterfModel=0,node=1 6 | - | 23 | 70 | 2119 | 786 
InterfModel=0,node=1 7 | - | 18 | 49 | 2221 | 710 
InterfModel=0,node=1 8 | - | 18 | 61 | 2129 | 791 
InterfModel=0,node=1 9 | - | 18 | 67 | 2185 | 727 
InterfModel=0,node=1 10 | - | 19 | 36 | 2264 | 678 
InterfModel=0,node=1 11 | - | 20 | 71 | 2120 | 788 
InterfModel=0,node=1 12 | - | 19 | 48 | 2153 | 778 
InterfModel=0,node=1 13 | - | 18 | 53 | 2158 | 768 
InterfModel=0,node=1 14 | - | 18 | 54 | 2175 | 751 
InterfModel=0,node=1 15 | - | 22 | 34 | 2128 | 814 
InterfModel=0,node=1 16 | - | 21 | 45 | 2204 | 727 
InterfModel=0,node=1 17 | - | 15 | 45 | 2198 | 739 
InterfModel=0,node=1 18 | - | 18 | 54 | 2199 | 728 
InterfModel=0,node=1 19 | - | 26 | 51 | 2146 | 776 
InterfModel=0,node=1 20 | - | 19 | 60 | 2192 | 725 
InterfModel=0,node=1 21 | - | 18 | 57 | 2126 | 798 
InterfModel=0,node=1 22 | - | 18 | 51 | 2178 | 749 
InterfModel=0,node=1 23 | - | 15 | 50 | 2205 | 728 
InterfModel=0,node=1 24 | - | 19 | 58 | 2204 | 718 
InterfModel=0,node=1 25 | - | 20 | 54 | 2198 | 727 
InterfModel=0,node=1 26 | - | 25 | 52 | 2210 | 710 
InterfModel=0,node=1 27 | - | 28 | 53 | 2221 | 695 
InterfModel=0,node=1 28 | - | 13 | 76 | 2130 | 778 
InterfModel=0,node=1 29 | - | 25 | 58 | 2202 | 714 
InterfModel=0,node=1 30 | - | 15 | 48 | 2256 | 680 
InterfModel=0,node=1 31 | - | 16 | 64 | 2103 | 814 
InterfModel=0,node=1 32 | - | 14 | 58 | 2154 | 773 
InterfModel=0,node=1 33 | - | 10 | 49 | 2197 | 741 
InterfModel=0,node=1 34 | - | 25 | 50 | 2198 | 726 
InterfModel=0,node=1 35 | - | 12 | 56 | 2177 | 754 
InterfModel=0,node=1 36 | - | 19 | 63 | 2133 | 783 
InterfModel=0,node=1 37 | - | 25 | 46 | 2167 | 760 
InterfModel=0,node=1 38 | - | 13 | 52 | 2203 | 729 
InterfModel=0,node=1 39 | - | 23 | 66 | 2090 | 819 
InterfModel=0,node=1 40 | - | 14 | 45 | 2225 | 713 
InterfModel=0,node=1 41 | - | 24 | 64 | 2183 | 727 
InterfModel=0,node=1 42 | - | 21 | 50 | 2232 | 693 
InterfModel=0,node=1 43 | - | 17 | 67 | 2147 | 766 
InterfModel=0,node=1 44 | - | 17 | 66 | 2139 | 775 
InterfModel=0,node=1 45 | - | 19 | 35 | 2170 | 774 
InterfModel=0,node=1 46 | - | 19 | 42 | 2274 | 663 
InterfModel=0,node=1 47 | - | 24 | 51 | 2136 | 788 
InterfModel=0,node=1 48 | - | 8 | 54 | 2205 | 731 
InterfModel=0,node=1 49 | - | 19 | 44 | 2261 | 675 
InterfModel=0,node=1 50 | - | 26 | 63 | 2105 | 805 
InterfModel=0,node=1 51 | - | 18 | 50 | 2167 | 764 
InterfModel=0,node=1 52 | - | 20 | 56 | 2176 | 746 
InterfModel=0,node=1 53 | - | 18 | 56 | 2178 | 746 
InterfModel=0,node=1 54 | - | 13 | 63 | 2142 | 776 
InterfModel=0,node=1 55 | - | 13 | 47 | 2194 | 744 
InterfModel=0,node=1 56 | - | 18 | 68 | 2100 | 811 
InterfModel=0,node=1 57 | - | 15 | 43 | 2220 | 719 
InterfModel=0,node=1 58 | - | 14 | 60 | 2193 | 732 
InterfModel=0,node=1 59 | - | 31 | 67 | 2129 | 771 
InterfModel=0,node=1 60 | - | 27 | 57 | 2222 | 691 
InterfModel=0,node=1 61 | - | 13 | 37 | 2227 | 722 
InterfModel=0,node=1 62 | - | 16 | 58 | 2165 | 759 
InterfModel=0,node=1 63 | - | 23 | 59 | 2117 | 798 
InterfModel=0,node=1 64 | - | 21 | 65 | 2155 | 758 
InterfModel=0,node=1 65 | - | 13 | 69 | 2171 | 746 
InterfModel=0,node=1 66 | - | 15 | 51 | 2238 | 695 
InterfModel=0,node=1 67 | - | 18 | 45 | 2117 | 818 
InterfModel=0,node=1 68 | - | 13 | 42 | 2258 | 685 
InterfModel=0,node=1 69 | - | 23 | 51 | 2207 | 717 
InterfModel=0,node=1 70 | - | 10 | 43 | 2174 | 770 
InterfModel=0,node=1 71 | - | 18 | 50 | 2194 | 735 
InterfModel=0,node=1 72 | - | 19 | 68 | 2145 | 766 
InterfModel=0,node=1 73 | - | 20 | 51 | 2175 | 753 
InterfModel=0,node=1 74 | - | 18 | 62 | 2150 | 767 
InterfModel=0,node=1 75 | - | 20 | 61 | 2179 | 737 
InterfModel=0,node=1 76 | - | 14 | 62 | 2166 | 755 
InterfModel=0,node=1 77 | - | 22 | 50 | 2228 | 697 
InterfModel=0,node=1 78 | - | 15 | 70 | 2143 | 767 
InterfModel=0,node=1 79 | - | 15 | 48 | 2199 | 737 
InterfModel=0,node=1 80 | - | 18 | 56 | 2201 | 724 
InterfModel=0,node=1 81 | - | 18 | 54 | 2219 | 706 
InterfModel=0,node=1 82 | - | 18 | 48 | 2179 | 754 
InterfModel=0,node=1 83 | - | 8 | 61 | 2142 | 786 
InterfModel=0,node=1 84 | - | 29 | 56 | 2172 | 743 
InterfModel=0,node=1 85 | - | 19 | 55 | 2215 | 708 
InterfModel=0,node=1 86 | - | 9 | 54 | 2191 | 745 
InterfModel=0,node=1 87 | - | 17 | 63 | 2199 | 718 
InterfModel=0,node=1 88 | - | 17 | 65 | 2204 | 712 
InterfModel=0,node=1 89 | - | 22 | 66 | 2208 | 703 
InterfModel=0,node=1 90 | - | 27 | 60 | 2196 | 716 
InterfModel=0,node=1 91 | - | 17 | 49 | 2223 | 710 
InterfModel=0,node=1 92 | - | 18 | 53 | 2253 | 673 
InterfModel=0,node=1 93 | - | 21 | 49 | 2215 | 713 
InterfModel=0,node=1 94 | - | 19 | 67 | 2155 | 756 
InterfModel=0,node=1 95 | - | 31 | 59 | 2139 | 768 
InterfModel=0,node=1 96 | - | 22 | 45 | 2225 | 706 
InterfModel=0,node=1 97 | - | 15 | 52 | 2212 | 720 
InterfModel=0,node=1 98 | - | 27 | 71 | 2116 | 784 
InterfModel=0,node=1 99 | - | 22 | 37 | 2175 | 764 
InterfModel=0,node=2 0 | - | 27 | 16 | 2283 | 671 
InterfModel=0,node=2 1 | - | 20 | 13 | 2271 | 693 
InterfModel=0,node=2 2 | - | 17 | 16 | 2252 | 712 
InterfModel=0,node=2 3 | - | 18 | 16 | 2204 | 760 
InterfModel=0,node=2 4 | - | 15 | 16 | 2184 | 783 
InterfModel=0,node=2 5 | - | 24 | 20 | 2180 | 773 
InterfModel=0,node=2 6 | - | 19 | 11 | 2252 | 717 
InterfModel=0,node=2 7 | - | 22 | 16 | 2259 | 702 
InterfModel=0,node=2 8 | - | 25 | 22 | 2226 | 726 
InterfModel=0,node=2 9 | - | 25 | 18 | 2197 | 756 
InterfModel=0,node=2 10 | - | 19 | 17 | 2219 | 743 
InterfModel=0,node=2 11 | - | 17 | 8 | 2252 | 720 
InterfModel=0,node=2 12 | - | 19 | 20 | 2196 | 763 
InterfModel=0,node=2 13 | - | 23 | 26 | 2213 | 735 
InterfModel=0,node=2 14 | - | 23 | 13 | 2221 | 742 
InterfModel=0,node=2 15 | - | 18 | 15 | 2238 | 726 
InterfModel=0,node=2 16 | - | 20 | 22 | 2231 | 724 
InterfModel=0,node=2 17 | - | 14 | 8 | 2194 | 780 
InterfModel=0,node=2 18 | - | 12 | 11 | 2226 | 750 
InterfModel=0,node=2 19 | - | 25 | 10 | 2252 | 710 
InterfModel=0,node=2 20 | - | 20 | 9 | 2288 | 680 
InterfModel=0,node=2 21 | - | 19 | 12 | 2224 | 744 
InterfModel=0,node=2 22 | - | 12 | 16 | 2247 | 723 
InterfModel=0,node=2 23 | - | 20 | 20 | 2199 | 760 
InterfModel=0,node=2 24 | - | 19 | 11 | 2237 | 732 
InterfModel=0,node=2 25 | - | 17 | 8 | 2284 | 690 
InterfModel=0,node=2 26 | - | 27 | 19 | 2236 | 716 
InterfModel=0,node=2 27 | - | 21 | 16 | 2191 | 769 
InterfModel=0,node=2 28 | - | 13 | 13 | 2292 | 679 
InterfModel=0,node=2 29 | - | 18 | 13 | 2300 | 668 
InterfModel=0,node=2 30 | - | 19 | 8 | 2318 | 654 
InterfModel=0,node=2 31 | - | 27 | 18 | 2189 | 763 
InterfModel=0,node=2 32 | - | 22 | 10 | 2246 | 720 
InterfModel=0,node=2 33 | - | 23 | 17 | 2240 | 718 
InterfModel=0,node=2 34 | - | 15 | 9 | 2325 | 650 
InterfModel=0,node=2 35 | - | 18 | 9 | 2237 | 732 
InterfModel=0,node=2 36 | - | 18 | 22 | 2180 | 779 
InterfModel=0,node=2 37 | - | 21 | 11 | 2237 | 729 
InterfModel=0,node=2 38 | - | 14 | 11 | 2277 | 695 
InterfModel=0,node=2 39 | - | 22 | 16 | 2267 | 692 
InterfModel=0,node=2 40 | - | 21 | 17 | 2295 | 664 
InterfModel=0,node=2 41 | - | 12 | 12 | 2303 | 671 
InterfModel=0,node=2 42 | - | 17 | 12 | 2288 | 680 
InterfModel=0,node=2 43 | - | 19 | 14 | 2199 | 765 
InterfModel=0,node=2 44 | - | 23 | 30 | 2153 | 791 
InterfModel=0,node=2 45 | - | 17 | 15 | 2247 | 720 
InterfModel=0,node=2 46 | - | 20 | 21 | 2205 | 751 
InterfModel=0,node=2 47 | - | 25 | 16 | 2171 | 787 
