CastaliaResults -i saida.txt -s Packets received per node -n --all -o2                                                                       

Application:Packets received per node
 | index=1 | index=2 | index=3 | index=4 | index=5
InterfModel=0 | 2938.79 | 2968.36 | 4389.2 | 6062.81 | 5925.34 
InterfModel=1 | 2854.58 | 2886.02 | 4240.63 | 5049.81 | 4810.67 
InterfModel=2 | 2878.45 | 2959.68 | 4296.11 | 5570.42 | 5350.6 
Application:Packets received per node - all values
 | index=1 | index=2 | index=3 | index=4 | index=5
InterfModel=0 0 | 2920 | 2957 | 4388 | 6038 | 5891 
InterfModel=0 1 | 2937 | 2969 | 4392 | 5988 | 5999 
InterfModel=0 2 | 2935 | 2968 | 4388 | 5991 | 5986 
InterfModel=0 3 | 2928 | 2971 | 4378 | 6099 | 5885 
InterfModel=0 4 | 2948 | 2973 | 4377 | 6158 | 5787 
InterfModel=0 5 | 2931 | 2958 | 4382 | 5927 | 6071 
InterfModel=0 6 | 2922 | 2973 | 4385 | 6189 | 5803 
InterfModel=0 7 | 2947 | 2967 | 4379 | 6070 | 5902 
InterfModel=0 8 | 2932 | 2961 | 4385 | 6099 | 5938 
InterfModel=0 9 | 2930 | 2961 | 4388 | 6093 | 5894 
InterfModel=0 10 | 2952 | 2972 | 4364 | 6146 | 5726 
InterfModel=0 11 | 2930 | 2978 | 4381 | 6028 | 5935 
InterfModel=0 12 | 2953 | 2968 | 4393 | 6019 | 6030 
InterfModel=0 13 | 2951 | 2960 | 4398 | 6132 | 5903 
InterfModel=0 14 | 2943 | 2969 | 4415 | 6175 | 5890 
InterfModel=0 15 | 2950 | 2968 | 4395 | 6038 | 6007 
InterfModel=0 16 | 2941 | 2966 | 4395 | 6099 | 5887 
InterfModel=0 17 | 2952 | 2979 | 4390 | 6163 | 5906 
InterfModel=0 18 | 2942 | 2982 | 4393 | 5904 | 6034 
InterfModel=0 19 | 2938 | 2964 | 4387 | 6137 | 5959 
InterfModel=0 20 | 2937 | 2972 | 4389 | 6073 | 5799 
InterfModel=0 21 | 2939 | 2973 | 4381 | 5945 | 5959 
InterfModel=0 22 | 2940 | 2977 | 4381 | 6040 | 5972 
InterfModel=0 23 | 2946 | 2967 | 4392 | 6171 | 5845 
InterfModel=0 24 | 2939 | 2972 | 4404 | 6073 | 5830 
InterfModel=0 25 | 2938 | 2974 | 4379 | 6107 | 5891 
InterfModel=0 26 | 2935 | 2959 | 4379 | 6087 | 5816 
InterfModel=0 27 | 2926 | 2966 | 4379 | 6068 | 5889 
InterfModel=0 28 | 2934 | 2976 | 4400 | 5886 | 5912 
InterfModel=0 29 | 2922 | 2972 | 4391 | 6138 | 5945 
InterfModel=0 30 | 2946 | 2973 | 4390 | 6061 | 5974 
InterfModel=0 31 | 2937 | 2960 | 4393 | 6168 | 5900 
InterfModel=0 32 | 2943 | 2970 | 4383 | 6099 | 5884 
InterfModel=0 33 | 2954 | 2964 | 4394 | 6060 | 6007 
InterfModel=0 34 | 2937 | 2976 | 4416 | 6024 | 5924 
InterfModel=0 35 | 2942 | 2969 | 4380 | 5991 | 5949 
