CastaliaResults -i saida.txt -s Energy nJ/bit -n --all -o2                                                           

Application:Energy nJ/bit
 | node=1 | node=2 | node=3 | node=4 | node=5
InterfModel=0 | 99.453 | 99.645 | 65.788 | 48.848 | 50.528 
InterfModel=1 | 102.461 | 102.617 | 68.0 | 61.246 | 66.269 
InterfModel=2 | 101.02 | 99.585 | 66.845 | 53.733 | 57.962 
Application:Energy nJ/bit - all values
 | node=1 | node=2 | node=3 | node=4 | node=5
InterfModel=0 0 | 98.7773 | 100.264 | 65.8741 | 48.6836 | 50.0352 
InterfModel=0 1 | 100.489 | 99.8567 | 65.8799 | 48.4661 | 50.5775 
InterfModel=0 2 | 98.5289 | 99.6663 | 65.6988 | 48.7107 | 51.3896 
InterfModel=0 3 | 99.7139 | 99.4967 | 65.8133 | 49.6351 | 50.0328 
InterfModel=0 4 | 99.6729 | 99.7149 | 66.0072 | 48.2498 | 50.7507 
InterfModel=0 5 | 99.4488 | 99.6322 | 65.2963 | 49.3532 | 50.4348 
InterfModel=0 6 | 99.7298 | 99.9905 | 65.8851 | 49.156 | 51.654 
InterfModel=0 7 | 99.4568 | 99.5417 | 66.5409 | 48.3328 | 50.8298 
InterfModel=0 8 | 99.1919 | 99.7054 | 66.0363 | 50.0051 | 50.4459 
InterfModel=0 9 | 99.7554 | 99.7457 | 65.4318 | 49.1623 | 51.1007 
InterfModel=0 10 | 98.9181 | 99.7325 | 65.8634 | 48.0795 | 52.4829 
InterfModel=0 11 | 99.0561 | 99.9038 | 65.3539 | 48.6426 | 51.2248 
InterfModel=0 12 | 98.7677 | 99.7054 | 65.9343 | 47.9972 | 51.1559 
InterfModel=0 13 | 99.7765 | 99.7746 | 66.6454 | 48.1587 | 49.7989 
InterfModel=0 14 | 99.4435 | 99.1414 | 65.8818 | 49.0455 | 50.6128 
InterfModel=0 15 | 99.4095 | 99.0536 | 65.491 | 49.524 | 49.9277 
InterfModel=0 16 | 99.3056 | 99.7748 | 65.978 | 48.2529 | 50.0878 
InterfModel=0 17 | 99.9149 | 99.3512 | 65.578 | 48.5295 | 49.7247 
InterfModel=0 18 | 99.0819 | 99.6084 | 65.7215 | 47.4955 | 51.8877 
InterfModel=0 19 | 98.998 | 99.5162 | 65.9681 | 48.476 | 50.8538 
InterfModel=0 20 | 99.3958 | 99.4366 | 66.0888 | 48.9272 | 49.9375 
InterfModel=0 21 | 99.6101 | 100.072 | 65.6671 | 50.4279 | 49.4543 
InterfModel=0 22 | 99.7914 | 99.4854 | 66.0705 | 48.5996 | 50.701 
InterfModel=0 23 | 99.5176 | 100.122 | 65.205 | 48.3207 | 50.7654 
InterfModel=0 24 | 99.1077 | 100.044 | 65.7354 | 49.4062 | 50.2609 
InterfModel=0 25 | 99.555 | 99.445 | 65.5737 | 49.6391 | 49.7067 
InterfModel=0 26 | 99.7696 | 99.7318 | 64.8069 | 48.1634 | 51.4735 
InterfModel=0 27 | 100.017 | 99.5932 | 66.0243 | 48.3213 | 49.7099 
InterfModel=0 28 | 99.487 | 99.3882 | 65.9354 | 48.1466 | 50.7244 
InterfModel=0 29 | 100.138 | 99.3343 | 66.2384 | 49.4856 | 50.282 
InterfModel=0 30 | 98.6878 | 99.2896 | 65.709 | 48.8808 | 51.2695 
InterfModel=0 31 | 99.8206 | 99.4251 | 65.4422 | 48.5815 | 50.6337 
InterfModel=0 32 | 99.7776 | 99.9825 | 65.3795 | 49.7399 | 50.7411 
InterfModel=0 33 | 99.1603 | 99.8596 | 66.1972 | 49.5546 | 50.1682 
InterfModel=0 34 | 99.32 | 99.5661 | 65.8229 | 48.7927 | 50.3089 
InterfModel=0 35 | 99.1756 | 100.026 | 65.5428 | 49.5032 | 50.41 
InterfModel=0 36 | 99.6824 | 99.6422 | 65.5685 | 47.9209 | 51.4179 
InterfModel=0 37 | 98.9756 | 99.2047 | 65.7069 | 48.418 | 49.986 
InterfModel=0 38 | 99.5385 | 99.9424 | 65.4275 | 48.5322 | 50.0369 
InterfModel=0 39 | 99.1803 | 99.4491 | 66.0379 | 47.9899 | 51.4683 
InterfModel=0 40 | 99.4857 | 99.8485 | 66.024 | 49.5002 | 49.8386 
InterfModel=0 41 | 98.817 | 99.9349 | 66.1846 | 49.116 | 50.6257 
InterfModel=0 42 | 99.1284 | 99.4267 | 65.6642 | 49.1122 | 50.7339 
InterfModel=0 43 | 98.9558 | 99.8562 | 65.2239 | 49.21 | 49.6408 
InterfModel=0 44 | 99.2386 | 99.8565 | 65.6863 | 48.0324 | 51.5856 
InterfModel=0 45 | 99.7555 | 99.5221 | 66.0486 | 49.2712 | 50.5787 
InterfModel=0 46 | 98.941 | 99.5502 | 66.019 | 47.8926 | 51.1211 
InterfModel=0 47 | 99.4421 | 99.7571 | 65.9677 | 48.5081 | 50.3487 
InterfModel=0 48 | 98.9103 | 99.8951 | 65.5707 | 48.8463 | 50.456 
InterfModel=0 49 | 99.7156 | 99.3599 | 65.8345 | 50.0151 | 49.4982 
InterfModel=0 50 | 99.676 | 99.4213 | 65.386 | 49.077 | 50.6441 
InterfModel=0 51 | 100.39 | 99.2961 | 66.0844 | 48.4139 | 50.7031 
InterfModel=0 52 | 99.1014 | 99.1903 | 66.1546 | 48.6252 | 50.3559 
InterfModel=0 53 | 99.4306 | 99.7425 | 65.9525 | 48.4023 | 51.1809 
InterfModel=0 54 | 99.5218 | 99.7987 | 65.5511 | 48.7277 | 50.7397 
InterfModel=0 55 | 99.0631 | 99.7747 | 65.1703 | 49.2956 | 50.1752 
InterfModel=0 56 | 100.282 | 99.9406 | 65.7111 | 48.5631 | 51.075 
InterfModel=0 57 | 99.0593 | 99.912 | 66.2721 | 49.2229 | 49.9083 
InterfModel=0 58 | 99.1163 | 99.6068 | 65.879 | 48.5067 | 50.9358 
InterfModel=0 59 | 99.1532 | 99.5835 | 65.8271 | 49.2018 | 50.0421 
InterfModel=0 60 | 99.0696 | 99.6589 | 65.3985 | 48.305 | 51.095 
InterfModel=0 61 | 99.654 | 99.1194 | 66.3758 | 48.1504 | 51.3476 
InterfModel=0 62 | 99.117 | 99.4202 | 66.3431 | 48.5768 | 50.7693 
InterfModel=0 63 | 99.034 | 99.9497 | 65.2344 | 47.8509 | 50.0544 
InterfModel=0 64 | 99.5388 | 100.049 | 66.0409 | 48.4973 | 50.5215 
InterfModel=0 65 | 99.3302 | 100.456 | 65.8082 | 48.9851 | 50.1177 
InterfModel=0 66 | 100.391 | 99.8602 | 65.5195 | 49.8182 | 50.4526 
InterfModel=0 67 | 99.4131 | 99.5909 | 65.4966 | 48.7465 | 50.8725 
InterfModel=0 68 | 99.162 | 99.5779 | 65.9288 | 48.7693 | 49.7318 
InterfModel=0 69 | 98.9756 | 99.6122 | 65.6076 | 50.2164 | 49.7496 
InterfModel=0 70 | 100.045 | 99.572 | 66.183 | 49.8406 | 49.6887 
InterfModel=0 71 | 99.3206 | 99.4912 | 65.5038 | 49.2422 | 50.3426 
InterfModel=0 72 | 99.4318 | 99.6522 | 65.4948 | 48.5009 | 51.3294 
InterfModel=0 73 | 99.632 | 99.6512 | 65.5157 | 49.2586 | 50.4696 
InterfModel=0 74 | 99.1748 | 99.4735 | 66.144 | 49.0946 | 50.4504 
InterfModel=0 75 | 99.6037 | 99.3919 | 65.8577 | 48.5024 | 51.5043 
InterfModel=0 76 | 99.0852 | 99.5563 | 65.7277 | 48.8133 | 50.5578 
InterfModel=0 77 | 99.4618 | 99.4207 | 66.0432 | 48.1825 | 50.0369 
InterfModel=0 78 | 99.5516 | 99.3462 | 66.209 | 48.6019 | 50.4458 
InterfModel=0 79 | 99.2268 | 99.4493 | 65.5531 | 48.5088 | 50.3795 
InterfModel=0 80 | 99.7677 | 99.8913 | 65.9952 | 48.63 | 50.7657 
InterfModel=0 81 | 98.9887 | 99.5933 | 65.9388 | 49.6926 | 49.68 
InterfModel=0 82 | 100.414 | 99.5733 | 66.2719 | 48.8127 | 50.0195 
InterfModel=0 83 | 99.8809 | 99.9236 | 66.0951 | 49.381 | 49.5335 
InterfModel=0 84 | 99.0856 | 99.5056 | 65.5999 | 48.5179 | 50.5252 
InterfModel=0 85 | 100.005 | 99.9018 | 65.9743 | 49.0417 | 51.2342 
InterfModel=0 86 | 99.3257 | 99.8444 | 65.3006 | 48.9766 | 50.5235 
InterfModel=0 87 | 99.6927 | 99.1162 | 65.5302 | 49.484 | 49.5694 
InterfModel=0 88 | 99.8099 | 99.3064 | 66.0835 | 49.5525 | 50.5881 
InterfModel=0 89 | 99.4287 | 99.9509 | 65.532 | 48.7727 | 51.079 
InterfModel=0 90 | 99.7646 | 99.5031 | 65.7416 | 49.2513 | 50.3821 
InterfModel=0 91 | 99.3821 | 99.6556 | 65.2018 | 51.005 | 49.4985 
InterfModel=0 92 | 99.4846 | 99.5679 | 65.7213 | 49.8437 | 49.9293 
InterfModel=0 93 | 99.5207 | 99.596 | 65.3652 | 49.6353 | 50.0931 
InterfModel=0 94 | 99.3945 | 99.9085 | 66.2863 | 48.5534 | 50.5788 
InterfModel=0 95 | 99.7015 | 99.3508 | 66.0606 | 48.2507 | 50.8534 
InterfModel=0 96 | 100.008 | 99.253 | 65.5926 | 48.4243 | 50.6605 
InterfModel=0 97 | 99.7705 | 100.085 | 65.5975 | 48.0163 | 50.8854 
InterfModel=0 98 | 100.45 | 99.5336 | 65.9761 | 47.595 | 50.8503 
InterfModel=0 99 | 98.8436 | 99.6599 | 65.7286 | 48.087 | 51.0079 
InterfModel=1 0 | 103.159 | 103.311 | 68.5206 | 60.9429 | 67.1759 
InterfModel=1 1 | 103.355 | 101.82 | 68.3995 | 61.7909 | 65.4902 
InterfModel=1 2 | 101.822 | 102.774 | 67.5195 | 60.7504 | 65.7969 
InterfModel=1 3 | 103.026 | 102.384 | 67.6167 | 60.9158 | 66.5122 
InterfModel=1 4 | 102.278 | 101.974 | 68.181 | 62.0666 | 66.5597 
InterfModel=1 5 | 102.433 | 102.853 | 68.4557 | 61.8768 | 64.8254 
InterfModel=1 6 | 102.545 | 102.111 | 67.4342 | 61.2318 | 64.2845 
InterfModel=1 7 | 102.711 | 102.321 | 67.8513 | 60.518 | 68.2233 
InterfModel=1 8 | 102.038 | 103.153 | 67.9043 | 61.5805 | 65.2865 
InterfModel=1 9 | 102.42 | 102.855 | 67.4051 | 61.1613 | 64.406 
InterfModel=1 10 | 102.832 | 102.882 | 67.3085 | 61.13 | 66.2916 
InterfModel=1 11 | 102.456 | 102.453 | 68.5283 | 60.6763 | 67.7131 
InterfModel=1 12 | 103.298 | 102.791 | 68.0359 | 58.7386 | 66.128 
InterfModel=1 13 | 104.124 | 102.183 | 67.7094 | 60.1572 | 67.655 
InterfModel=1 14 | 102.093 | 102.197 | 67.9265 | 60.9312 | 67.9868 
InterfModel=1 15 | 103.12 | 102.172 | 67.844 | 62.5116 | 65.0132 
InterfModel=1 16 | 102.625 | 103.137 | 68.2196 | 61.4692 | 66.7255 
InterfModel=1 17 | 102.061 | 102.112 | 67.5047 | 61.414 | 64.38 
InterfModel=1 18 | 102.688 | 103.46 | 67.4102 | 60.3788 | 67.5425 
InterfModel=1 19 | 102.37 | 102.565 | 67.322 | 60.8928 | 67.4853 
InterfModel=1 20 | 102.58 | 102.871 | 67.5634 | 63.2344 | 67.2194 
InterfModel=1 21 | 103.004 | 102.244 | 67.9511 | 60.6025 | 66.2079 
InterfModel=1 22 | 102.55 | 103.043 | 67.7167 | 60.3055 | 66.9577 
InterfModel=1 23 | 102.434 | 102.929 | 67.3069 | 62.7905 | 65.9523 
InterfModel=1 24 | 102.342 | 102.813 | 68.8355 | 61.7281 | 66.4179 
InterfModel=1 25 | 102.906 | 102.855 | 67.8422 | 61.562 | 65.3088 
InterfModel=1 26 | 101.074 | 101.972 | 67.996 | 60.1032 | 65.6356 
InterfModel=1 27 | 103.014 | 102.662 | 68.0126 | 60.3055 | 65.1907 
InterfModel=1 28 | 101.595 | 102.872 | 69.0472 | 60.4988 | 67.5407 
InterfModel=1 29 | 102.571 | 102.48 | 67.2625 | 61.5608 | 65.5569 
InterfModel=1 30 | 102.308 | 101.595 | 68.0732 | 61.506 | 67.0876 
InterfModel=1 31 | 101.764 | 103.477 | 69.285 | 60.7595 | 66.5201 
InterfModel=1 32 | 102.385 | 102.851 | 68.4906 | 63.0064 | 65.6869 
InterfModel=1 33 | 103.23 | 102.408 | 68.0492 | 61.2711 | 67.2822 
InterfModel=1 34 | 103.082 | 103.631 | 67.3165 | 60.615 | 66.2212 
InterfModel=1 35 | 101.244 | 102.518 | 67.6345 | 61.0111 | 65.8902 
InterfModel=1 36 | 102.317 | 102.589 | 67.6556 | 62.7419 | 66.4238 
InterfModel=1 37 | 102.534 | 102.517 | 68.1666 | 59.8415 | 67.9484 
InterfModel=1 38 | 101.571 | 102.302 | 68.2483 | 61.8306 | 66.4766 
InterfModel=1 39 | 100.937 | 102.868 | 68.2402 | 59.3025 | 67.0111 
InterfModel=1 40 | 101.474 | 102.315 | 67.0991 | 60.6283 | 64.7167 
InterfModel=1 41 | 103.124 | 101.746 | 67.385 | 63.2037 | 64.8221 
InterfModel=1 42 | 102.381 | 102.358 | 67.1091 | 59.0694 | 67.9574 
InterfModel=1 43 | 102.053 | 101.794 | 68.0171 | 63.0373 | 64.9106 
InterfModel=1 44 | 101.912 | 103.14 | 68.4577 | 60.2254 | 66.5374 
InterfModel=1 45 | 101.343 | 102.818 | 68.8737 | 61.4347 | 67.2201 
InterfModel=1 46 | 103.543 | 103.043 | 67.9267 | 60.8774 | 66.0694 
InterfModel=1 47 | 102.588 | 102.737 | 68.1573 | 61.1324 | 65.3074 
InterfModel=1 48 | 102.795 | 102.232 | 67.292 | 61.2911 | 66.0013 
InterfModel=1 49 | 101.252 | 102.889 | 67.9995 | 61.4659 | 65.5793 
InterfModel=1 50 | 103.091 | 102.759 | 68.0078 | 61.0842 | 65.4832 
InterfModel=1 51 | 101.915 | 103.232 | 67.631 | 61.0335 | 67.2437 
InterfModel=1 52 | 102.054 | 102.724 | 67.9883 | 60.5623 | 65.8876 
InterfModel=1 53 | 101.927 | 102.204 | 67.8791 | 61.4864 | 66.1049 
InterfModel=1 54 | 101 | 101.863 | 69.4131 | 61.1347 | 65.6733 
InterfModel=1 55 | 102.207 | 102.347 | 67.7974 | 59.7974 | 65.8571 
InterfModel=1 56 | 102.426 | 103.417 | 67.3851 | 62.2102 | 67.3477 
InterfModel=1 57 | 102.413 | 101.795 | 68.107 | 60.6358 | 66.5399 
InterfModel=1 58 | 102.58 | 102.182 | 67.8774 | 61.1386 | 67.0752 
InterfModel=1 59 | 103.403 | 102.873 | 67.8152 | 62.2233 | 65.0556 
InterfModel=1 60 | 103.905 | 103.24 | 67.6753 | 62.2202 | 65.3986 
InterfModel=1 61 | 102.722 | 102.756 | 68.0976 | 61.5369 | 65.2778 
InterfModel=1 62 | 101.502 | 102.261 | 68.8165 | 60.8465 | 65.0671 
InterfModel=1 63 | 102.181 | 102.48 | 67.2192 | 62.1129 | 65.1305 
InterfModel=1 64 | 102.927 | 103.275 | 69.1778 | 61.9763 | 67.593 
InterfModel=1 65 | 102.314 | 102.561 | 68.3361 | 61.5356 | 67.6285 
InterfModel=1 66 | 103.364 | 102.131 | 67.8752 | 61.0363 | 66.9813 
InterfModel=1 67 | 102.529 | 103.086 | 67.3834 | 61.54 | 67.5506 
InterfModel=1 68 | 101.829 | 102.386 | 67.4313 | 61.8682 | 65.5315 
InterfModel=1 69 | 102.37 | 102.436 | 67.7529 | 61.2179 | 66.4492 
InterfModel=1 70 | 102.849 | 102.757 | 67.789 | 63.4424 | 66.4263 
InterfModel=1 71 | 103.263 | 102.935 | 67.9401 | 60.6965 | 67.6503 
InterfModel=1 72 | 103.589 | 102.53 | 68.0532 | 60.4067 | 66.0672 
InterfModel=1 73 | 102.765 | 103.006 | 67.6929 | 62.1289 | 66.1241 
InterfModel=1 74 | 102.485 | 102.471 | 68.675 | 59.7559 | 66.467 
InterfModel=1 75 | 102.004 | 103.037 | 68.049 | 62.0863 | 66.3543 
InterfModel=1 76 | 101.18 | 101.963 | 68.4965 | 60.4109 | 65.7773 
InterfModel=1 77 | 102.048 | 103.305 | 68.3552 | 60.5023 | 66.4844 
InterfModel=1 78 | 102.457 | 102.348 | 66.9338 | 60.7444 | 66.8984 
InterfModel=1 79 | 102.912 | 102.471 | 67.8725 | 61.336 | 64.842 
InterfModel=1 80 | 101.592 | 101.564 | 68.1405 | 62.0307 | 66.8097 
InterfModel=1 81 | 103.816 | 102.76 | 67.7518 | 62.4109 | 66.0125 
InterfModel=1 82 | 101.967 | 102.927 | 68.4262 | 60.3981 | 68.0942 
InterfModel=1 83 | 103.163 | 102.427 | 68.2979 | 61.232 | 67.6498 
InterfModel=1 84 | 100.858 | 102.875 | 68.5468 | 62.0819 | 63.6192 
InterfModel=1 85 | 103.702 | 102.824 | 69.1111 | 62.1532 | 67.0328 
InterfModel=1 86 | 103.211 | 102.271 | 67.8669 | 61.5272 | 65.0916 
InterfModel=1 87 | 102.534 | 102.919 | 68.1802 | 61.5749 | 65.5862 
InterfModel=1 88 | 102.347 | 102.035 | 68.804 | 61.8915 | 65.8132 
InterfModel=1 89 | 102.832 | 102.457 | 68.2729 | 61.4187 | 66.7571 
InterfModel=1 90 | 103.378 | 102.779 | 67.6306 | 62.0766 | 65.6934 
InterfModel=1 91 | 101.147 | 102.699 | 68.8923 | 61.4104 | 66.3876 
InterfModel=1 92 | 103.069 | 102.762 | 68.3632 | 62.4777 | 66.7872 
InterfModel=1 93 | 102.649 | 101.729 | 67.0887 | 59.8752 | 68.377 
InterfModel=1 94 | 103.656 | 103.18 | 67.484 | 60.771 | 66.879 
InterfModel=1 95 | 102.094 | 102.702 | 68.4799 | 60.786 | 66.8102 
InterfModel=1 96 | 102.911 | 102.756 | 69.1792 | 60.6538 | 63.8594 
InterfModel=1 97 | 101.998 | 103.115 | 67.8838 | 61.092 | 65.9716 
InterfModel=1 98 | 101.546 | 102.648 | 67.1864 | 60.8142 | 67.2081 
InterfModel=1 99 | 102.1 | 103.361 | 68.7367 | 61.1178 | 65.3736 
InterfModel=2 0 | 101.614 | 99.6709 | 66.494 | 53.6169 | 58.6703 
InterfModel=2 1 | 100.536 | 99.7891 | 67.0921 | 54.8238 | 57.4616 
InterfModel=2 2 | 100.859 | 99.4813 | 66.8468 | 52.3468 | 58.0315 
InterfModel=2 3 | 100.905 | 99.63 | 66.9767 | 53.208 | 58.897 
InterfModel=2 4 | 100.975 | 99.2893 | 66.4511 | 53.8787 | 58.391 
InterfModel=2 5 | 101.394 | 99.0648 | 66.6314 | 54.705 | 56.2542 
InterfModel=2 6 | 101.158 | 99.8092 | 66.254 | 52.8802 | 58.8169 
InterfModel=2 7 | 101.234 | 99.5538 | 66.9881 | 54.7151 | 57.3935 
InterfModel=2 8 | 101.358 | 99.3393 | 66.4169 | 53.4698 | 58.2155 
InterfModel=2 9 | 101.229 | 99.8525 | 67.4071 | 55.0999 | 57.3728 
InterfModel=2 10 | 101.142 | 99.3542 | 66.9567 | 53.581 | 58.2002 
InterfModel=2 11 | 100.865 | 99.51 | 67.1236 | 54.2174 | 58.5563 
InterfModel=2 12 | 100.813 | 99.8876 | 66.5202 | 53.6312 | 56.7797 
InterfModel=2 13 | 101.491 | 99.739 | 66.6556 | 53.3591 | 57.5402 
InterfModel=2 14 | 100.337 | 99.5171 | 67.0113 | 54.3953 | 57.3106 
InterfModel=2 15 | 100.638 | 99.2892 | 67.3954 | 56.1457 | 56.7799 
InterfModel=2 16 | 100.482 | 99.6178 | 67.018 | 53.1668 | 58.6017 
InterfModel=2 17 | 101.245 | 99.7064 | 66.2793 | 51.8692 | 59.093 
InterfModel=2 18 | 100.563 | 99.4435 | 66.8165 | 55.6556 | 56.9578 
InterfModel=2 19 | 100.996 | 99.2904 | 66.4116 | 53.6154 | 58.3852 
InterfModel=2 20 | 101.136 | 99.4877 | 67.2327 | 52.896 | 57.7918 
InterfModel=2 21 | 101.664 | 99.2112 | 66.2728 | 54.3272 | 57.1786 
