CastaliaResults -i saida.txt -s Estimated network lifetime --all -o2                                                                     

ResourceManager:Estimated network lifetime (days)
 | InterfModel=0 | InterfModel=1 | InterfModel=2
 | 69.939 | 69.934 | 69.937 
ResourceManager:Estimated network lifetime (days) - all values
 | InterfModel=0 | InterfModel=1 | InterfModel=2
 0 | 69.9395 | 69.9297 | 69.9329 
 1 | 69.9391 | 69.9302 | 69.938 
 2 | 69.9431 | 69.9387 | 69.9391 
 3 | 69.9416 | 69.9302 | 69.941 
 4 | 69.9344 | 69.933 | 69.9416 
 5 | 69.9373 | 69.9351 | 69.9391 
 6 | 69.9363 | 69.9374 | 69.9333 
 7 | 69.9392 | 69.9333 | 69.934 
 8 | 69.9352 | 69.9364 | 69.9387 
 9 | 69.94 | 69.9351 | 69.9361 
 10 | 69.9429 | 69.9321 | 69.938 
 11 | 69.9344 | 69.9366 | 69.9357 
 12 | 69.9409 | 69.9397 | 69.9375 
 13 | 69.9391 | 69.9303 | 69.9321 
 14 | 69.9423 | 69.9288 | 69.9343 
 15 | 69.94 | 69.9399 | 69.9383 
 16 | 69.9442 | 69.938 | 69.9339 
 17 | 69.9419 | 69.9319 | 69.9386 
 18 | 69.9345 | 69.9327 | 69.9339 
 19 | 69.9358 | 69.9334 | 69.9403 
 20 | 69.9427 | 69.9304 | 69.9415 
 21 | 69.9334 | 69.9396 | 69.9401 
 22 | 69.9435 | 69.9304 | 69.9383 
 23 | 69.9337 | 69.9292 | 69.9408 
 24 | 69.935 | 69.9385 | 69.9321 
 25 | 69.9354 | 69.929 | 69.9323 
 26 | 69.9415 | 69.9327 | 69.9354 
 27 | 69.9384 | 69.93 | 69.9344 
 28 | 69.9385 | 69.9312 | 69.9415 
 29 | 69.9378 | 69.9349 | 69.9346 
 30 | 69.9393 | 69.9374 | 69.9336 
 31 | 69.9368 | 69.9314 | 69.9338 
 32 | 69.9355 | 69.9285 | 69.9374 
 33 | 69.9343 | 69.9328 | 69.9378 
 34 | 69.9344 | 69.9322 | 69.9322 
 35 | 69.937 | 69.9371 | 69.9317 
 36 | 69.9375 | 69.9375 | 69.9329 
 37 | 69.9436 | 69.9301 | 69.9349 
 38 | 69.9411 | 69.9339 | 69.9334 
 39 | 69.9436 | 69.9385 | 69.9414 
 40 | 69.9412 | 69.935 | 69.9351 
 41 | 69.9408 | 69.9375 | 69.939 
 42 | 69.943 | 69.9374 | 69.9423 
 43 | 69.9411 | 69.9322 | 69.9413 
 44 | 69.9372 | 69.939 | 69.9338 
 45 | 69.9354 | 69.9353 | 69.9381 
 46 | 69.9419 | 69.9322 | 69.933 
 47 | 69.9383 | 69.9354 | 69.9414 
 48 | 69.9412 | 69.9331 | 69.9343 
 49 | 69.934 | 69.9331 | 69.9418 
 50 | 69.9434 | 69.9304 | 69.9416 
 51 | 69.9366 | 69.9351 | 69.9357 
 52 | 69.9406 | 69.9286 | 69.9323 
 53 | 69.9352 | 69.939 | 69.9419 
 54 | 69.9413 | 69.9389 | 69.9361 
 55 | 69.9413 | 69.9383 | 69.9366 
 56 | 69.9355 | 69.9325 | 69.9425 
 57 | 69.9338 | 69.9394 | 69.9321 
 58 | 69.9353 | 69.9332 | 69.9353 
 59 | 69.938 | 69.938 | 69.9389 
 60 | 69.939 | 69.9314 | 69.9351 
 61 | 69.9364 | 69.9339 | 69.9329 
 62 | 69.9398 | 69.9384 | 69.9358 
 63 | 69.9425 | 69.9341 | 69.9406 
 64 | 69.9356 | 69.9324 | 69.937 
 65 | 69.9348 | 69.9286 | 69.9419 
 66 | 69.9334 | 69.9327 | 69.9376 
 67 | 69.9399 | 69.9293 | 69.936 
 68 | 69.9371 | 69.9342 | 69.9375 
 69 | 69.941 | 69.9287 | 69.9341 
 70 | 69.9434 | 69.9284 | 69.932 
 71 | 69.9381 | 69.9323 | 69.9417 
 72 | 69.9429 | 69.937 | 69.9347 
 73 | 69.935 | 69.9333 | 69.9324 
 74 | 69.9389 | 69.9303 | 69.9353 
 75 | 69.9394 | 69.9374 | 69.9341 
 76 | 69.9411 | 69.9399 | 69.9365 
 77 | 69.9448 | 69.9308 | 69.9342 
 78 | 69.9418 | 69.931 | 69.9342 
 79 | 69.9363 | 69.9314 | 69.9412 
 80 | 69.9343 | 69.9305 | 69.9322 
 81 | 69.944 | 69.9327 | 69.9323 
 82 | 69.9343 | 69.9304 | 69.9333 
 83 | 69.9422 | 69.9386 | 69.9421 
 84 | 69.9406 | 69.9378 | 69.9389 
 85 | 69.9419 | 69.9388 | 69.9362 
 86 | 69.9337 | 69.9297 | 69.9359 
 87 | 69.9427 | 69.9305 | 69.9318 
 88 | 69.9404 | 69.9368 | 69.9397 
 89 | 69.9347 | 69.9352 | 69.9393 
 90 | 69.936 | 69.9346 | 69.9394 
 91 | 69.9334 | 69.9336 | 69.9405 
 92 | 69.9404 | 69.9335 | 69.938 
 93 | 69.9372 | 69.9389 | 69.9317 
 94 | 69.9399 | 69.9294 | 69.9424 
 95 | 69.9397 | 69.9384 | 69.9376 
 96 | 69.9373 | 69.932 | 69.9418 
 97 | 69.9356 | 69.9383 | 69.941 
 98 | 69.9373 | 69.9304 | 69.9388 
 99 | 69.9345 | 69.9294 | 69.9348 

