Modelo de colisao|repeticao|simulacao|nó sensor|PRR
0|28|0.1|nó 1|90.8333
0|29|0.1|nó 1|91.13040000000001
0|30|0.1|nó 1|91.29709999999999
0|31|0.1|nó 1|90.997
0|32|0.1|nó 1|91.19709999999999
0|33|0.1|nó 1|91.46379999999999
0|34|0.1|nó 1|90.3968
0|35|0.1|nó 1|92.5975
0|36|0.1|nó 1|90.63329999999999
0|37|0.1|nó 1|91.29709999999999
0|38|0.1|nó 1|91.4305
0|39|0.1|nó 1|90.53020000000001
0|40|0.1|nó 1|92.5975
0|41|0.1|nó 1|91.5639
0|42|0.1|nó 1|90.3301
0|43|0.1|nó 1|90.9637
0|44|0.1|nó 1|91.53049999999999
0|45|0.1|nó 1|90.83030000000001
0|46|0.1|nó 1|91.9306
0|47|0.1|nó 1|91.59719999999999
0|48|0.1|nó 1|91.79729999999999
0|49|0.1|nó 1|91.19709999999999
0|50|0.1|nó 1|91.03030000000001
0|51|0.1|nó 1|91.9973
0|52|0.1|nó 1|90.83030000000001
0|53|0.1|nó 1|90.3
0|54|0.1|nó 1|90.6969
0|55|0.1|nó 1|91.53049999999999
0|56|0.1|nó 1|91.1637
0|57|0.1|nó 1|91.964
0|58|0.1|nó 1|89.2631
0|59|0.1|nó 1|91.13040000000001
0|60|0.1|nó 1|91.26379999999999
0|61|0.1|nó 1|91.76389999999999
0|62|0.1|nó 1|91.29709999999999
0|63|0.1|nó 1|90.93329999999999
0|64|0.1|nó 1|90.6302
0|65|0.1|nó 1|91.46379999999999
0|66|0.1|nó 1|91.89729999999999
0|67|0.1|nó 1|92.16409999999999
0|68|0.1|nó 1|90.6969
0|69|0.1|nó 1|90.4301
0|70|0.1|nó 1|91.59719999999999
0|71|0.1|nó 1|90.9303
0|72|0.1|nó 1|90.3968
0|73|0.1|nó 1|91.09700000000001
0|74|0.1|nó 1|91.9973
0|75|0.1|nó 1|92.69760000000001
0|76|0.1|nó 1|90.79690000000001
0|77|0.1|nó 1|90.5969
0|78|0.1|nó 1|91.26379999999999
0|79|0.1|nó 1|92.06400000000001
0|80|0.1|nó 1|91.76389999999999
0|81|0.1|nó 1|90.9637
0|82|0.1|nó 1|90.3
0|83|0.1|nó 1|91.09700000000001
0|84|0.1|nó 1|92.0667
0|85|0.1|nó 1|92.3308
0|86|0.1|nó 1|91.33040000000001
0|87|0.1|nó 1|91.4305
0|88|0.1|nó 1|90.3968
0|89|0.1|nó 1|92.2641
0|90|0.1|nó 1|90.46350000000001
0|91|0.1|nó 1|90.897
0|92|0.1|nó 1|91.5639
0|93|0.1|nó 1|90.03
0|94|0.1|nó 1|91.49719999999999
0|95|0.1|nó 1|89.2631
0|96|0.1|nó 1|90.5333
0|97|0.1|nó 1|92.63090000000001
0|98|0.1|nó 1|91.0333
0|99|0.1|nó 1|91.76389999999999
1|0|0.1|nó 1|80.6936
1|1|0.1|nó 1|80.89359999999999
1|2|0.1|nó 1|80.2
1|3|0.1|nó 1|82.1274
1|4|0.1|nó 1|80.5667
1|5|0.1|nó 1|80.3935
1|6|0.1|nó 1|81.2938
1|7|0.1|nó 1|80.06
1|8|0.1|nó 1|79.5599
1|9|0.1|nó 1|82.39410000000001
1|10|0.1|nó 1|79.4932
1|11|0.1|nó 1|78.9597
1|12|0.1|nó 1|80.8603
1|13|0.1|nó 1|79.6265
1|14|0.1|nó 1|79.25979999999998
1|15|0.1|nó 1|79.7266
