CastaliaResults -i saida.txt -s Packets received per node -n --all -o2                                                                       

Application:Packets received per node
 | index=1 | index=2 | index=3 | index=4 | index=5
InterfModel=0 | 2846.92 | 2945.6 | 4220.05 | 5613.7 | 5296.66 
InterfModel=1 | 2667.12 | 2756.01 | 3583.9 | 4018.02 | 3361.07 
InterfModel=2 | 2758.13 | 2951.2 | 4020.12 | 5019.09 | 4353.61 
Application:Packets received per node - all values
 | index=1 | index=2 | index=3 | index=4 | index=5
InterfModel=0 0 | 2825 | 2945 | 4223 | 5686 | 5295 
InterfModel=0 1 | 2836 | 2958 | 4216 | 5681 | 5258 
InterfModel=0 2 | 2856 | 2937 | 4195 | 5521 | 5285 
InterfModel=0 3 | 2864 | 2938 | 4213 | 5520 | 5385 
InterfModel=0 4 | 2860 | 2946 | 4238 | 5373 | 5453 
InterfModel=0 5 | 2852 | 2944 | 4212 | 5593 | 5322 
InterfModel=0 6 | 2856 | 2947 | 4184 | 5633 | 5332 
InterfModel=0 7 | 2857 | 2952 | 4247 | 5586 | 5352 
InterfModel=0 8 | 2854 | 2966 | 4219 | 5612 | 5246 
InterfModel=0 9 | 2851 | 2933 | 4162 | 5593 | 5479 
InterfModel=0 10 | 2826 | 2941 | 4174 | 5625 | 5349 
InterfModel=0 11 | 2842 | 2941 | 4226 | 5548 | 5341 
InterfModel=0 12 | 2851 | 2943 | 4244 | 5472 | 5401 
InterfModel=0 13 | 2856 | 2943 | 4177 | 5691 | 5309 
InterfModel=0 14 | 2827 | 2949 | 4207 | 5553 | 5490 
InterfModel=0 15 | 2846 | 2951 | 4204 | 5722 | 5150 
InterfModel=0 16 | 2830 | 2929 | 4243 | 5574 | 5384 
InterfModel=0 17 | 2866 | 2946 | 4212 | 5618 | 5208 
InterfModel=0 18 | 2839 | 2943 | 4263 | 5569 | 5222 
InterfModel=0 19 | 2871 | 2931 | 4239 | 5643 | 5249 
InterfModel=0 20 | 2854 | 2952 | 4238 | 5637 | 5256 
InterfModel=0 21 | 2867 | 2952 | 4231 | 5635 | 5320 
InterfModel=0 22 | 2834 | 2945 | 4211 | 5665 | 5295 
