CastaliaResults -i saida.txt -s Consumed Energy -n --all -o2                                                             

ResourceManager:Consumed Energy
 | node=0 | node=1 | node=2 | node=3 | node=4 | node=5
InterfModel=0 | 0.933 | 0.245 | 0.248 | 0.241 | 0.244 | 0.241 
InterfModel=1 | 0.933 | 0.244 | 0.248 | 0.241 | 0.244 | 0.242 
InterfModel=2 | 0.933 | 0.244 | 0.248 | 0.241 | 0.244 | 0.242 
ResourceManager:Consumed Energy - all values
 | node=0 | node=1 | node=2 | node=3 | node=4 | node=5
InterfModel=0 0 | 0.93251 | 0.244096 | 0.247874 | 0.239688 | 0.243229 | 0.242308 
InterfModel=0 1 | 0.932505 | 0.245073 | 0.248221 | 0.241474 | 0.243343 | 0.241401 
InterfModel=0 2 | 0.932474 | 0.244956 | 0.247733 | 0.242039 | 0.243647 | 0.242855 
InterfModel=0 3 | 0.932491 | 0.24342 | 0.247573 | 0.239859 | 0.245725 | 0.24156 
InterfModel=0 4 | 0.932567 | 0.245429 | 0.248208 | 0.241615 | 0.244287 | 0.241407 
InterfModel=0 5 | 0.932527 | 0.244528 | 0.248341 | 0.240942 | 0.243086 | 0.241296 
InterfModel=0 6 | 0.932537 | 0.244283 | 0.247836 | 0.241668 | 0.243746 | 0.241257 
InterfModel=0 7 | 0.932501 | 0.243878 | 0.247673 | 0.2417 | 0.242865 | 0.240842 
InterfModel=0 8 | 0.932552 | 0.243859 | 0.247987 | 0.241531 | 0.244292 | 0.241345 
InterfModel=0 9 | 0.932489 | 0.244404 | 0.247894 | 0.242037 | 0.243566 | 0.242939 
InterfModel=0 10 | 0.93245 | 0.244417 | 0.247832 | 0.242042 | 0.244062 | 0.241556 
InterfModel=0 11 | 0.932568 | 0.24438 | 0.247701 | 0.241044 | 0.245146 | 0.243102 
InterfModel=0 12 | 0.93248 | 0.245026 | 0.247593 | 0.239581 | 0.243799 | 0.241935 
InterfModel=0 13 | 0.932504 | 0.243353 | 0.24826 | 0.241955 | 0.244813 | 0.242872 
InterfModel=0 14 | 0.932457 | 0.243672 | 0.247535 | 0.24098 | 0.243959 | 0.242253 
InterfModel=0 15 | 0.932494 | 0.244872 | 0.247042 | 0.241403 | 0.243726 | 0.240873 
InterfModel=0 16 | 0.932433 | 0.244835 | 0.247598 | 0.24158 | 0.244161 | 0.239431 
InterfModel=0 17 | 0.932468 | 0.244398 | 0.247188 | 0.241274 | 0.24404 | 0.239792 
InterfModel=0 18 | 0.932566 | 0.245643 | 0.248244 | 0.242851 | 0.244782 | 0.241021 
InterfModel=0 19 | 0.932545 | 0.24308 | 0.247833 | 0.240532 | 0.243477 | 0.241093 
InterfModel=0 20 | 0.932455 | 0.243831 | 0.247301 | 0.240769 | 0.245262 | 0.239577 
InterfModel=0 21 | 0.932575 | 0.246029 | 0.248135 | 0.240017 | 0.243696 | 0.242531 
InterfModel=0 22 | 0.932458 | 0.243936 | 0.247264 | 0.240976 | 0.244705 | 0.241688 
InterfModel=0 23 | 0.932573 | 0.24489 | 0.247922 | 0.239761 | 0.245898 | 0.241512 
InterfModel=0 24 | 0.932551 | 0.244876 | 0.247895 | 0.240581 | 0.24356 | 0.241488 
