CastaliaResults -i saida.txt -s Estimated network lifetime --all -o2                                                                     

ResourceManager:Estimated network lifetime (days)
 | InterfModel=0 | InterfModel=1 | InterfModel=2
 | 69.94 | 69.936 | 69.938 
ResourceManager:Estimated network lifetime (days) - all values
 | InterfModel=0 | InterfModel=1 | InterfModel=2
 0 | 69.9405 | 69.9321 | 69.9342 
 1 | 69.94 | 69.9323 | 69.9395 
 2 | 69.9442 | 69.9407 | 69.9404 
 3 | 69.9425 | 69.9325 | 69.9424 
 4 | 69.9355 | 69.9354 | 69.9429 
 5 | 69.9382 | 69.9373 | 69.9403 
 6 | 69.9373 | 69.9395 | 69.9344 
 7 | 69.94 | 69.9358 | 69.9354 
 8 | 69.9363 | 69.9384 | 69.94 
 9 | 69.9411 | 69.9371 | 69.9374 
 10 | 69.944 | 69.9343 | 69.9393 
 11 | 69.9352 | 69.939 | 69.937 
 12 | 69.9416 | 69.9417 | 69.9387 
 13 | 69.9399 | 69.9325 | 69.9332 
 14 | 69.9432 | 69.9311 | 69.9356 
 15 | 69.941 | 69.9422 | 69.9398 
 16 | 69.9452 | 69.9405 | 69.9352 
 17 | 69.9426 | 69.9337 | 69.94 
 18 | 69.9354 | 69.9352 | 69.9351 
 19 | 69.9367 | 69.9358 | 69.9416 
 20 | 69.9434 | 69.9329 | 69.9426 
 21 | 69.9343 | 69.9418 | 69.9414 
 22 | 69.9445 | 69.9327 | 69.9394 
 23 | 69.9346 | 69.9315 | 69.9421 
 24 | 69.936 | 69.9411 | 69.9333 
 25 | 69.9363 | 69.9314 | 69.9336 
 26 | 69.9425 | 69.9346 | 69.9366 
 27 | 69.9391 | 69.932 | 69.9357 
 28 | 69.9392 | 69.9335 | 69.9427 
 29 | 69.9389 | 69.9371 | 69.9356 
 30 | 69.9404 | 69.9396 | 69.9346 
 31 | 69.9376 | 69.9338 | 69.9352 
 32 | 69.9367 | 69.9308 | 69.9387 
 33 | 69.9352 | 69.9353 | 69.939 
 34 | 69.9354 | 69.9341 | 69.9335 
 35 | 69.9379 | 69.9393 | 69.933 
 36 | 69.9381 | 69.94 | 69.9343 
 37 | 69.9443 | 69.9325 | 69.9361 
 38 | 69.9421 | 69.9362 | 69.9346 
 39 | 69.9446 | 69.9407 | 69.9425 
 40 | 69.9421 | 69.9371 | 69.9363 
 41 | 69.9418 | 69.9399 | 69.9403 
 42 | 69.9439 | 69.9395 | 69.9437 
 43 | 69.942 | 69.9344 | 69.9426 
 44 | 69.938 | 69.9412 | 69.935 
 45 | 69.9364 | 69.9377 | 69.9394 
 46 | 69.9428 | 69.9345 | 69.9342 
 47 | 69.9391 | 69.9375 | 69.9428 
 48 | 69.9419 | 69.9352 | 69.9355 
 49 | 69.9352 | 69.9352 | 69.9429 
 50 | 69.9444 | 69.9326 | 69.9427 
 51 | 69.9375 | 69.9373 | 69.9372 
 52 | 69.9415 | 69.9308 | 69.9336 
 53 | 69.9361 | 69.9412 | 69.9431 
 54 | 69.9423 | 69.9411 | 69.9375 
 55 | 69.9422 | 69.9404 | 69.9379 
 56 | 69.9365 | 69.9349 | 69.9438 
 57 | 69.9346 | 69.9417 | 69.9331 
 58 | 69.9362 | 69.9353 | 69.9365 
 59 | 69.9391 | 69.9404 | 69.9401 
 60 | 69.9398 | 69.9339 | 69.9362 
 61 | 69.9373 | 69.9363 | 69.9342 
 62 | 69.9409 | 69.9405 | 69.9371 
 63 | 69.9433 | 69.9364 | 69.9415 
 64 | 69.9365 | 69.9349 | 69.9384 
 65 | 69.9355 | 69.9311 | 69.9433 
 66 | 69.9345 | 69.935 | 69.9388 
 67 | 69.9409 | 69.9316 | 69.9373 
 68 | 69.9379 | 69.9365 | 69.9388 
 69 | 69.9418 | 69.9313 | 69.9354 
 70 | 69.9444 | 69.9309 | 69.9333 
 71 | 69.9391 | 69.9346 | 69.9428 
 72 | 69.944 | 69.9394 | 69.9359 
 73 | 69.936 | 69.9358 | 69.9336 
 74 | 69.9398 | 69.9325 | 69.9364 
 75 | 69.9405 | 69.9398 | 69.9352 
 76 | 69.9419 | 69.9419 | 69.9378 
 77 | 69.9457 | 69.9327 | 69.9358 
 78 | 69.9425 | 69.9331 | 69.9353 
 79 | 69.9371 | 69.9335 | 69.9423 
 80 | 69.9353 | 69.9328 | 69.9333 
 81 | 69.945 | 69.9352 | 69.9335 
 82 | 69.9352 | 69.9327 | 69.9347 
 83 | 69.9429 | 69.9411 | 69.9433 
 84 | 69.9415 | 69.94 | 69.9403 
 85 | 69.9428 | 69.9414 | 69.9372 
 86 | 69.9345 | 69.932 | 69.9371 
 87 | 69.9436 | 69.9328 | 69.9331 
 88 | 69.9414 | 69.9389 | 69.9409 
 89 | 69.9357 | 69.9375 | 69.9408 
 90 | 69.9368 | 69.9367 | 69.9405 
 91 | 69.9345 | 69.936 | 69.9416 
 92 | 69.9414 | 69.936 | 69.9392 
 93 | 69.938 | 69.9411 | 69.933 
 94 | 69.941 | 69.9319 | 69.9435 
 95 | 69.9406 | 69.9407 | 69.939 
 96 | 69.9382 | 69.9342 | 69.9432 
 97 | 69.9366 | 69.9406 | 69.9422 
 98 | 69.938 | 69.9325 | 69.9401 
 99 | 69.9353 | 69.9317 | 69.9361 

