CastaliaResults -i saida.txt -s Packets received per node -n --all -o2                                                                       

Application:Packets received per node
 | index=1 | index=2 | index=3 | index=4 | index=5
InterfModel=0 82 | 2843 | 2871 | 4305 | 6243 | 6232 
InterfModel=0 83 | 2868 | 2863 | 4300 | 6271 | 6144 
InterfModel=0 84 | 2834 | 2894 | 4284 | 6386 | 6100 
InterfModel=0 85 | 2857 | 2876 | 4311 | 6346 | 6078 
InterfModel=0 86 | 2846 | 2875 | 4266 | 6388 | 6145 
InterfModel=0 87 | 2861 | 2876 | 4296 | 6226 | 6143 
InterfModel=0 88 | 2817 | 2878 | 4282 | 6398 | 6070 
InterfModel=0 89 | 2850 | 2862 | 4286 | 6353 | 6137 
InterfModel=0 90 | 2840 | 2869 | 4305 | 6260 | 6164 
InterfModel=0 91 | 2852 | 2859 | 4270 | 6381 | 6106 
InterfModel=0 92 | 2842 | 2871 | 4264 | 6399 | 6178 
InterfModel=0 93 | 2852 | 2876 | 4288 | 6338 | 6161 
InterfModel=0 94 | 2840 | 2850 | 4282 | 6408 | 6224 
InterfModel=0 95 | 2854 | 2872 | 4330 | 6344 | 6130 
InterfModel=0 96 | 2839 | 2883 | 4289 | 6224 | 6207 
InterfModel=0 97 | 2855 | 2874 | 4292 | 6311 | 6231 
InterfModel=0 98 | 2836 | 2871 | 4298 | 6282 | 6179 
InterfModel=0 99 | 2842 | 2857 | 4287 | 6366 | 6242 
InterfModel=1 0 | 2690 | 2712 | 4119 | 5490 | 5271 
InterfModel=1 1 | 2693 | 2713 | 4118 | 5684 | 5180 
InterfModel=1 2 | 2690 | 2702 | 4109 | 5685 | 5200 
InterfModel=1 3 | 2704 | 2712 | 4091 | 5499 | 5332 
InterfModel=1 4 | 2683 | 2719 | 4082 | 5615 | 5281 
InterfModel=1 5 | 2697 | 2717 | 4118 | 5565 | 5301 
InterfModel=1 6 | 2703 | 2695 | 4108 | 5575 | 5282 
InterfModel=1 7 | 2717 | 2720 | 4090 | 5520 | 5433 
InterfModel=1 8 | 2692 | 2731 | 4088 | 5542 | 5419 
InterfModel=1 9 | 2700 | 2716 | 4110 | 5510 | 5192 
InterfModel=1 10 | 2702 | 2742 | 4094 | 5536 | 5302 
InterfModel=1 11 | 2715 | 2708 | 4085 | 5511 | 5298 
InterfModel=1 12 | 2695 | 2731 | 4090 | 5647 | 5229 
InterfModel=1 13 | 2692 | 2696 | 4110 | 5508 | 5323 
InterfModel=1 14 | 2695 | 2735 | 4124 | 5481 | 5324 
InterfModel=1 15 | 2689 | 2740 | 4083 | 5601 | 5273 
InterfModel=1 16 | 2691 | 2735 | 4145 | 5525 | 5288 
InterfModel=1 17 | 2720 | 2736 | 4106 | 5663 | 5313 
InterfModel=1 18 | 2688 | 2720 | 4160 | 5459 | 5336 
InterfModel=1 19 | 2721 | 2724 | 4117 | 5539 | 5409 
InterfModel=1 20 | 2702 | 2714 | 4116 | 5566 | 5265 
InterfModel=1 21 | 2689 | 2708 | 4114 | 5442 | 5435 
InterfModel=1 22 | 2709 | 2701 | 4099 | 5749 | 5175 
InterfModel=1 23 | 2683 | 2726 | 4089 | 5431 | 5446 
InterfModel=1 24 | 2705 | 2759 | 4103 | 5581 | 5240 
InterfModel=1 25 | 2714 | 2711 | 4076 | 5525 | 5292 
InterfModel=1 26 | 2710 | 2734 | 4139 | 5639 | 5257 
InterfModel=1 27 | 2710 | 2700 | 4092 | 5656 | 5347 
InterfModel=1 28 | 2700 | 2744 | 4114 | 5453 | 5424 
InterfModel=1 29 | 2700 | 2729 | 4148 | 5688 | 5232 
InterfModel=1 30 | 2703 | 2723 | 4106 | 5559 | 5402 
InterfModel=1 31 | 2718 | 2726 | 4080 | 5589 | 5295 
InterfModel=1 32 | 2707 | 2709 | 4089 | 5480 | 5356 
InterfModel=1 33 | 2700 | 2739 | 4126 | 5641 | 5305 
InterfModel=1 34 | 2709 | 2710 | 4111 | 5582 | 5249 
InterfModel=1 35 | 2687 | 2720 | 4096 | 5617 | 5346 
InterfModel=1 36 | 2702 | 2714 | 4141 | 5461 | 5395 
InterfModel=1 37 | 2704 | 2749 | 4106 | 5540 | 5351 
InterfModel=1 38 | 2704 | 2737 | 4115 | 5601 | 5310 
InterfModel=1 39 | 2708 | 2746 | 4102 | 5521 | 5285 
InterfModel=1 40 | 2706 | 2738 | 4095 | 5620 | 5275 
InterfModel=1 41 | 2713 | 2720 | 4096 | 5506 | 5324 
InterfModel=1 42 | 2669 | 2734 | 4105 | 5502 | 5477 
InterfModel=1 43 | 2690 | 2727 | 4083 | 5601 | 5315 
InterfModel=1 44 | 2689 | 2704 | 4141 | 5620 | 5227 
InterfModel=1 45 | 2723 | 2731 | 4115 | 5528 | 5391 
InterfModel=1 46 | 2702 | 2724 | 4096 | 5476 | 5359 
InterfModel=1 47 | 2698 | 2741 | 4067 | 5595 | 5320 
InterfModel=1 48 | 2713 | 2727 | 4146 | 5512 | 5270 
InterfModel=1 49 | 2701 | 2739 | 4113 | 5569 | 5367 
InterfModel=1 50 | 2711 | 2715 | 4080 | 5575 | 5362 
InterfModel=1 51 | 2713 | 2727 | 4120 | 5590 | 5276 
InterfModel=1 52 | 2733 | 2719 | 4111 | 5512 | 5294 
InterfModel=1 53 | 2711 | 2747 | 4103 | 5514 | 5297 
InterfModel=1 54 | 2726 | 2736 | 4113 | 5584 | 5347 
InterfModel=1 55 | 2714 | 2758 | 4135 | 5538 | 5384 
InterfModel=1 56 | 2699 | 2723 | 4101 | 5536 | 5394 
InterfModel=1 57 | 2722 | 2699 | 4112 | 5557 | 5263 
InterfModel=1 58 | 2727 | 2700 | 4120 | 5556 | 5255 
InterfModel=1 59 | 2732 | 2732 | 4134 | 5509 | 5328 
InterfModel=1 60 | 2726 | 2718 | 4086 | 5624 | 5281 
InterfModel=1 61 | 2689 | 2698 | 4121 | 5486 | 5232 
InterfModel=1 62 | 2712 | 2745 | 4137 | 5573 | 5307 
InterfModel=1 63 | 2710 | 2744 | 4102 | 5428 | 5408 
InterfModel=1 64 | 2709 | 2728 | 4126 | 5610 | 5356 
