CastaliaResults -i saida.txt -s Packets reception rate -n --all -o2                                                                    

Application:Packets reception rate - total
 | index=1 | index=2 | index=3 | index=4 | index=5
InterfModel=0 64 | 0.949316 | 0.957319 | 0.949544 | 0.846113 | 0.825043 
InterfModel=0 65 | 0.952651 | 0.956986 | 0.953101 | 0.8452 | 0.820909 
InterfModel=0 66 | 0.946649 | 0.956652 | 0.957556 | 0.853714 | 0.804507 
InterfModel=0 67 | 0.947983 | 0.957986 | 0.955546 | 0.842246 | 0.826377 
InterfModel=0 68 | 0.949316 | 0.957986 | 0.953323 | 0.855714 | 0.789172 
InterfModel=0 69 | 0.949316 | 0.957986 | 0.953333 | 0.849047 | 0.830777 
InterfModel=0 70 | 0.946982 | 0.956652 | 0.954879 | 0.86143 | 0.806908 
InterfModel=0 71 | 0.950317 | 0.959653 | 0.956435 | 0.844513 | 0.817576 
InterfModel=0 72 | 0.933978 | 0.952651 | 0.948878 | 0.853067 | 0.832778 
InterfModel=0 73 | 0.949983 | 0.956319 | 0.952656 | 0.849333 | 0.820619 
InterfModel=0 74 | 0.943981 | 0.956986 | 0.952878 | 0.853847 | 0.807682 
InterfModel=0 75 | 0.945315 | 0.951333 | 0.9511 | 0.85238 | 0.814509 
InterfModel=0 76 | 0.944315 | 0.958986 | 0.952434 | 0.853314 | 0.803307 
InterfModel=0 77 | 0.940647 | 0.956667 | 0.959769 | 0.850113 | 0.8176 
InterfModel=0 78 | 0.94098 | 0.957319 | 0.950667 | 0.833044 | 0.829467 
InterfModel=0 79 | 0.949316 | 0.959653 | 0.950211 | 0.852514 | 0.812108 
InterfModel=0 80 | 0.947983 | 0.956319 | 0.953323 | 0.860915 | 0.792906 
InterfModel=0 81 | 0.951651 | 0.962321 | 0.955323 | 0.844513 | 0.813708 
InterfModel=0 82 | 0.947667 | 0.957319 | 0.956879 | 0.832622 | 0.831044 
InterfModel=0 83 | 0.956319 | 0.954652 | 0.955768 | 0.836356 | 0.819309 
InterfModel=0 84 | 0.944667 | 0.964988 | 0.952212 | 0.85158 | 0.813442 
InterfModel=0 85 | 0.952651 | 0.958667 | 0.958213 | 0.846246 | 0.810616 
InterfModel=0 86 | 0.948983 | 0.958653 | 0.948211 | 0.851733 | 0.819443 
InterfModel=0 87 | 0.953985 | 0.958667 | 0.954879 | 0.830355 | 0.819176 
InterfModel=0 88 | 0.939313 | 0.959653 | 0.951767 | 0.85318 | 0.809549 
InterfModel=0 89 | 0.950317 | 0.954318 | 0.952444 | 0.847067 | 0.818267 
InterfModel=0 90 | 0.946982 | 0.956652 | 0.956879 | 0.834778 | 0.821976 
InterfModel=0 91 | 0.950984 | 0.953318 | 0.9491 | 0.851027 | 0.814242 
InterfModel=0 92 | 0.947649 | 0.957 | 0.947766 | 0.853314 | 0.823843 
InterfModel=0 93 | 0.950984 | 0.958986 | 0.953101 | 0.845292 | 0.821576 
InterfModel=0 94 | 0.946982 | 0.950317 | 0.951767 | 0.854514 | 0.829977 
InterfModel=0 95 | 0.951651 | 0.957653 | 0.962436 | 0.845979 | 0.817442 
InterfModel=0 96 | 0.946333 | 0.96132 | 0.953323 | 0.829977 | 0.82771 
InterfModel=0 97 | 0.951984 | 0.958319 | 0.95399 | 0.841579 | 0.830911 
InterfModel=0 98 | 0.945333 | 0.957 | 0.955323 | 0.837823 | 0.824086 
