CastaliaResults -i saida.txt -s Energy nJ/bit -n --all -o2                                                           

Application:Energy nJ/bit
 | node=1 | node=2 | node=3 | node=4 | node=5
InterfModel=0 67 | 102.17 | 102.776 | 66.5771 | 46.2316 | 46.648 
InterfModel=0 68 | 102.685 | 102.875 | 67.5279 | 45.6702 | 48.1384 
InterfModel=0 69 | 102.887 | 103.037 | 67.2765 | 45.4346 | 46.5394 
InterfModel=0 70 | 102.403 | 102.897 | 66.7152 | 45.3895 | 47.3368 
InterfModel=0 71 | 102.547 | 102.803 | 67.0711 | 46.2546 | 47.2984 
InterfModel=0 72 | 104.316 | 103.525 | 67.9939 | 45.5915 | 46.1266 
InterfModel=0 73 | 101.866 | 103.227 | 67.184 | 45.9234 | 46.888 
InterfModel=0 74 | 102.671 | 102.981 | 67.3886 | 45.6178 | 47.5236 
InterfModel=0 75 | 103.576 | 103.647 | 67.3096 | 45.7626 | 47.432 
InterfModel=0 76 | 103.817 | 102.872 | 67.2989 | 45.6302 | 47.8917 
InterfModel=0 77 | 103.618 | 103.014 | 67.0915 | 45.9132 | 47.1646 
InterfModel=0 78 | 104.034 | 102.914 | 67.6173 | 46.5859 | 46.3083 
InterfModel=0 79 | 102.819 | 102.54 | 67.6461 | 45.7811 | 47.4402 
InterfModel=0 80 | 102.389 | 103.27 | 67.5152 | 45.0323 | 48.3144 
InterfModel=0 81 | 102.78 | 102.135 | 67.6171 | 46.1135 | 47.4736 
InterfModel=0 82 | 102.633 | 102.847 | 67.1123 | 46.6025 | 46.4205 
InterfModel=0 83 | 101.353 | 103.411 | 67.2255 | 46.5276 | 46.8795 
InterfModel=0 84 | 102.597 | 102.184 | 67.7527 | 45.6884 | 47.2145 
InterfModel=0 85 | 102.587 | 102.782 | 66.9122 | 46.0872 | 47.4456 
InterfModel=0 86 | 102.887 | 103.024 | 67.3848 | 45.828 | 47.1873 
InterfModel=0 87 | 102.788 | 102.699 | 67.1291 | 46.902 | 47.1239 
InterfModel=0 88 | 104.357 | 102.961 | 67.1836 | 45.6777 | 47.6899 
InterfModel=0 89 | 102.334 | 103.509 | 67.199 | 45.8807 | 46.9525 
InterfModel=0 90 | 103.058 | 103.083 | 67.1173 | 46.6933 | 46.9414 
InterfModel=0 91 | 101.832 | 103.484 | 67.7264 | 45.8873 | 47.3886 
InterfModel=0 92 | 102.905 | 102.953 | 67.9776 | 45.5626 | 46.9717 
InterfModel=0 93 | 102.053 | 103.025 | 67.6437 | 46.1628 | 46.7912 
InterfModel=0 94 | 103.294 | 103.829 | 67.6899 | 45.6434 | 46.3075 
InterfModel=0 95 | 102.419 | 102.951 | 66.6688 | 46.1407 | 47.0009 
InterfModel=0 96 | 103.002 | 102.777 | 67.4592 | 46.6631 | 46.606 
InterfModel=0 97 | 102.143 | 102.901 | 67.5382 | 46.281 | 46.4731 
InterfModel=0 98 | 102.889 | 102.956 | 67.4786 | 46.7116 | 47.0065 
InterfModel=0 99 | 102.998 | 103.56 | 67.1487 | 45.8514 | 46.7349 
InterfModel=1 0 | 107.775 | 109.178 | 69.9762 | 53.3277 | 54.7213 
InterfModel=1 1 | 108.703 | 108.993 | 70.472 | 51.262 | 55.5657 
InterfModel=1 2 | 108.298 | 109.506 | 69.9826 | 51.1657 | 55.5322 
InterfModel=1 3 | 108.135 | 109.027 | 70.7984 | 53.1835 | 54.1796 
InterfModel=1 4 | 108.805 | 108.686 | 70.888 | 52.0664 | 54.8194 
