CastaliaResults -i saida.txt -s Consumed Energy -n --all -o2                                                             

ResourceManager:Consumed Energy
 | node=0 | node=1 | node=2 | node=3 | node=4 | node=5
InterfModel=0 | 0.932 | 0.245 | 0.248 | 0.242 | 0.245 | 0.243 
InterfModel=1 | 0.933 | 0.245 | 0.248 | 0.242 | 0.245 | 0.243 
InterfModel=2 | 0.932 | 0.245 | 0.248 | 0.242 | 0.245 | 0.243 
ResourceManager:Consumed Energy - all values
 | node=0 | node=1 | node=2 | node=3 | node=4 | node=5
InterfModel=0 0 | 0.932477 | 0.245663 | 0.248583 | 0.241642 | 0.245506 | 0.24251 
InterfModel=0 1 | 0.932468 | 0.246051 | 0.248386 | 0.244109 | 0.245464 | 0.243342 
InterfModel=0 2 | 0.932437 | 0.243817 | 0.248089 | 0.243644 | 0.244683 | 0.243582 
InterfModel=0 3 | 0.932453 | 0.244787 | 0.247943 | 0.241785 | 0.245968 | 0.24299 
InterfModel=0 4 | 0.932533 | 0.245356 | 0.248572 | 0.242986 | 0.245817 | 0.245025 
InterfModel=0 5 | 0.932494 | 0.245362 | 0.248676 | 0.241954 | 0.244164 | 0.242408 
InterfModel=0 6 | 0.932498 | 0.244032 | 0.248377 | 0.24129 | 0.246014 | 0.242177 
InterfModel=0 7 | 0.93247 | 0.24574 | 0.248748 | 0.243955 | 0.245657 | 0.243423 
InterfModel=0 8 | 0.932517 | 0.245017 | 0.248676 | 0.243781 | 0.245526 | 0.241741 
InterfModel=0 9 | 0.932452 | 0.245767 | 0.24861 | 0.242885 | 0.246395 | 0.243735 
InterfModel=0 10 | 0.932415 | 0.245619 | 0.248192 | 0.241332 | 0.245956 | 0.243503 
InterfModel=0 11 | 0.93253 | 0.244682 | 0.24843 | 0.242953 | 0.246201 | 0.242628 
InterfModel=0 12 | 0.932446 | 0.244947 | 0.248131 | 0.241838 | 0.244969 | 0.243379 
InterfModel=0 13 | 0.932472 | 0.246803 | 0.248446 | 0.242992 | 0.245697 | 0.242759 
InterfModel=0 14 | 0.932423 | 0.245413 | 0.248078 | 0.243391 | 0.245469 | 0.243608 
InterfModel=0 15 | 0.932456 | 0.244283 | 0.248275 | 0.242748 | 0.244312 | 0.243321 
InterfModel=0 16 | 0.932401 | 0.244644 | 0.247953 | 0.242224 | 0.245193 | 0.242676 
InterfModel=0 17 | 0.932431 | 0.245557 | 0.247716 | 0.243738 | 0.244201 | 0.240832 
InterfModel=0 18 | 0.932533 | 0.244886 | 0.24861 | 0.240836 | 0.245682 | 0.241407 
InterfModel=0 19 | 0.932513 | 0.244424 | 0.248555 | 0.241714 | 0.245015 | 0.243755 
InterfModel=0 20 | 0.93242 | 0.24465 | 0.248208 | 0.241976 | 0.246105 | 0.243511 
InterfModel=0 21 | 0.932545 | 0.244721 | 0.248484 | 0.24315 | 0.245934 | 0.241917 
InterfModel=0 22 | 0.932425 | 0.245235 | 0.247979 | 0.240763 | 0.24419 | 0.241908 
InterfModel=0 23 | 0.93254 | 0.245528 | 0.248801 | 0.242328 | 0.246579 | 0.241752 
InterfModel=0 24 | 0.93252 | 0.244426 | 0.248615 | 0.242832 | 0.245123 | 0.241937 
InterfModel=0 25 | 0.93252 | 0.245244 | 0.248366 | 0.242931 | 0.245509 | 0.243859 
InterfModel=0 26 | 0.932435 | 0.244418 | 0.248275 | 0.241096 | 0.244295 | 0.240932 
InterfModel=0 27 | 0.932478 | 0.245265 | 0.248153 | 0.241081 | 0.245684 | 0.240567 
InterfModel=0 28 | 0.932482 | 0.24462 | 0.248081 | 0.241107 | 0.244731 | 0.242332 
InterfModel=0 29 | 0.932485 | 0.24585 | 0.247944 | 0.240899 | 0.244832 | 0.243361 
InterfModel=0 30 | 0.932464 | 0.245041 | 0.248588 | 0.241631 | 0.244562 | 0.241776 
InterfModel=0 31 | 0.932497 | 0.245048 | 0.248785 | 0.242152 | 0.245825 | 0.243195 
InterfModel=0 32 | 0.932511 | 0.246524 | 0.248451 | 0.240996 | 0.247002 | 0.243717 
InterfModel=0 33 | 0.932531 | 0.246445 | 0.248663 | 0.241243 | 0.246041 | 0.243907 
InterfModel=0 34 | 0.932537 | 0.244944 | 0.24879 | 0.244142 | 0.246426 | 0.243205 
InterfModel=0 35 | 0.932496 | 0.245033 | 0.249158 | 0.242023 | 0.24532 | 0.242827 
InterfModel=0 36 | 0.932489 | 0.244256 | 0.248615 | 0.242904 | 0.245184 | 0.244173 
InterfModel=0 37 | 0.93241 | 0.24511 | 0.247934 | 0.243966 | 0.244966 | 0.242317 
InterfModel=0 38 | 0.932442 | 0.243667 | 0.248761 | 0.241277 | 0.245041 | 0.239688 
InterfModel=0 39 | 0.932452 | 0.245622 | 0.247875 | 0.242356 | 0.245004 | 0.241264 
InterfModel=0 40 | 0.932439 | 0.24417 | 0.248534 | 0.242034 | 0.245416 | 0.242174 
InterfModel=0 41 | 0.932449 | 0.243626 | 0.248597 | 0.243381 | 0.246176 | 0.242252 
InterfModel=0 42 | 0.932433 | 0.245082 | 0.248251 | 0.243751 | 0.245783 | 0.242873 
InterfModel=0 43 | 0.93244 | 0.244668 | 0.248335 | 0.239349 | 0.245525 | 0.243223 
InterfModel=0 44 | 0.932492 | 0.245371 | 0.247931 | 0.241165 | 0.244361 | 0.243517 
InterfModel=0 45 | 0.932518 | 0.244868 | 0.247968 | 0.241354 | 0.245622 | 0.243883 
InterfModel=0 46 | 0.932432 | 0.246005 | 0.247776 | 0.242299 | 0.244409 | 0.241917 
InterfModel=0 47 | 0.93248 | 0.246129 | 0.247976 | 0.241797 | 0.245699 | 0.242808 
InterfModel=0 48 | 0.93244 | 0.24542 | 0.247983 | 0.242492 | 0.245219 | 0.244365 
InterfModel=0 49 | 0.932533 | 0.244357 | 0.248411 | 0.240606 | 0.245511 | 0.241831 
InterfModel=0 50 | 0.932409 | 0.244545 | 0.248091 | 0.24092 | 0.244366 | 0.241703 
InterfModel=0 51 | 0.932502 | 0.245581 | 0.248425 | 0.241917 | 0.245714 | 0.24014 
InterfModel=0 52 | 0.932444 | 0.245794 | 0.247911 | 0.241552 | 0.244996 | 0.242973 
InterfModel=0 53 | 0.932522 | 0.24602 | 0.248781 | 0.243267 | 0.246063 | 0.242168 
InterfModel=0 54 | 0.932439 | 0.245608 | 0.248067 | 0.241423 | 0.244387 | 0.241837 
InterfModel=0 55 | 0.932442 | 0.245806 | 0.247922 | 0.239678 | 0.244867 | 0.243171 
InterfModel=0 56 | 0.932516 | 0.245632 | 0.248606 | 0.242289 | 0.245593 | 0.243392 
InterfModel=0 57 | 0.932544 | 0.244855 | 0.248636 | 0.242174 | 0.244954 | 0.241826 
