CastaliaResults -i saida.txt -s Packet Breakdown -n --all -o2                                                              

Communication.MAC:Packet breakdown
 | Failed, buffer overflow | Failed, busy channel | Failed, no ack | Success, first try | Success, not first try
InterfModel=0,node=1 | 0 | 17.7 | 33.47 | 2219.68 | 726.87 
InterfModel=0,node=2 | 0 | 19.16 | 12.67 | 2258.64 | 707.38 
InterfModel=0,node=3 | 0.04 | 18.53 | 69.35 | 3468.12 | 938.96 
InterfModel=0,node=4 | 1290.3 | 16.83 | 39.31 | 5062.9 | 1059.23 
InterfModel=0,node=5 | 1462.14 | 15.93 | 76.12 | 4831.15 | 1082.55 
InterfModel=1,node=1 | 0 | 19.81 | 80.33 | 2068.66 | 828.68 
InterfModel=1,node=2 | 0 | 19.77 | 59.2 | 2102.5 | 816.21 
InterfModel=1,node=3 | 2.96 | 19.03 | 132.39 | 3275.72 | 1062.26 
InterfModel=1,node=4 | 2175.65 | 17.57 | 103.05 | 4029.24 | 1141.77 
InterfModel=1,node=5 | 2419.75 | 16.47 | 175.78 | 3678.96 | 1176.23 
InterfModel=2,node=1 | 0 | 18.54 | 61.28 | 2149.17 | 768.56 
InterfModel=2,node=2 | 0 | 19.4 | 7.48 | 2359.1 | 611.78 
InterfModel=2,node=3 | 0.47 | 18.54 | 108.99 | 3361.87 | 1004.45 
InterfModel=2,node=4 | 1740.36 | 17.18 | 65.78 | 4602.7 | 1041.64 
InterfModel=2,node=5 | 2082.7 | 15.93 | 133.59 | 4114.91 | 1120.17 
Communication.MAC:Packet breakdown - all values
 | Failed, buffer overflow | Failed, busy channel | Failed, no ack | Success, first try | Success, not first try
InterfModel=0,node=1 0 | - | 13 | 33 | 2207 | 743 
InterfModel=0,node=1 1 | - | 21 | 39 | 2194 | 743 
InterfModel=0,node=1 2 | - | 20 | 26 | 2223 | 728 
InterfModel=0,node=1 3 | - | 19 | 28 | 2283 | 668 
InterfModel=0,node=1 4 | - | 17 | 37 | 2190 | 755 
InterfModel=0,node=1 5 | - | 21 | 32 | 2287 | 659 
InterfModel=0,node=1 6 | - | 19 | 45 | 2152 | 778 
InterfModel=0,node=1 7 | - | 17 | 40 | 2224 | 716 
InterfModel=0,node=1 8 | - | 16 | 25 | 2199 | 755 
InterfModel=0,node=1 9 | - | 21 | 25 | 2201 | 750 
InterfModel=0,node=1 10 | - | 8 | 34 | 2271 | 684 
InterfModel=0,node=1 11 | - | 13 | 37 | 2197 | 752 
InterfModel=0,node=1 12 | - | 16 | 34 | 2175 | 773 
InterfModel=0,node=1 13 | - | 16 | 50 | 2205 | 727 
InterfModel=0,node=1 14 | - | 19 | 48 | 2199 | 731 
InterfModel=0,node=1 15 | - | 18 | 39 | 2203 | 740 
InterfModel=0,node=1 16 | - | 18 | 35 | 2260 | 684 
InterfModel=0,node=1 17 | - | 23 | 37 | 2184 | 753 
InterfModel=0,node=1 18 | - | 21 | 33 | 2268 | 677 
InterfModel=0,node=1 19 | - | 22 | 29 | 2186 | 760 
InterfModel=0,node=1 20 | - | 14 | 23 | 2263 | 696 
InterfModel=0,node=1 21 | - | 19 | 36 | 2205 | 737 
InterfModel=0,node=1 22 | - | 21 | 29 | 2150 | 796 
InterfModel=0,node=1 23 | - | 13 | 40 | 2236 | 709 
InterfModel=0,node=1 24 | - | 14 | 21 | 2256 | 708 
InterfModel=0,node=1 25 | - | 19 | 44 | 2213 | 723 
InterfModel=0,node=1 26 | - | 19 | 21 | 2289 | 668 
InterfModel=0,node=1 27 | - | 16 | 31 | 2293 | 657 
InterfModel=0,node=1 28 | - | 17 | 41 | 2158 | 782 
InterfModel=0,node=1 29 | - | 21 | 34 | 2233 | 711 
InterfModel=0,node=1 30 | - | 13 | 32 | 2279 | 673 
InterfModel=0,node=1 31 | - | 16 | 29 | 2163 | 791 
InterfModel=0,node=1 32 | - | 26 | 34 | 2119 | 820 
InterfModel=0,node=1 33 | - | 17 | 31 | 2270 | 680 
InterfModel=0,node=1 34 | - | 12 | 34 | 2237 | 716 
