CastaliaResults -i saida.txt -s Estimated network lifetime --all -o2                                                                     

ResourceManager:Estimated network lifetime (days)
 | InterfModel=0 | InterfModel=1 | InterfModel=2
 | 69.939 | 69.936 | 69.938 
ResourceManager:Estimated network lifetime (days) - all values
 | InterfModel=0 | InterfModel=1 | InterfModel=2
 0 | 69.9403 | 69.932 | 69.9342 
 1 | 69.9399 | 69.9322 | 69.9394 
 2 | 69.944 | 69.9407 | 69.9402 
 3 | 69.9426 | 69.9319 | 69.9424 
 4 | 69.9354 | 69.9352 | 69.9427 
 5 | 69.9381 | 69.9371 | 69.94 
 6 | 69.9376 | 69.9392 | 69.9342 
 7 | 69.94 | 69.9354 | 69.9352 
 8 | 69.9363 | 69.9385 | 69.9398 
 9 | 69.9411 | 69.9368 | 69.9375 
 10 | 69.9439 | 69.9342 | 69.9391 
 11 | 69.9353 | 69.9389 | 69.9369 
 12 | 69.9417 | 69.9414 | 69.9386 
 13 | 69.9396 | 69.9321 | 69.9329 
 14 | 69.9433 | 69.9308 | 69.9355 
 15 | 69.9408 | 69.9421 | 69.9397 
 16 | 69.945 | 69.9401 | 69.935 
 17 | 69.9427 | 69.9337 | 69.9396 
 18 | 69.9352 | 69.9348 | 69.9352 
 19 | 69.9368 | 69.9353 | 69.9417 
 20 | 69.9435 | 69.9327 | 69.9426 
 21 | 69.9342 | 69.9417 | 69.9411 
 22 | 69.9444 | 69.9324 | 69.9393 
 23 | 69.9345 | 69.9314 | 69.9419 
 24 | 69.9362 | 69.9407 | 69.9333 
 25 | 69.9362 | 69.9311 | 69.9332 
 26 | 69.9423 | 69.9344 | 69.9364 
 27 | 69.9391 | 69.9317 | 69.9355 
 28 | 69.9391 | 69.9334 | 69.9425 
 29 | 69.9388 | 69.937 | 69.9355 
 30 | 69.9402 | 69.9396 | 69.9345 
 31 | 69.9378 | 69.9336 | 69.935 
 32 | 69.9367 | 69.9304 | 69.9386 
 33 | 69.9353 | 69.935 | 69.9389 
 34 | 69.9353 | 69.9343 | 69.9333 
 35 | 69.9378 | 69.939 | 69.9329 
 36 | 69.9383 | 69.9399 | 69.9341 
 37 | 69.9442 | 69.9321 | 69.9361 
 38 | 69.9419 | 69.9361 | 69.9343 
 39 | 69.9444 | 69.9405 | 69.9425 
 40 | 69.9422 | 69.9369 | 69.9362 
 41 | 69.9415 | 69.9395 | 69.9401 
 42 | 69.944 | 69.9394 | 69.9437 
 43 | 69.9419 | 69.9344 | 69.9426 
 44 | 69.9381 | 69.9409 | 69.9348 
 45 | 69.9364 | 69.9375 | 69.9392 
 46 | 69.9426 | 69.9344 | 69.9341 
 47 | 69.9392 | 69.9376 | 69.9427 
 48 | 69.942 | 69.935 | 69.9353 
 49 | 69.9349 | 69.9351 | 69.943 
 50 | 69.9443 | 69.9324 | 69.9425 
 51 | 69.9374 | 69.9371 | 69.9371 
 52 | 69.9416 | 69.9307 | 69.9334 
 53 | 69.9359 | 69.941 | 69.9433 
 54 | 69.942 | 69.9411 | 69.9373 
 55 | 69.9419 | 69.94 | 69.9377 
 56 | 69.9363 | 69.9347 | 69.9438 
 57 | 69.9345 | 69.9413 | 69.9329 
 58 | 69.936 | 69.9355 | 69.9364 
 59 | 69.9388 | 69.9402 | 69.9401 
 60 | 69.9398 | 69.9335 | 69.936 
 61 | 69.9371 | 69.9358 | 69.934 
 62 | 69.9406 | 69.9402 | 69.9368 
 63 | 69.9432 | 69.9361 | 69.9415 
 64 | 69.9363 | 69.9348 | 69.9383 
 65 | 69.9356 | 69.931 | 69.9432 
 66 | 69.9344 | 69.9346 | 69.9387 
 67 | 69.9407 | 69.9315 | 69.9372 
 68 | 69.9379 | 69.9362 | 69.9386 
 69 | 69.942 | 69.9309 | 69.9353 
 70 | 69.9443 | 69.9307 | 69.9333 
 71 | 69.939 | 69.9345 | 69.9429 
 72 | 69.9438 | 69.9391 | 69.9358 
 73 | 69.9358 | 69.9355 | 69.9333 
 74 | 69.9397 | 69.9322 | 69.9365 
 75 | 69.9404 | 69.9396 | 69.9352 
 76 | 69.942 | 69.9419 | 69.938 
 77 | 69.9455 | 69.9326 | 69.9356 
 78 | 69.9426 | 69.933 | 69.9351 
 79 | 69.9371 | 69.9333 | 69.9424 
 80 | 69.9353 | 69.9326 | 69.9332 
 81 | 69.945 | 69.9349 | 69.9336 
 82 | 69.9353 | 69.9324 | 69.9347 
 83 | 69.9431 | 69.9407 | 69.9431 
 84 | 69.9414 | 69.9401 | 69.94 
 85 | 69.9429 | 69.9412 | 69.9372 
 86 | 69.9345 | 69.9318 | 69.9369 
 87 | 69.9434 | 69.9325 | 69.9332 
 88 | 69.9414 | 69.9388 | 69.9407 
 89 | 69.9356 | 69.9374 | 69.9407 
 90 | 69.9368 | 69.9368 | 69.9405 
 91 | 69.9345 | 69.9356 | 69.9416 
 92 | 69.9414 | 69.9356 | 69.9392 
 93 | 69.9379 | 69.9408 | 69.9331 
 94 | 69.9409 | 69.9312 | 69.9432 
 95 | 69.9405 | 69.9406 | 69.9387 
 96 | 69.9382 | 69.9338 | 69.9429 
 97 | 69.9364 | 69.9403 | 69.9421 
 98 | 69.9381 | 69.9322 | 69.9399 
 99 | 69.9353 | 69.9315 | 69.9358 

