CastaliaResults -i saida.txt -s Estimated network lifetime --all -o2                                                                     

ResourceManager:Estimated network lifetime (days)
 | InterfModel=0 | InterfModel=1 | InterfModel=2
 | 69.938 | 69.93 | 69.936 
ResourceManager:Estimated network lifetime (days) - all values
 | InterfModel=0 | InterfModel=1 | InterfModel=2
 0 | 69.9384 | 69.9267 | 69.9317 
 1 | 69.9382 | 69.926 | 69.9369 
 2 | 69.9422 | 69.9348 | 69.9378 
 3 | 69.9403 | 69.9266 | 69.94 
 4 | 69.9334 | 69.9296 | 69.9404 
 5 | 69.9363 | 69.9315 | 69.9373 
 6 | 69.9354 | 69.9334 | 69.9321 
 7 | 69.9382 | 69.9301 | 69.9328 
 8 | 69.9341 | 69.9328 | 69.9375 
 9 | 69.9389 | 69.9315 | 69.935 
 10 | 69.9419 | 69.9283 | 69.9368 
 11 | 69.9332 | 69.9332 | 69.9348 
 12 | 69.9396 | 69.9362 | 69.9362 
 13 | 69.9377 | 69.9266 | 69.9309 
 14 | 69.9413 | 69.9255 | 69.9329 
 15 | 69.9388 | 69.9365 | 69.9372 
 16 | 69.9431 | 69.9346 | 69.9328 
 17 | 69.9406 | 69.9285 | 69.9376 
 18 | 69.9336 | 69.929 | 69.9326 
 19 | 69.9348 | 69.9298 | 69.9393 
 20 | 69.9417 | 69.927 | 69.9402 
 21 | 69.9323 | 69.9364 | 69.939 
 22 | 69.9425 | 69.9271 | 69.9371 
 23 | 69.9328 | 69.9256 | 69.9397 
 24 | 69.9341 | 69.9351 | 69.9309 
 25 | 69.9345 | 69.9255 | 69.9308 
 26 | 69.9406 | 69.9289 | 69.934 
 27 | 69.9372 | 69.9264 | 69.9334 
 28 | 69.9371 | 69.9279 | 69.9403 
 29 | 69.937 | 69.9315 | 69.9334 
 30 | 69.9382 | 69.9338 | 69.932 
 31 | 69.9355 | 69.9283 | 69.9325 
 32 | 69.9348 | 69.925 | 69.9359 
 33 | 69.933 | 69.9297 | 69.9365 
 34 | 69.9334 | 69.9288 | 69.9313 
 35 | 69.9357 | 69.9334 | 69.9305 
 36 | 69.936 | 69.9337 | 69.9316 
 37 | 69.9427 | 69.9269 | 69.9336 
 38 | 69.9401 | 69.9302 | 69.9322 
 39 | 69.9427 | 69.9348 | 69.9406 
 40 | 69.94 | 69.9313 | 69.9338 
 41 | 69.9398 | 69.934 | 69.9376 
 42 | 69.9421 | 69.9338 | 69.9412 
 43 | 69.9402 | 69.9289 | 69.9401 
 44 | 69.9361 | 69.9354 | 69.9323 
 45 | 69.9344 | 69.9319 | 69.9371 
 46 | 69.9407 | 69.9289 | 69.9318 
 47 | 69.9367 | 69.9319 | 69.9402 
 48 | 69.9399 | 69.9297 | 69.9332 
 49 | 69.9331 | 69.9293 | 69.9408 
 50 | 69.9426 | 69.9266 | 69.9402 
 51 | 69.9353 | 69.9316 | 69.9346 
 52 | 69.9395 | 69.9252 | 69.931 
 53 | 69.9342 | 69.9356 | 69.9408 
 54 | 69.9402 | 69.9355 | 69.935 
 55 | 69.9399 | 69.9342 | 69.9352 
 56 | 69.9345 | 69.929 | 69.9415 
 57 | 69.9323 | 69.9357 | 69.9306 
 58 | 69.9341 | 69.9299 | 69.9342 
 59 | 69.9372 | 69.9343 | 69.9375 
 60 | 69.9381 | 69.9282 | 69.9338 
 61 | 69.9355 | 69.9303 | 69.9317 
 62 | 69.939 | 69.9346 | 69.9345 
 63 | 69.9412 | 69.9311 | 69.9393 
 64 | 69.9343 | 69.9291 | 69.9361 
 65 | 69.9338 | 69.9252 | 69.941 
 66 | 69.9326 | 69.9291 | 69.9363 
 67 | 69.9388 | 69.9258 | 69.935 
 68 | 69.936 | 69.9309 | 69.9361 
 69 | 69.9399 | 69.9252 | 69.933 
 70 | 69.9423 | 69.9252 | 69.9305 
 71 | 69.937 | 69.9286 | 69.9404 
 72 | 69.9421 | 69.9334 | 69.9335 
 73 | 69.934 | 69.93 | 69.931 
 74 | 69.9378 | 69.9266 | 69.9342 
 75 | 69.9385 | 69.9345 | 69.9329 
 76 | 69.9402 | 69.9363 | 69.9353 
 77 | 69.9436 | 69.9269 | 69.9333 
 78 | 69.9407 | 69.9276 | 69.9328 
 79 | 69.9352 | 69.9278 | 69.9401 
 80 | 69.9333 | 69.9273 | 69.9309 
 81 | 69.9431 | 69.9298 | 69.9312 
 82 | 69.9331 | 69.9266 | 69.9324 
 83 | 69.9411 | 69.9354 | 69.9407 
 84 | 69.9396 | 69.9343 | 69.9377 
 85 | 69.941 | 69.9355 | 69.9344 
 86 | 69.9324 | 69.9262 | 69.9348 
 87 | 69.9414 | 69.9274 | 69.9308 
 88 | 69.9395 | 69.9333 | 69.9385 
 89 | 69.9335 | 69.9317 | 69.9384 
 90 | 69.935 | 69.9308 | 69.9383 
 91 | 69.9325 | 69.93 | 69.9392 
 92 | 69.9392 | 69.9301 | 69.9369 
 93 | 69.9361 | 69.9354 | 69.9304 
 94 | 69.939 | 69.9259 | 69.9411 
 95 | 69.9387 | 69.9352 | 69.9367 
 96 | 69.9361 | 69.9284 | 69.9407 
 97 | 69.9345 | 69.9347 | 69.9397 
 98 | 69.9361 | 69.9267 | 69.9375 
 99 | 69.9335 | 69.9261 | 69.9336 

