CastaliaResults -i saida.txt -s Packet Breakdown -n --all -o2                                                              

Communication.MAC:Packet breakdown
 | Failed, buffer overflow | Failed, busy channel | Failed, no ack | Success, first try | Success, not first try
InterfModel=0,node=1 | 0 | 21.68 | 207.59 | 1986.71 | 781.32 
InterfModel=0,node=2 | 0 | 20.85 | 33.48 | 2175.17 | 768.26 
InterfModel=0,node=3 | 57.62 | 17.98 | 400.99 | 3032.76 | 975.61 
InterfModel=0,node=4 | 1679.26 | 21.19 | 60.39 | 4532.42 | 1174.65 
InterfModel=0,node=5 | 1475.5 | 12.29 | 172.42 | 4462.29 | 1345.66 
InterfModel=1,node=1 | 0 | 23.06 | 479.85 | 1609.59 | 883.28 
InterfModel=1,node=2 | 0 | 21.63 | 331.47 | 1711.52 | 932.37 
InterfModel=1,node=3 | 996.23 | 18.93 | 686.15 | 1847.05 | 920.12 
InterfModel=1,node=4 | 2703.36 | 24.25 | 162.21 | 3336.15 | 1240.83 
InterfModel=1,node=5 | 2636.2 | 12.6 | 383.85 | 3051.72 | 1382.73 
InterfModel=2,node=1 | 0 | 20.99 | 433.01 | 1689.8 | 852.36 
InterfModel=2,node=2 | 0 | 23.14 | 94.52 | 2130.14 | 749.86 
InterfModel=2,node=3 | 814.79 | 17.99 | 642.78 | 2059.9 | 932.83 
InterfModel=2,node=4 | 1939.87 | 25.11 | 62.19 | 4419.89 | 1020.52 
InterfModel=2,node=5 | 1393.33 | 13.39 | 142.72 | 4812.4 | 1107.24 
Communication.MAC:Packet breakdown - all values
 | Failed, buffer overflow | Failed, busy channel | Failed, no ack | Success, first try | Success, not first try
InterfModel=0,node=1 0 | - | 22 | 193 | 2001 | 782 
InterfModel=0,node=1 1 | - | 26 | 197 | 2045 | 729 
InterfModel=0,node=1 2 | - | 22 | 189 | 2017 | 765 
InterfModel=0,node=1 3 | - | 22 | 234 | 1978 | 763 
InterfModel=0,node=1 4 | - | 20 | 220 | 1955 | 802 
InterfModel=0,node=1 5 | - | 19 | 218 | 2005 | 756 
InterfModel=0,node=1 6 | - | 22 | 220 | 1893 | 864 
InterfModel=0,node=1 7 | - | 15 | 204 | 2032 | 746 
InterfModel=0,node=1 8 | - | 23 | 211 | 1978 | 785 
InterfModel=0,node=1 9 | - | 24 | 193 | 2003 | 778 
InterfModel=0,node=1 10 | - | 26 | 200 | 2080 | 692 
InterfModel=0,node=1 11 | - | 19 | 195 | 1978 | 807 
InterfModel=0,node=1 12 | - | 26 | 208 | 1967 | 795 
InterfModel=0,node=1 13 | - | 25 | 230 | 1917 | 826 
InterfModel=0,node=1 14 | - | 19 | 213 | 1961 | 805 
InterfModel=0,node=1 15 | - | 20 | 224 | 1940 | 813 
InterfModel=0,node=1 16 | - | 16 | 196 | 1975 | 812 
InterfModel=0,node=1 17 | - | 16 | 244 | 1901 | 836 
InterfModel=0,node=1 18 | - | 27 | 189 | 2049 | 734 
InterfModel=0,node=1 19 | - | 24 | 213 | 1943 | 816 
InterfModel=0,node=1 20 | - | 18 | 189 | 2009 | 780 
InterfModel=0,node=1 21 | - | 17 | 212 | 1941 | 828 
InterfModel=0,node=1 22 | - | 24 | 230 | 1943 | 799 
InterfModel=0,node=1 23 | - | 15 | 207 | 1986 | 789 
InterfModel=0,node=1 24 | - | 20 | 206 | 2044 | 728 
InterfModel=0,node=1 25 | - | 26 | 223 | 2027 | 722 
InterfModel=0,node=1 26 | - | 19 | 200 | 2077 | 702 
InterfModel=0,node=1 27 | - | 17 | 210 | 2041 | 728 
InterfModel=0,node=1 28 | - | 22 | 203 | 1959 | 814 
InterfModel=0,node=1 29 | - | 19 | 181 | 2012 | 786 
InterfModel=0,node=1 30 | - | 21 | 213 | 2048 | 717 
InterfModel=0,node=1 31 | - | 23 | 247 | 1916 | 810 
InterfModel=0,node=1 32 | - | 21 | 223 | 1893 | 860 
InterfModel=0,node=1 33 | - | 20 | 240 | 1994 | 739 
InterfModel=0,node=1 34 | - | 21 | 211 | 2009 | 757 
InterfModel=0,node=1 35 | - | 21 | 207 | 1973 | 797 
InterfModel=0,node=1 36 | - | 22 | 248 | 1880 | 848 
InterfModel=0,node=1 37 | - | 30 | 195 | 1948 | 824 
InterfModel=0,node=1 38 | - | 31 | 179 | 2007 | 780 
InterfModel=0,node=1 39 | - | 27 | 220 | 1928 | 823 
InterfModel=0,node=1 40 | - | 23 | 211 | 1999 | 763 
InterfModel=0,node=1 41 | - | 20 | 220 | 1987 | 770 
InterfModel=0,node=1 42 | - | 26 | 178 | 2062 | 731 
InterfModel=0,node=1 43 | - | 28 | 189 | 1988 | 793 
InterfModel=0,node=1 44 | - | 16 | 187 | 2022 | 773 
InterfModel=0,node=1 45 | - | 20 | 205 | 1999 | 773 
InterfModel=0,node=1 46 | - | 16 | 200 | 2074 | 708 
InterfModel=0,node=1 47 | - | 29 | 207 | 1930 | 833 
InterfModel=0,node=1 48 | - | 23 | 209 | 2032 | 733 
InterfModel=0,node=1 49 | - | 17 | 174 | 2088 | 720 
InterfModel=0,node=1 50 | - | 20 | 186 | 1960 | 831 
InterfModel=0,node=1 51 | - | 21 | 200 | 2051 | 727 
InterfModel=0,node=1 52 | - | 18 | 185 | 1993 | 802 
InterfModel=0,node=1 53 | - | 21 | 190 | 1990 | 798 
InterfModel=0,node=1 54 | - | 29 | 211 | 1970 | 787 
InterfModel=0,node=1 55 | - | 19 | 242 | 1973 | 761 
InterfModel=0,node=1 56 | - | 18 | 193 | 1994 | 791 
