CastaliaResults -i saida.txt -s Consumed Energy -n --all -o2                                                             

ResourceManager:Consumed Energy
 | node=0 | node=1 | node=2 | node=3 | node=4 | node=5
InterfModel=0 55 | 0.932163 | 0.215808 | 0.243584 | 0.227438 | 0.214819 | 0.211786 
InterfModel=0 56 | 0.932216 | 0.212859 | 0.244808 | 0.215391 | 0.223159 | 0.217123 
InterfModel=0 57 | 0.932253 | 0.221963 | 0.245177 | 0.229805 | 0.220995 | 0.218078 
InterfModel=0 58 | 0.932235 | 0.217456 | 0.245168 | 0.223364 | 0.218869 | 0.211905 
InterfModel=0 59 | 0.932187 | 0.217647 | 0.245872 | 0.219968 | 0.216938 | 0.210543 
InterfModel=0 60 | 0.932173 | 0.214932 | 0.244643 | 0.228282 | 0.224605 | 0.217516 
InterfModel=0 61 | 0.932221 | 0.213028 | 0.244617 | 0.21936 | 0.219291 | 0.215761 
InterfModel=0 62 | 0.932184 | 0.210972 | 0.245135 | 0.21787 | 0.218443 | 0.202307 
InterfModel=0 63 | 0.932153 | 0.21918 | 0.245517 | 0.215413 | 0.213889 | 0.213897 
InterfModel=0 64 | 0.932237 | 0.213352 | 0.246416 | 0.224172 | 0.222817 | 0.211551 
InterfModel=0 65 | 0.932247 | 0.218523 | 0.245524 | 0.226474 | 0.219417 | 0.223956 
InterfModel=0 66 | 0.932262 | 0.212347 | 0.245139 | 0.21179 | 0.220154 | 0.210763 
InterfModel=0 67 | 0.932182 | 0.217043 | 0.244632 | 0.221717 | 0.215867 | 0.215221 
InterfModel=0 68 | 0.932211 | 0.213581 | 0.246813 | 0.222728 | 0.218064 | 0.21841 
InterfModel=0 69 | 0.932172 | 0.205267 | 0.245111 | 0.236503 | 0.218737 | 0.229904 
InterfModel=0 70 | 0.932122 | 0.215346 | 0.244582 | 0.240346 | 0.216559 | 0.206259 
InterfModel=0 71 | 0.9322 | 0.220719 | 0.244244 | 0.235204 | 0.215884 | 0.20682 
InterfModel=0 72 | 0.93216 | 0.210779 | 0.243278 | 0.215671 | 0.219616 | 0.210401 
InterfModel=0 73 | 0.932234 | 0.220153 | 0.245288 | 0.222767 | 0.220698 | 0.213673 
InterfModel=0 74 | 0.932188 | 0.20945 | 0.245388 | 0.235231 | 0.217187 | 0.214985 
InterfModel=0 75 | 0.932209 | 0.216922 | 0.244547 | 0.211277 | 0.218327 | 0.225166 
InterfModel=0 76 | 0.93216 | 0.217425 | 0.245132 | 0.207743 | 0.21997 | 0.204141 
InterfModel=0 77 | 0.932124 | 0.213659 | 0.244076 | 0.236755 | 0.2174 | 0.209747 
InterfModel=0 78 | 0.932148 | 0.207059 | 0.245151 | 0.232595 | 0.217209 | 0.212865 
InterfModel=0 79 | 0.93222 | 0.212337 | 0.245024 | 0.233581 | 0.220356 | 0.21413 
InterfModel=0 80 | 0.932238 | 0.213477 | 0.244854 | 0.213605 | 0.223201 | 0.219657 
InterfModel=0 81 | 0.932117 | 0.213678 | 0.245095 | 0.224925 | 0.215677 | 0.214849 
InterfModel=0 82 | 0.932252 | 0.214186 | 0.243586 | 0.23443 | 0.21641 | 0.216637 
InterfModel=0 83 | 0.932148 | 0.224738 | 0.245119 | 0.217685 | 0.217566 | 0.209853 
InterfModel=0 84 | 0.932164 | 0.215845 | 0.244673 | 0.220431 | 0.22084 | 0.209004 
InterfModel=0 85 | 0.932143 | 0.215866 | 0.24385 | 0.222327 | 0.21743 | 0.215194 
InterfModel=0 86 | 0.932251 | 0.223292 | 0.245763 | 0.221269 | 0.221795 | 0.211613 
InterfModel=0 87 | 0.932139 | 0.214132 | 0.24524 | 0.220553 | 0.214734 | 0.226957 
InterfModel=0 88 | 0.932152 | 0.213607 | 0.245154 | 0.216358 | 0.217631 | 0.213194 
InterfModel=0 89 | 0.932247 | 0.221033 | 0.24547 | 0.210848 | 0.219146 | 0.213016 
InterfModel=0 90 | 0.932232 | 0.211706 | 0.244688 | 0.214012 | 0.220709 | 0.213903 
InterfModel=0 91 | 0.93226 | 0.211898 | 0.245495 | 0.241536 | 0.218313 | 0.216399 
InterfModel=0 92 | 0.932172 | 0.216458 | 0.243832 | 0.221264 | 0.221952 | 0.201272 
InterfModel=0 93 | 0.932218 | 0.212586 | 0.245517 | 0.230269 | 0.217333 | 0.213963 
InterfModel=0 94 | 0.932169 | 0.210483 | 0.245702 | 0.229047 | 0.222888 | 0.207365 
InterfModel=0 95 | 0.93217 | 0.210883 | 0.245146 | 0.210006 | 0.220482 | 0.214621 
InterfModel=0 96 | 0.932197 | 0.220494 | 0.244983 | 0.218375 | 0.220594 | 0.213638 
InterfModel=0 97 | 0.932229 | 0.219352 | 0.24414 | 0.223046 | 0.216478 | 0.212535 
InterfModel=0 98 | 0.93221 | 0.222518 | 0.245264 | 0.221302 | 0.219362 | 0.214394 
InterfModel=0 99 | 0.932238 | 0.214004 | 0.24476 | 0.221408 | 0.218596 | 0.212771 
InterfModel=1 0 | 0.932464 | 0.218289 | 0.244974 | 0.22483 | 0.222388 | 0.211892 
InterfModel=1 1 | 0.932461 | 0.217596 | 0.243713 | 0.228952 | 0.223261 | 0.220428 
InterfModel=1 2 | 0.932374 | 0.210804 | 0.246376 | 0.217055 | 0.215786 | 0.21622 
InterfModel=1 3 | 0.932452 | 0.221421 | 0.244963 | 0.228097 | 0.223948 | 0.202627 
InterfModel=1 4 | 0.932413 | 0.210902 | 0.244658 | 0.246946 | 0.215019 | 0.21899 
InterfModel=1 5 | 0.932399 | 0.209552 | 0.245785 | 0.230968 | 0.219698 | 0.208642 
InterfModel=1 6 | 0.932366 | 0.215717 | 0.243758 | 0.249669 | 0.219869 | 0.224538 
InterfModel=1 7 | 0.932416 | 0.209517 | 0.245626 | 0.230373 | 0.216142 | 0.213164 
InterfModel=1 8 | 0.932378 | 0.215774 | 0.244748 | 0.224953 | 0.225969 | 0.207395 
InterfModel=1 9 | 0.9324 | 0.218083 | 0.244512 | 0.235065 | 0.220355 | 0.223865 
InterfModel=1 10 | 0.932436 | 0.218391 | 0.246103 | 0.235025 | 0.218582 | 0.21657 
InterfModel=1 11 | 0.932377 | 0.211682 | 0.24412 | 0.234165 | 0.223638 | 0.219285 
InterfModel=1 12 | 0.932389 | 0.213473 | 0.245036 | 0.236682 | 0.227731 | 0.210357 
InterfModel=1 13 | 0.932458 | 0.221916 | 0.246135 | 0.211164 | 0.216697 | 0.23598 
InterfModel=1 14 | 0.932471 | 0.212607 | 0.245545 | 0.220856 | 0.220184 | 0.214038 
InterfModel=1 15 | 0.932338 | 0.214832 | 0.244905 | 0.236417 | 0.216228 | 0.219739 
InterfModel=1 16 | 0.932344 | 0.215647 | 0.243834 | 0.243831 | 0.219069 | 0.219049 
InterfModel=1 17 | 0.93245 | 0.21415 | 0.245139 | 0.230209 | 0.222765 | 0.209275 
InterfModel=1 18 | 0.932419 | 0.217246 | 0.245612 | 0.238881 | 0.219752 | 0.224371 
InterfModel=1 19 | 0.932418 | 0.220983 | 0.245229 | 0.212378 | 0.219939 | 0.211188 
InterfModel=1 20 | 0.932454 | 0.211139 | 0.244134 | 0.235175 | 0.22264 | 0.223131 
InterfModel=1 21 | 0.932332 | 0.220106 | 0.24402 | 0.225231 | 0.220665 | 0.223841 
InterfModel=1 22 | 0.932446 | 0.22061 | 0.245161 | 0.225031 | 0.225319 | 0.220731 
InterfModel=1 23 | 0.932467 | 0.216537 | 0.243315 | 0.221792 | 0.217515 | 0.222061 
InterfModel=1 24 | 0.932352 | 0.214784 | 0.245139 | 0.217393 | 0.216317 | 0.208643 
InterfModel=1 25 | 0.932483 | 0.21492 | 0.244246 | 0.238345 | 0.218926 | 0.219445 
InterfModel=1 26 | 0.932428 | 0.217336 | 0.245315 | 0.229184 | 0.215644 | 0.221884 
InterfModel=1 27 | 0.932468 | 0.21914 | 0.245321 | 0.208295 | 0.221278 | 0.214409 
InterfModel=1 28 | 0.932443 | 0.215868 | 0.245509 | 0.215517 | 0.219285 | 0.228883 
InterfModel=1 29 | 0.93239 | 0.215187 | 0.245464 | 0.227322 | 0.220856 | 0.219775 
InterfModel=1 30 | 0.932382 | 0.22899 | 0.245189 | 0.224218 | 0.216791 | 0.21581 
InterfModel=1 31 | 0.932459 | 0.20649 | 0.244944 | 0.232177 | 0.222974 | 0.222516 
InterfModel=1 32 | 0.932488 | 0.209405 | 0.244583 | 0.239237 | 0.21688 | 0.219858 
InterfModel=1 33 | 0.932424 | 0.21868 | 0.243683 | 0.23517 | 0.219906 | 0.219312 
InterfModel=1 34 | 0.932437 | 0.215563 | 0.244402 | 0.21848 | 0.217374 | 0.209926 
InterfModel=1 35 | 0.932373 | 0.218383 | 0.244427 | 0.23917 | 0.215439 | 0.210992 
InterfModel=1 36 | 0.932369 | 0.219908 | 0.245328 | 0.217344 | 0.217008 | 0.221751 
InterfModel=1 37 | 0.932465 | 0.218257 | 0.24318 | 0.230011 | 0.220013 | 0.218785 
InterfModel=1 38 | 0.93242 | 0.21932 | 0.245834 | 0.225925 | 0.217675 | 0.220846 
InterfModel=1 39 | 0.932349 | 0.214514 | 0.244777 | 0.209972 | 0.217148 | 0.219701 
InterfModel=1 40 | 0.932393 | 0.212352 | 0.246326 | 0.21751 | 0.22025 | 0.21539 
InterfModel=1 41 | 0.932378 | 0.209274 | 0.244747 | 0.219609 | 0.219329 | 0.219402 
InterfModel=1 42 | 0.932361 | 0.222989 | 0.244016 | 0.235906 | 0.217014 | 0.233566 
InterfModel=1 43 | 0.932427 | 0.215529 | 0.245316 | 0.230247 | 0.226513 | 0.224694 
InterfModel=1 44 | 0.932367 | 0.221631 | 0.244496 | 0.211916 | 0.219719 | 0.218794 
InterfModel=1 45 | 0.932395 | 0.216014 | 0.245837 | 0.242867 | 0.219792 | 0.203003 
InterfModel=1 46 | 0.932432 | 0.215654 | 0.245392 | 0.223488 | 0.21863 | 0.221562 
InterfModel=1 47 | 0.932388 | 0.219966 | 0.244465 | 0.212392 | 0.221634 | 0.221187 
InterfModel=1 48 | 0.932427 | 0.221368 | 0.244582 | 0.215643 | 0.22291 | 0.211007 
InterfModel=1 49 | 0.932428 | 0.216665 | 0.246188 | 0.231798 | 0.218394 | 0.221121 
InterfModel=1 50 | 0.932455 | 0.214428 | 0.244473 | 0.224575 | 0.21735 | 0.229132 
InterfModel=1 51 | 0.93239 | 0.217742 | 0.243426 | 0.231535 | 0.223499 | 0.214125 
InterfModel=1 52 | 0.932487 | 0.210208 | 0.244748 | 0.236183 | 0.219598 | 0.20188 
InterfModel=1 53 | 0.932344 | 0.220796 | 0.244612 | 0.215816 | 0.219946 | 0.213316 
InterfModel=1 54 | 0.932362 | 0.222732 | 0.244368 | 0.240642 | 0.220602 | 0.221904 
InterfModel=1 55 | 0.93238 | 0.212139 | 0.244687 | 0.210176 | 0.222258 | 0.223368 
InterfModel=1 56 | 0.932421 | 0.211959 | 0.245627 | 0.206252 | 0.218924 | 0.216773 
InterfModel=1 57 | 0.932337 | 0.213071 | 0.243103 | 0.214741 | 0.218581 | 0.209709 
InterfModel=1 58 | 0.932417 | 0.218067 | 0.245336 | 0.218245 | 0.220276 | 0.219979 
InterfModel=1 59 | 0.932349 | 0.211605 | 0.243921 | 0.236674 | 0.220132 | 0.218822 
InterfModel=1 60 | 0.932439 | 0.212022 | 0.244227 | 0.242174 | 0.209109 | 0.210219 
InterfModel=1 61 | 0.932411 | 0.205851 | 0.244901 | 0.219994 | 0.218943 | 0.215285 
InterfModel=1 62 | 0.932373 | 0.210259 | 0.243864 | 0.227767 | 0.220928 | 0.223334 
InterfModel=1 63 | 0.932408 | 0.218266 | 0.244912 | 0.217964 | 0.216267 | 0.21242 
InterfModel=1 64 | 0.932428 | 0.211682 | 0.244787 | 0.238334 | 0.215189 | 0.230683 
InterfModel=1 65 | 0.932494 | 0.21038 | 0.245738 | 0.221535 | 0.215142 | 0.225069 
InterfModel=1 66 | 0.93242 | 0.223611 | 0.245221 | 0.222193 | 0.220878 | 0.21946 
InterfModel=1 67 | 0.932473 | 0.220684 | 0.245769 | 0.227012 | 0.224656 | 0.224895 
InterfModel=1 68 | 0.932407 | 0.218198 | 0.245763 | 0.228821 | 0.221432 | 0.220487 
InterfModel=1 69 | 0.932493 | 0.220661 | 0.245177 | 0.24416 | 0.217623 | 0.220476 
InterfModel=1 70 | 0.932478 | 0.223065 | 0.244129 | 0.23388 | 0.220344 | 0.213439 
InterfModel=1 71 | 0.932433 | 0.214498 | 0.245399 | 0.224255 | 0.220267 | 0.213851 
InterfModel=1 72 | 0.932366 | 0.219845 | 0.245042 | 0.227762 | 0.219119 | 0.217196 
InterfModel=1 73 | 0.932425 | 0.212735 | 0.244539 | 0.21369 | 0.219673 | 0.228364 
InterfModel=1 74 | 0.932462 | 0.223928 | 0.244522 | 0.236533 | 0.219196 | 0.212788 
InterfModel=1 75 | 0.932356 | 0.217695 | 0.245503 | 0.22123 | 0.220145 | 0.221235 
InterfModel=1 76 | 0.932328 | 0.21917 | 0.243302 | 0.231559 | 0.223441 | 0.219321 
InterfModel=1 77 | 0.93246 | 0.21242 | 0.243791 | 0.223457 | 0.221476 | 0.207573 
InterfModel=1 78 | 0.932456 | 0.217749 | 0.24468 | 0.252211 | 0.219356 | 0.216001 
InterfModel=1 79 | 0.932435 | 0.221524 | 0.245094 | 0.226833 | 0.218587 | 0.207962 
InterfModel=1 80 | 0.932454 | 0.216046 | 0.246531 | 0.215217 | 0.214962 | 0.21521 
InterfModel=1 81 | 0.932415 | 0.219192 | 0.245398 | 0.23463 | 0.221109 | 0.221565 
InterfModel=1 82 | 0.932459 | 0.218798 | 0.245611 | 0.226553 | 0.214298 | 0.224103 
InterfModel=1 83 | 0.932397 | 0.217658 | 0.244254 | 0.234154 | 0.215894 | 0.226002 
InterfModel=1 84 | 0.932352 | 0.215021 | 0.245559 | 0.229372 | 0.219862 | 0.215814 
InterfModel=1 85 | 0.932381 | 0.210547 | 0.244662 | 0.240245 | 0.215611 | 0.21193 
InterfModel=1 86 | 0.932458 | 0.218264 | 0.245673 | 0.23616 | 0.22034 | 0.217411 
InterfModel=1 87 | 0.932453 | 0.216166 | 0.244165 | 0.243006 | 0.218072 | 0.221667 
InterfModel=1 88 | 0.93238 | 0.220235 | 0.244663 | 0.227955 | 0.221611 | 0.209515 
InterfModel=1 89 | 0.932392 | 0.224949 | 0.245242 | 0.237963 | 0.217108 | 0.232115 
InterfModel=1 90 | 0.932398 | 0.218303 | 0.245054 | 0.235386 | 0.219605 | 0.22193 
InterfModel=1 91 | 0.932407 | 0.214445 | 0.244713 | 0.220085 | 0.223103 | 0.231592 
InterfModel=1 92 | 0.932418 | 0.215794 | 0.244854 | 0.224734 | 0.216363 | 0.214327 
InterfModel=1 93 | 0.932356 | 0.214643 | 0.24485 | 0.232608 | 0.218458 | 0.214749 
InterfModel=1 94 | 0.932465 | 0.212972 | 0.244958 | 0.212333 | 0.219871 | 0.21041 
InterfModel=1 95 | 0.932341 | 0.211525 | 0.244368 | 0.20743 | 0.224736 | 0.211924 
InterfModel=1 96 | 0.932442 | 0.217517 | 0.245018 | 0.225106 | 0.224961 | 0.20416 
InterfModel=1 97 | 0.932345 | 0.21906 | 0.245996 | 0.224189 | 0.222613 | 0.201481 
InterfModel=1 98 | 0.932456 | 0.215609 | 0.244702 | 0.222458 | 0.219177 | 0.227344 
InterfModel=1 99 | 0.932467 | 0.216222 | 0.244362 | 0.23054 | 0.216646 | 0.212525 
InterfModel=2 0 | 0.932321 | 0.217282 | 0.24661 | 0.224207 | 0.21758 | 0.213575 
InterfModel=2 1 | 0.932252 | 0.211678 | 0.24623 | 0.224778 | 0.218802 | 0.220346 
InterfModel=2 2 | 0.932237 | 0.222754 | 0.244312 | 0.217529 | 0.220029 | 0.217268 
InterfModel=2 3 | 0.932237 | 0.219532 | 0.245365 | 0.222471 | 0.222837 | 0.216074 
InterfModel=2 4 | 0.932217 | 0.218751 | 0.245641 | 0.228342 | 0.220513 | 0.206101 
InterfModel=2 5 | 0.932249 | 0.219171 | 0.244341 | 0.217453 | 0.226114 | 0.216229 
InterfModel=2 6 | 0.932322 | 0.209492 | 0.245539 | 0.236744 | 0.223184 | 0.220599 
InterfModel=2 7 | 0.932315 | 0.214344 | 0.244066 | 0.242309 | 0.217037 | 0.209814 
InterfModel=2 8 | 0.932249 | 0.218529 | 0.244188 | 0.218224 | 0.220465 | 0.231655 
InterfModel=2 9 | 0.932282 | 0.218491 | 0.244456 | 0.227519 | 0.221882 | 0.220493 
InterfModel=2 10 | 0.932254 | 0.22724 | 0.245547 | 0.220328 | 0.217219 | 0.214669 
InterfModel=2 11 | 0.932296 | 0.211929 | 0.245571 | 0.212312 | 0.219881 | 0.230006 
InterfModel=2 12 | 0.932261 | 0.217547 | 0.245829 | 0.223878 | 0.21865 | 0.218087 
InterfModel=2 13 | 0.932342 | 0.219128 | 0.245997 | 0.230762 | 0.218397 | 0.217721 
InterfModel=2 14 | 0.932309 | 0.217465 | 0.245542 | 0.220561 | 0.218724 | 0.222733 
InterfModel=2 15 | 0.932265 | 0.222396 | 0.24529 | 0.246337 | 0.219527 | 0.217957 
InterfModel=2 16 | 0.932314 | 0.216841 | 0.244702 | 0.234784 | 0.21714 | 0.206834 
InterfModel=2 17 | 0.932259 | 0.217436 | 0.245909 | 0.224198 | 0.221208 | 0.208622 
InterfModel=2 18 | 0.932326 | 0.215927 | 0.244701 | 0.227414 | 0.221727 | 0.213511 
InterfModel=2 19 | 0.932231 | 0.219972 | 0.245031 | 0.236151 | 0.217655 | 0.221616 
InterfModel=2 20 | 0.932219 | 0.219538 | 0.245186 | 0.231986 | 0.214936 | 0.226885 
InterfModel=2 21 | 0.932255 | 0.211902 | 0.245098 | 0.222115 | 0.220518 | 0.211292 
InterfModel=2 22 | 0.932254 | 0.221596 | 0.245796 | 0.232604 | 0.220026 | 0.227751 
InterfModel=2 23 | 0.932218 | 0.212366 | 0.244485 | 0.221363 | 0.216313 | 0.21528 
InterfModel=2 24 | 0.932338 | 0.218615 | 0.244154 | 0.220548 | 0.221572 | 0.219247 
InterfModel=2 25 | 0.932329 | 0.217755 | 0.246699 | 0.221083 | 0.22237 | 0.207741 
InterfModel=2 26 | 0.93229 | 0.222728 | 0.246172 | 0.227055 | 0.223986 | 0.220665 
InterfModel=2 27 | 0.932306 | 0.22313 | 0.245414 | 0.214096 | 0.22072 | 0.217867 
InterfModel=2 28 | 0.932222 | 0.209555 | 0.246556 | 0.213434 | 0.218135 | 0.209599 
InterfModel=2 29 | 0.932315 | 0.223081 | 0.246261 | 0.222503 | 0.21714 | 0.209495 
InterfModel=2 30 | 0.932314 | 0.214818 | 0.24447 | 0.220829 | 0.219432 | 0.211614 
InterfModel=2 31 | 0.932312 | 0.208952 | 0.24594 | 0.221515 | 0.215498 | 0.214852 
InterfModel=2 32 | 0.932263 | 0.214286 | 0.245152 | 0.219231 | 0.219889 | 0.228961 
InterfModel=2 33 | 0.932272 | 0.215812 | 0.246213 | 0.213658 | 0.213638 | 0.225448 
InterfModel=2 34 | 0.932336 | 0.21379 | 0.245644 | 0.21697 | 0.218636 | 0.210069 
InterfModel=2 35 | 0.932354 | 0.215648 | 0.244361 | 0.223909 | 0.22197 | 0.219494 
InterfModel=2 36 | 0.932323 | 0.210592 | 0.245788 | 0.232916 | 0.217693 | 0.214961 
InterfModel=2 37 | 0.9323 | 0.209612 | 0.243505 | 0.230668 | 0.220005 | 0.225101 
InterfModel=2 38 | 0.932322 | 0.210239 | 0.244963 | 0.22482 | 0.219319 | 0.204595 
InterfModel=2 39 | 0.932223 | 0.21704 | 0.24371 | 0.223465 | 0.21747 | 0.219066 
InterfModel=2 40 | 0.932299 | 0.21387 | 0.246253 | 0.225894 | 0.216431 | 0.219362 
InterfModel=2 41 | 0.932241 | 0.214234 | 0.245075 | 0.228184 | 0.215674 | 0.223819 
InterfModel=2 42 | 0.932239 | 0.218755 | 0.243878 | 0.218346 | 0.225952 | 0.212186 
InterfModel=2 43 | 0.932214 | 0.212138 | 0.245173 | 0.219252 | 0.222244 | 0.217133 
InterfModel=2 44 | 0.932315 | 0.212156 | 0.244343 | 0.214406 | 0.219023 | 0.2199 
InterfModel=2 45 | 0.932248 | 0.222067 | 0.245755 | 0.22806 | 0.215454 | 0.211613 
InterfModel=2 46 | 0.932324 | 0.214163 | 0.245286 | 0.224466 | 0.217635 | 0.238521 
InterfModel=2 47 | 0.932218 | 0.216205 | 0.245086 | 0.222173 | 0.218879 | 0.213968 
InterfModel=2 48 | 0.932306 | 0.219789 | 0.244849 | 0.219536 | 0.218809 | 0.217786 
InterfModel=2 49 | 0.932231 | 0.225361 | 0.244412 | 0.22056 | 0.221789 | 0.217032 
InterfModel=2 50 | 0.93222 | 0.215866 | 0.24551 | 0.219846 | 0.223412 | 0.214706 
InterfModel=2 51 | 0.932284 | 0.216995 | 0.245674 | 0.215489 | 0.21572 | 0.198709 
InterfModel=2 52 | 0.932328 | 0.214237 | 0.244399 | 0.231915 | 0.221388 | 0.218113 
InterfModel=2 53 | 0.932233 | 0.225182 | 0.245798 | 0.235098 | 0.217953 | 0.218149 
InterfModel=2 54 | 0.932282 | 0.215919 | 0.244127 | 0.215337 | 0.221516 | 0.213828 
InterfModel=2 55 | 0.93227 | 0.216812 | 0.244548 | 0.231347 | 0.216837 | 0.217499 
InterfModel=2 56 | 0.9322 | 0.214011 | 0.24487 | 0.220941 | 0.218262 | 0.218661 
