CastaliaResults -i saida.txt -s Packets received per node -n --all -o2                                                                       

Application:Packets received per node
 | index=1 | index=2 | index=3 | index=4 | index=5
InterfModel=0 82 | 2338 | 2769 | 3116 | 5397 | 4135 
InterfModel=0 83 | 2361 | 2781 | 3152 | 5298 | 4024 
InterfModel=0 84 | 2352 | 2741 | 3280 | 5337 | 4225 
InterfModel=0 85 | 2411 | 2754 | 3033 | 5288 | 4308 
InterfModel=0 86 | 2399 | 2753 | 2929 | 5720 | 4107 
InterfModel=0 87 | 2363 | 2713 | 3331 | 5427 | 3999 
InterfModel=0 88 | 2388 | 2742 | 3277 | 5334 | 4353 
InterfModel=0 89 | 2331 | 2764 | 2954 | 5511 | 4196 
InterfModel=0 90 | 2319 | 2762 | 2988 | 5538 | 4072 
InterfModel=0 91 | 2412 | 2763 | 3067 | 5507 | 4074 
InterfModel=0 92 | 2401 | 2716 | 3094 | 5291 | 4240 
InterfModel=0 93 | 2423 | 2740 | 3157 | 5254 | 4004 
InterfModel=0 94 | 2409 | 2758 | 2998 | 5651 | 4081 
InterfModel=0 95 | 2367 | 2768 | 3280 | 5425 | 4048 
InterfModel=0 96 | 2377 | 2747 | 3116 | 5492 | 4300 
InterfModel=0 97 | 2402 | 2736 | 3118 | 5361 | 4286 
InterfModel=0 98 | 2363 | 2765 | 3000 | 5620 | 3979 
InterfModel=0 99 | 2381 | 2718 | 3152 | 5413 | 4353 
InterfModel=1 0 | 1901 | 2213 | 2431 | 3823 | 2288 
InterfModel=1 1 | 1875 | 2175 | 2412 | 3801 | 2341 
InterfModel=1 2 | 1895 | 2168 | 2486 | 3855 | 2120 
InterfModel=1 3 | 1955 | 2209 | 2230 | 3984 | 2382 
InterfModel=1 4 | 1974 | 2242 | 2401 | 4015 | 2170 
InterfModel=1 5 | 1888 | 2258 | 2120 | 3966 | 2346 
InterfModel=1 6 | 1959 | 2184 | 2175 | 4039 | 2287 
InterfModel=1 7 | 1917 | 2180 | 2260 | 3876 | 2323 
InterfModel=1 8 | 1831 | 2193 | 2211 | 4032 | 2330 
InterfModel=1 9 | 1930 | 2168 | 2291 | 4066 | 2156 
InterfModel=1 10 | 1919 | 2175 | 2341 | 3900 | 2243 
InterfModel=1 11 | 1972 | 2176 | 2341 | 3748 | 2266 
InterfModel=1 12 | 1864 | 2183 | 2467 | 3809 | 2210 
InterfModel=1 13 | 1910 | 2194 | 2505 | 3777 | 2233 
InterfModel=1 14 | 2002 | 2163 | 2392 | 4017 | 2214 
InterfModel=1 15 | 1881 | 2183 | 2234 | 4023 | 2410 
InterfModel=1 16 | 1955 | 2263 | 2343 | 3997 | 2232 
InterfModel=1 17 | 1929 | 2134 | 2244 | 3792 | 2272 
InterfModel=1 18 | 1967 | 2182 | 2141 | 3843 | 2609 
InterfModel=1 19 | 1907 | 2182 | 2380 | 3756 | 2377 
InterfModel=1 20 | 1884 | 2198 | 2278 | 3880 | 2300 
InterfModel=1 21 | 1924 | 2167 | 2290 | 4035 | 2304 
InterfModel=1 22 | 1907 | 2183 | 2489 | 4020 | 2233 
InterfModel=1 23 | 1957 | 2197 | 2264 | 3986 | 2295 
InterfModel=1 24 | 1951 | 2173 | 2277 | 3901 | 2154 
InterfModel=1 25 | 1893 | 2113 | 2204 | 3924 | 2276 
InterfModel=1 26 | 1884 | 2213 | 2524 | 3763 | 2293 
InterfModel=1 27 | 1875 | 2191 | 2469 | 3738 | 2246 
InterfModel=1 28 | 1917 | 2185 | 2437 | 3855 | 2234 
InterfModel=1 29 | 1933 | 2204 | 2338 | 4105 | 2219 
InterfModel=1 30 | 1882 | 2176 | 2397 | 3755 | 2222 
InterfModel=1 31 | 1932 | 2159 | 2374 | 3976 | 2198 
InterfModel=1 32 | 1929 | 2173 | 2164 | 3792 | 2398 
InterfModel=1 33 | 1921 | 2202 | 2412 | 3766 | 2263 
InterfModel=1 34 | 1913 | 2134 | 2443 | 3873 | 2173 
InterfModel=1 35 | 1856 | 2184 | 2285 | 3841 | 2330 
InterfModel=1 36 | 1964 | 2211 | 2317 | 3816 | 2191 
InterfModel=1 37 | 1887 | 2198 | 2281 | 3757 | 2389 
InterfModel=1 38 | 1959 | 2181 | 2407 | 3786 | 2099 
InterfModel=1 39 | 1903 | 2159 | 2409 | 3898 | 2325 
InterfModel=1 40 | 1837 | 2244 | 2389 | 3876 | 2365 
InterfModel=1 41 | 1939 | 2117 | 2405 | 3835 | 2230 
InterfModel=1 42 | 1944 | 2234 | 2483 | 3925 | 2132 
