CastaliaResults -i saida.txt -s Consumed Energy -n --all -o2                                                             

ResourceManager:Consumed Energy
 | node=0 | node=1 | node=2 | node=3 | node=4 | node=5
InterfModel=0 | 0.932 | 0.244 | 0.248 | 0.241 | 0.246 | 0.243 
InterfModel=1 | 0.933 | 0.244 | 0.248 | 0.241 | 0.246 | 0.243 
InterfModel=2 | 0.933 | 0.244 | 0.248 | 0.241 | 0.246 | 0.243 
ResourceManager:Consumed Energy - all values
 | node=0 | node=1 | node=2 | node=3 | node=4 | node=5
InterfModel=0 0 | 0.93249 | 0.245265 | 0.248259 | 0.240208 | 0.244875 | 0.242983 
InterfModel=0 1 | 0.932482 | 0.244953 | 0.248075 | 0.240146 | 0.245168 | 0.243308 
InterfModel=0 2 | 0.932448 | 0.244494 | 0.247424 | 0.241277 | 0.244559 | 0.241934 
InterfModel=0 3 | 0.932469 | 0.24579 | 0.2478 | 0.239808 | 0.245525 | 0.241884 
InterfModel=0 4 | 0.932545 | 0.244603 | 0.247724 | 0.241571 | 0.245707 | 0.244246 
InterfModel=0 5 | 0.932504 | 0.243549 | 0.248199 | 0.240354 | 0.246289 | 0.241657 
InterfModel=0 6 | 0.932514 | 0.244185 | 0.24772 | 0.241645 | 0.246791 | 0.243543 
InterfModel=0 7 | 0.932482 | 0.243071 | 0.248081 | 0.240175 | 0.244515 | 0.243164 
InterfModel=0 8 | 0.932531 | 0.245145 | 0.248197 | 0.242022 | 0.245611 | 0.24343 
InterfModel=0 9 | 0.932468 | 0.244835 | 0.247422 | 0.242496 | 0.244531 | 0.243304 
InterfModel=0 10 | 0.932429 | 0.243787 | 0.247364 | 0.241127 | 0.247229 | 0.242414 
InterfModel=0 11 | 0.932546 | 0.243931 | 0.248295 | 0.242715 | 0.246915 | 0.241925 
InterfModel=0 12 | 0.93246 | 0.244367 | 0.247642 | 0.240721 | 0.245191 | 0.243544 
InterfModel=0 13 | 0.932488 | 0.245673 | 0.247596 | 0.240459 | 0.245414 | 0.242701 
InterfModel=0 14 | 0.932436 | 0.243759 | 0.24705 | 0.241095 | 0.244691 | 0.243833 
InterfModel=0 15 | 0.932467 | 0.243179 | 0.247797 | 0.239725 | 0.245408 | 0.243125 
InterfModel=0 16 | 0.932417 | 0.244589 | 0.247628 | 0.241512 | 0.245395 | 0.241061 
InterfModel=0 17 | 0.932445 | 0.245158 | 0.247433 | 0.243522 | 0.245325 | 0.241686 
InterfModel=0 18 | 0.932544 | 0.244652 | 0.247772 | 0.242891 | 0.245551 | 0.24507 
InterfModel=0 19 | 0.932527 | 0.242966 | 0.248236 | 0.242166 | 0.246138 | 0.242311 
InterfModel=0 20 | 0.932436 | 0.24425 | 0.247519 | 0.240296 | 0.24654 | 0.241873 
InterfModel=0 21 | 0.932556 | 0.245546 | 0.247997 | 0.240798 | 0.244445 | 0.243053 
InterfModel=0 22 | 0.932441 | 0.243988 | 0.247673 | 0.240563 | 0.246196 | 0.241132 
InterfModel=0 23 | 0.932554 | 0.24566 | 0.248315 | 0.242364 | 0.246303 | 0.241307 
InterfModel=0 24 | 0.932536 | 0.243482 | 0.248113 | 0.241373 | 0.245882 | 0.242397 
InterfModel=0 25 | 0.932528 | 0.244777 | 0.248083 | 0.243803 | 0.246095 | 0.244486 
InterfModel=0 26 | 0.932451 | 0.24261 | 0.247623 | 0.238551 | 0.245606 | 0.242857 
InterfModel=0 27 | 0.93249 | 0.244136 | 0.247844 | 0.240187 | 0.245042 | 0.243169 
InterfModel=0 28 | 0.932495 | 0.243695 | 0.247592 | 0.243163 | 0.246916 | 0.242781 
