CastaliaResults -i saida.txt -s Packet Breakdown -n --all -o2                                                              

Communication.MAC:Packet breakdown
 | Failed, buffer overflow | Failed, busy channel | Failed, no ack | Success, first try | Success, not first try
InterfModel=0,node=1 70 | - | 16 | 155 | 2068 | 758 
InterfModel=0,node=1 71 | - | 31 | 107 | 2095 | 760 
InterfModel=0,node=1 72 | - | 19 | 146 | 2081 | 752 
InterfModel=0,node=1 73 | - | 19 | 143 | 2102 | 735 
InterfModel=0,node=1 74 | - | 16 | 114 | 2078 | 789 
InterfModel=0,node=1 75 | - | 16 | 144 | 2065 | 773 
InterfModel=0,node=1 76 | - | 20 | 117 | 2060 | 800 
InterfModel=0,node=1 77 | - | 22 | 109 | 2135 | 731 
InterfModel=0,node=1 78 | - | 16 | 114 | 2074 | 793 
InterfModel=0,node=1 79 | - | 18 | 125 | 2137 | 718 
InterfModel=0,node=1 80 | - | 16 | 91 | 2152 | 739 
InterfModel=0,node=1 81 | - | 23 | 102 | 2065 | 807 
InterfModel=0,node=1 82 | - | 22 | 105 | 2022 | 850 
InterfModel=0,node=1 83 | - | 23 | 119 | 2053 | 802 
InterfModel=0,node=1 84 | - | 29 | 128 | 2063 | 778 
InterfModel=0,node=1 85 | - | 14 | 143 | 2112 | 727 
InterfModel=0,node=1 86 | - | 20 | 132 | 2122 | 725 
InterfModel=0,node=1 87 | - | 15 | 128 | 2090 | 764 
InterfModel=0,node=1 88 | - | 17 | 133 | 2128 | 719 
InterfModel=0,node=1 89 | - | 8 | 128 | 2109 | 754 
InterfModel=0,node=1 90 | - | 18 | 120 | 2082 | 779 
InterfModel=0,node=1 91 | - | 19 | 127 | 2114 | 739 
InterfModel=0,node=1 92 | - | 27 | 121 | 2152 | 697 
InterfModel=0,node=1 93 | - | 13 | 108 | 2157 | 721 
InterfModel=0,node=1 94 | - | 16 | 136 | 2068 | 777 
InterfModel=0,node=1 95 | - | 19 | 109 | 2097 | 774 
InterfModel=0,node=1 96 | - | 19 | 114 | 2072 | 794 
InterfModel=0,node=1 97 | - | 16 | 100 | 2132 | 751 
InterfModel=0,node=1 98 | - | 24 | 115 | 2021 | 836 
InterfModel=0,node=1 99 | - | 17 | 104 | 2142 | 736 
InterfModel=0,node=2 0 | - | 24 | 18 | 2242 | 713 
InterfModel=0,node=2 1 | - | 23 | 31 | 2153 | 790 
InterfModel=0,node=2 2 | - | 21 | 29 | 2225 | 722 
InterfModel=0,node=2 3 | - | 26 | 27 | 2213 | 732 
InterfModel=0,node=2 4 | - | 23 | 15 | 2160 | 801 
InterfModel=0,node=2 5 | - | 18 | 17 | 2221 | 742 
InterfModel=0,node=2 6 | - | 18 | 18 | 2266 | 695 
InterfModel=0,node=2 7 | - | 13 | 20 | 2274 | 690 
InterfModel=0,node=2 8 | - | 23 | 18 | 2180 | 777 
InterfModel=0,node=2 9 | - | 24 | 26 | 2116 | 832 
InterfModel=0,node=2 10 | - | 24 | 26 | 2169 | 779 
InterfModel=0,node=2 11 | - | 26 | 25 | 2181 | 767 
InterfModel=0,node=2 12 | - | 19 | 30 | 2155 | 793 
