CastaliaResults -i saida.txt -s Packets reception rate -n --all -o2                                                                    

Application:Packets reception rate - total
 | index=1 | index=2 | index=3 | index=4 | index=5
InterfModel=0 | 0.958 | 0.987 | 0.946 | 0.784 | 0.783 
InterfModel=1 | 0.902 | 0.929 | 0.8 | 0.639 | 0.617 
InterfModel=2 | 0.916 | 0.976 | 0.849 | 0.725 | 0.745 
Application:Packets reception rate - all values
 | index=1 | index=2 | index=3 | index=4 | index=5
InterfModel=0 0 | 0.963988 | 0.986329 | 0.953101 | 0.781438 | 0.777304 
InterfModel=0 1 | 0.955318 | 0.982661 | 0.942209 | 0.785838 | 0.776504 
InterfModel=0 2 | 0.966322 | 0.983661 | 0.936875 | 0.7848 | 0.797173 
InterfModel=0 3 | 0.956986 | 0.985995 | 0.950878 | 0.785438 | 0.77797 
InterfModel=0 4 | 0.952984 | 0.98933 | 0.955323 | 0.77354 | 0.800347 
InterfModel=0 5 | 0.959653 | 0.98933 | 0.944654 | 0.80184 | 0.777141 
InterfModel=0 6 | 0.963988 | 0.988329 | 0.949989 | 0.790239 | 0.782 
InterfModel=0 7 | 0.971324 | 0.98933 | 0.943543 | 0.765969 | 0.799707 
InterfModel=0 8 | 0.954652 | 0.988663 | 0.958435 | 0.767302 | 0.790239 
InterfModel=0 9 | 0.964321 | 0.986329 | 0.949322 | 0.777704 | 0.787438 
InterfModel=0 10 | 0.957986 | 0.987333 | 0.946655 | 0.800213 | 0.761168 
InterfModel=0 11 | 0.96032 | 0.986996 | 0.941765 | 0.802507 | 0.765302 
InterfModel=0 12 | 0.957986 | 0.985328 | 0.944654 | 0.785705 | 0.778637 
InterfModel=0 13 | 0.948316 | 0.987996 | 0.938431 | 0.770903 | 0.779941 
InterfModel=0 14 | 0.946315 | 0.985328 | 0.948433 | 0.777837 | 0.802907 
InterfModel=0 15 | 0.966667 | 0.987996 | 0.9511 | 0.787572 | 0.787305 
InterfModel=0 16 | 0.959987 | 0.987996 | 0.951989 | 0.807282 | 0.760235 
InterfModel=0 17 | 0.954318 | 0.987329 | 0.941987 | 0.783409 | 0.794506 
InterfModel=0 18 | 0.952984 | 0.983661 | 0.945309 | 0.794373 | 0.787172 
InterfModel=0 19 | 0.953 | 0.988996 | 0.939098 | 0.790105 | 0.77277 
InterfModel=0 20 | 0.961654 | 0.987996 | 0.94132 | 0.783276 | 0.775837 
InterfModel=0 21 | 0.960654 | 0.988663 | 0.949778 | 0.782075 | 0.78781 
InterfModel=0 22 | 0.958653 | 0.987333 | 0.943765 | 0.782667 | 0.768338 
InterfModel=0 23 | 0.957319 | 0.986329 | 0.953323 | 0.797706 | 0.787677 
InterfModel=0 24 | 0.955652 | 0.989997 | 0.950878 | 0.784238 | 0.77677 
InterfModel=0 25 | 0.959987 | 0.987996 | 0.94621 | 0.781171 | 0.80104 
InterfModel=0 26 | 0.96032 | 0.986329 | 0.941098 | 0.788105 | 0.779171 
InterfModel=0 27 | 0.952317 | 0.988333 | 0.947544 | 0.780104 | 0.785705 
InterfModel=0 28 | 0.950333 | 0.99133 | 0.942209 | 0.779541 | 0.785838 
InterfModel=0 29 | 0.959653 | 0.988663 | 0.941987 | 0.781838 | 0.783838 
InterfModel=0 30 | 0.960987 | 0.985662 | 0.950878 | 0.795467 | 0.779704 
InterfModel=0 31 | 0.96132 | 0.983328 | 0.943098 | 0.789972 | 0.773836 
InterfModel=0 32 | 0.960654 | 0.985328 | 0.936653 | 0.784342 | 0.780237 
InterfModel=0 33 | 0.955985 | 0.988329 | 0.951545 | 0.77837 | 0.778104 
InterfModel=0 34 | 0.957653 | 0.985328 | 0.951545 | 0.785571 | 0.77237 
InterfModel=0 35 | 0.964321 | 0.987663 | 0.944654 | 0.785171 | 0.787838 
InterfModel=0 36 | 0.954667 | 0.986329 | 0.947099 | 0.784771 | 0.779675 
InterfModel=0 37 | 0.95932 | 0.983328 | 0.939542 | 0.789172 | 0.781037 
InterfModel=0 38 | 0.957986 | 0.987329 | 0.951989 | 0.791067 | 0.777304 
InterfModel=0 39 | 0.960654 | 0.991664 | 0.939987 | 0.771836 | 0.781838 
InterfModel=0 40 | 0.956986 | 0.985995 | 0.938875 | 0.7696 | 0.790611 
InterfModel=0 41 | 0.956986 | 0.986329 | 0.938875 | 0.786105 | 0.770205 
InterfModel=0 42 | 0.958319 | 0.985995 | 0.955546 | 0.767702 | 0.797573 
InterfModel=0 43 | 0.956319 | 0.986333 | 0.941098 | 0.786533 | 0.765835 
InterfModel=0 44 | 0.953651 | 0.987663 | 0.946444 | 0.789944 | 0.774637 
InterfModel=0 45 | 0.959987 | 0.988663 | 0.949322 | 0.782504 | 0.786238 
InterfModel=0 46 | 0.958319 | 0.987663 | 0.950433 | 0.779437 | 0.788238 
InterfModel=0 47 | 0.957986 | 0.984662 | 0.9511 | 0.761835 | 0.804641 
InterfModel=0 48 | 0.961987 | 0.987667 | 0.941987 | 0.777941 | 0.783142 
InterfModel=0 49 | 0.957653 | 0.985662 | 0.952878 | 0.787972 | 0.783705 
InterfModel=0 50 | 0.956319 | 0.98933 | 0.939098 | 0.775273 | 0.797146 
InterfModel=0 51 | 0.957986 | 0.987663 | 0.943988 | 0.781808 | 0.777674 
InterfModel=0 52 | 0.957653 | 0.984662 | 0.940667 | 0.786772 | 0.787438 
InterfModel=0 53 | 0.958667 | 0.986996 | 0.947322 | 0.784371 | 0.784638 
InterfModel=0 54 | 0.960654 | 0.989663 | 0.945988 | 0.777704 | 0.781171 
InterfModel=0 55 | 0.966656 | 0.982661 | 0.938209 | 0.786505 | 0.793172 
InterfModel=0 56 | 0.949983 | 0.985662 | 0.950878 | 0.796506 | 0.772267 
InterfModel=0 57 | 0.955652 | 0.983328 | 0.95599 | 0.791706 | 0.777304 
InterfModel=0 58 | 0.965322 | 0.990664 | 0.946 | 0.787438 | 0.777437 
InterfModel=0 59 | 0.964655 | 0.986329 | 0.949544 | 0.790639 | 0.774873 
InterfModel=0 60 | 0.955985 | 0.989997 | 0.948655 | 0.77517 | 0.810508 
InterfModel=0 61 | 0.968656 | 0.990664 | 0.945543 | 0.768502 | 0.80088 
InterfModel=0 62 | 0.959653 | 0.988329 | 0.952878 | 0.794773 | 0.771436 
InterfModel=0 63 | 0.957667 | 0.987663 | 0.950444 | 0.799573 | 0.770503 
InterfModel=0 64 | 0.961987 | 0.985328 | 0.940876 | 0.768102 | 0.797573 
InterfModel=0 65 | 0.946315 | 0.99133 | 0.947099 | 0.781467 | 0.787172 
InterfModel=0 66 | 0.96032 | 0.985328 | 0.945111 | 0.789572 | 0.781838 
InterfModel=0 67 | 0.956986 | 0.984995 | 0.937764 | 0.779171 | 0.782771 
InterfModel=0 68 | 0.963655 | 0.984662 | 0.952212 | 0.787305 | 0.77634 
InterfModel=0 69 | 0.954652 | 0.986662 | 0.942889 | 0.794773 | 0.762768 
InterfModel=0 70 | 0.950317 | 0.984995 | 0.957768 | 0.788477 | 0.771169 
InterfModel=0 71 | 0.954318 | 0.986996 | 0.940654 | 0.785971 | 0.767969 
InterfModel=0 72 | 0.950984 | 0.987329 | 0.939764 | 0.783333 | 0.776904 
InterfModel=0 73 | 0.952651 | 0.989663 | 0.943765 | 0.7924 | 0.77434 
InterfModel=0 74 | 0.963655 | 0.987329 | 0.949322 | 0.799173 | 0.775807 
InterfModel=0 75 | 0.950317 | 0.981667 | 0.947766 | 0.793039 | 0.785838 
InterfModel=0 76 | 0.960654 | 0.984995 | 0.945988 | 0.783571 | 0.790639 
InterfModel=0 77 | 0.958319 | 0.986333 | 0.951767 | 0.785038 | 0.781867 
InterfModel=0 78 | 0.96032 | 0.984995 | 0.947778 | 0.789439 | 0.776267 
