CastaliaResults -i saida.txt -s Energy nJ/bit -n --all -o2                                                           

Application:Energy nJ/bit
 | node=1 | node=2 | node=3 | node=4 | node=5
InterfModel=0 66 | 101.169 | 99.9469 | 67.9454 | 49.4104 | 49.5931 
InterfModel=0 67 | 101.575 | 99.8511 | 68.2612 | 50.0254 | 49.1276 
InterfModel=0 68 | 100.576 | 99.8366 | 67.4516 | 49.6171 | 49.5314 
InterfModel=0 69 | 102.307 | 99.7208 | 67.5985 | 48.8995 | 50.2824 
InterfModel=0 70 | 102.536 | 99.8428 | 66.8447 | 49.3548 | 49.8796 
InterfModel=0 71 | 101.53 | 99.7835 | 67.9202 | 49.3158 | 50.1615 
InterfModel=0 72 | 101.705 | 99.4983 | 68.2354 | 49.8079 | 49.4389 
InterfModel=0 73 | 102.229 | 99.4361 | 67.9475 | 49.2706 | 49.7351 
InterfModel=0 74 | 100.813 | 99.6381 | 67.8235 | 48.8167 | 49.9295 
InterfModel=0 75 | 102.276 | 100.05 | 67.4796 | 49.1274 | 49.0047 
InterfModel=0 76 | 101.093 | 100.055 | 67.7411 | 49.9934 | 49.0649 
InterfModel=0 77 | 101.196 | 99.7401 | 67.0982 | 49.5197 | 49.3411 
InterfModel=0 78 | 101.43 | 99.8442 | 67.1187 | 49.4521 | 49.4788 
InterfModel=0 79 | 101.26 | 99.427 | 67.5281 | 50.2645 | 49.8194 
InterfModel=0 80 | 100.826 | 99.379 | 67.4045 | 50.0862 | 49.3166 
InterfModel=0 81 | 100.951 | 99.8556 | 67.3051 | 49.4215 | 49.4404 
InterfModel=0 82 | 101.438 | 99.6296 | 67.3897 | 48.8838 | 48.9693 
InterfModel=0 83 | 101.392 | 99.6106 | 67.2897 | 49.9398 | 47.7967 
InterfModel=0 84 | 102.154 | 99.2119 | 68.4569 | 50.3129 | 48.7279 
InterfModel=0 85 | 101.722 | 99.3093 | 66.9607 | 49.7025 | 50.4912 
InterfModel=0 86 | 101.496 | 100.088 | 67.5682 | 50.516 | 48.786 
InterfModel=0 87 | 101.425 | 99.5455 | 66.8263 | 50.1906 | 50.0287 
InterfModel=0 88 | 101.946 | 99.7567 | 67.2936 | 49.7333 | 49.6898 
InterfModel=0 89 | 101.039 | 99.8956 | 68.3146 | 49.838 | 48.1529 
InterfModel=0 90 | 101.511 | 99.6325 | 67.8506 | 49.7941 | 49.1469 
InterfModel=0 91 | 101.562 | 99.3129 | 66.6575 | 48.448 | 50.234 
InterfModel=0 92 | 101.343 | 99.5428 | 67.4941 | 49.9872 | 49.8169 
InterfModel=0 93 | 100.64 | 99.6796 | 68.1285 | 49.754 | 49.7747 
InterfModel=0 94 | 101.798 | 99.7625 | 67.9513 | 51.5329 | 47.18 
InterfModel=0 95 | 101.138 | 99.8426 | 67.852 | 49.5408 | 48.8583 
InterfModel=0 96 | 100.848 | 99.7131 | 67.0337 | 50.9014 | 48.4105 
InterfModel=0 97 | 100.773 | 99.965 | 67.1937 | 49.5038 | 48.9845 
InterfModel=0 98 | 100.954 | 99.5794 | 67.3402 | 48.9536 | 49.3075 
InterfModel=0 99 | 101.11 | 100.01 | 67.6637 | 49.0918 | 49.3217 
InterfModel=1 0 | 107.668 | 104.6 | 78.8559 | 61.4742 | 61.8404 
InterfModel=1 1 | 108.735 | 105.467 | 78.3731 | 60.9098 | 62.5702 
InterfModel=1 2 | 108.54 | 104.969 | 82.809 | 61.9291 | 61.5721 
InterfModel=1 3 | 106.701 | 106.141 | 79.4219 | 59.9052 | 63.0604 
InterfModel=1 4 | 107.082 | 106.264 | 79.0426 | 60.4202 | 63.1435 
InterfModel=1 5 | 107.843 | 105.611 | 81.4542 | 60.6234 | 62.4412 
InterfModel=1 6 | 107.248 | 106.053 | 81.8859 | 59.647 | 63.1064 
InterfModel=1 7 | 106.963 | 105.175 | 77.0147 | 60.9197 | 63.6717 
InterfModel=1 8 | 108.657 | 105.069 | 80.3431 | 60.0054 | 61.6147 
InterfModel=1 9 | 109.478 | 105.968 | 77.7528 | 61.4715 | 61.9923 
InterfModel=1 10 | 107.064 | 106.523 | 79.7739 | 62.4099 | 62.442 
InterfModel=1 11 | 107.424 | 106.224 | 78.2357 | 60.8003 | 64.2113 
InterfModel=1 12 | 108.191 | 106.3 | 79.3456 | 60.7688 | 62.1722 
InterfModel=1 13 | 106.719 | 105.784 | 78.6728 | 60.9971 | 62.8224 
InterfModel=1 14 | 106.456 | 105.293 | 78.9782 | 62.1164 | 62.0696 
InterfModel=1 15 | 108.469 | 106.117 | 78.7989 | 61.5624 | 64.5202 
InterfModel=1 16 | 107.879 | 105.553 | 81.2086 | 60.6385 | 62.8302 
InterfModel=1 17 | 107.799 | 105.619 | 80.9114 | 60.9144 | 63.0598 
InterfModel=1 18 | 107.614 | 105.452 | 80.6382 | 60.963 | 61.6497 
InterfModel=1 19 | 108.909 | 105.719 | 80.8764 | 61.0147 | 62.2045 
InterfModel=1 20 | 108.692 | 105.75 | 83.1219 | 61.1471 | 61.6305 
InterfModel=1 21 | 107.322 | 105.355 | 82.5352 | 62.0445 | 61.4613 
InterfModel=1 22 | 107.838 | 106.457 | 78.9481 | 62.0151 | 62.3246 
InterfModel=1 23 | 107.571 | 106.383 | 77.0628 | 61.2996 | 63.5146 
InterfModel=1 24 | 108.723 | 105.589 | 79.2867 | 60.8551 | 61.2198 
InterfModel=1 25 | 107.303 | 105.995 | 78.0424 | 61.7101 | 61.2008 
InterfModel=1 26 | 107.472 | 105.449 | 78.0843 | 60.9124 | 63.8515 
InterfModel=1 27 | 107.81 | 105.921 | 78.9406 | 61.6695 | 61.9911 
InterfModel=1 28 | 106.809 | 105.844 | 78.8258 | 61.0295 | 61.8352 
InterfModel=1 29 | 107.513 | 106.322 | 78.4064 | 59.7543 | 62.2479 
InterfModel=1 30 | 107.289 | 106.905 | 78.9583 | 61.5428 | 63.3278 
InterfModel=1 31 | 107.396 | 106.696 | 79.0721 | 61.9339 | 63.5314 
InterfModel=1 32 | 108.66 | 104.56 | 81.7912 | 59.8722 | 62.3909 
InterfModel=1 33 | 107.524 | 104.969 | 77.3312 | 59.767 | 63.4254 
InterfModel=1 34 | 106.703 | 105.807 | 80.5112 | 61.3556 | 60.6769 
InterfModel=1 35 | 106.753 | 104.652 | 77.7097 | 61.3138 | 61.5717 
InterfModel=1 36 | 106.988 | 104.392 | 79.3236 | 61.525 | 61.791 
InterfModel=1 37 | 108.53 | 106.092 | 79.7534 | 62.0494 | 62.9364 
InterfModel=1 38 | 107.297 | 107.015 | 83.0505 | 59.9184 | 62.7987 
InterfModel=1 39 | 107.802 | 105.825 | 80.5207 | 61.4416 | 62.3279 
InterfModel=1 40 | 106.941 | 105.792 | 78.7446 | 60.5708 | 63.2881 
InterfModel=1 41 | 108.519 | 106.142 | 79.8552 | 61.8547 | 63.0256 
InterfModel=1 42 | 104.457 | 105.29 | 79.8122 | 60.0047 | 61.7846 
InterfModel=1 43 | 108.753 | 105.361 | 77.5501 | 61.6453 | 62.9757 
InterfModel=1 44 | 105.551 | 105.682 | 77.9897 | 61.6354 | 62.4451 
InterfModel=1 45 | 107.313 | 105.513 | 80.7571 | 61.0847 | 61.6939 
InterfModel=1 46 | 108.306 | 106.063 | 78.346 | 61.1542 | 63.868 
InterfModel=1 47 | 108.011 | 105.637 | 78.4168 | 63.0905 | 62.4403 
InterfModel=1 48 | 106.891 | 106.638 | 80.0924 | 60.4758 | 61.9227 
InterfModel=1 49 | 106.151 | 105.809 | 80.7146 | 60.2051 | 62.6059 
InterfModel=1 50 | 106.636 | 105.406 | 78.3913 | 62.0755 | 60.8861 
InterfModel=1 51 | 107.565 | 104.887 | 78.861 | 61.8617 | 62.2068 
InterfModel=1 52 | 108.765 | 105.798 | 82.5991 | 61.4449 | 61.9343 
InterfModel=1 53 | 107.818 | 105.289 | 78.3738 | 60.7975 | 63.3537 
InterfModel=1 54 | 108.031 | 104.908 | 77.2578 | 61.5969 | 62.4851 
InterfModel=1 55 | 106.324 | 104.904 | 82.3444 | 60.2091 | 61.9349 
InterfModel=1 56 | 107.788 | 106.136 | 79.0115 | 60.2549 | 63.4669 
InterfModel=1 57 | 106.371 | 105.04 | 81.8006 | 61.8479 | 60.8098 
InterfModel=1 58 | 108.605 | 105.165 | 79.9491 | 60.8593 | 62.863 
InterfModel=1 59 | 108.084 | 106.287 | 82.2074 | 61.1047 | 61.761 
InterfModel=1 60 | 108.629 | 105.758 | 79.1349 | 59.7584 | 63.9426 
InterfModel=1 61 | 108.375 | 106.255 | 81.6906 | 62.5505 | 60.9064 
InterfModel=1 62 | 108.603 | 107.244 | 79.4573 | 62.291 | 62.3932 
InterfModel=1 63 | 107.855 | 105.109 | 78.7216 | 61.5068 | 63.6105 
