CastaliaResults -i saida.txt -s Packets loss rate -n --all -o2                                                               

Application:Packets loss rate - total
 | index=1 | index=2 | index=3 | index=4 | index=5
InterfModel=0 | 0.042 | 0.013 | 0.054 | 0.216 | 0.217 
InterfModel=1 | 0.098 | 0.071 | 0.2 | 0.361 | 0.383 
InterfModel=2 | 0.084 | 0.024 | 0.151 | 0.275 | 0.255 
Application:Packets loss rate - all values
 | index=1 | index=2 | index=3 | index=4 | index=5
InterfModel=0 0 | 0.036012 | 0.0136712 | 0.0468993 | 0.218562 | 0.222696 
InterfModel=0 1 | 0.0446815 | 0.0173391 | 0.0577906 | 0.214162 | 0.223496 
InterfModel=0 2 | 0.0336779 | 0.0163388 | 0.0631251 | 0.2152 | 0.202827 
InterfModel=0 3 | 0.0430143 | 0.0140046 | 0.049122 | 0.214562 | 0.22203 
InterfModel=0 4 | 0.0470157 | 0.0106702 | 0.0446766 | 0.22646 | 0.199653 
InterfModel=0 5 | 0.0403468 | 0.0106702 | 0.0553457 | 0.19816 | 0.222859 
InterfModel=0 6 | 0.036012 | 0.0116705 | 0.0500111 | 0.209761 | 0.218 
InterfModel=0 7 | 0.0286762 | 0.0106702 | 0.056457 | 0.234031 | 0.200293 
InterfModel=0 8 | 0.0453485 | 0.0113371 | 0.0415648 | 0.232698 | 0.209761 
InterfModel=0 9 | 0.0356786 | 0.0136712 | 0.050678 | 0.222296 | 0.212562 
InterfModel=0 10 | 0.042014 | 0.0126666 | 0.0533452 | 0.199787 | 0.238832 
InterfModel=0 11 | 0.0396799 | 0.0130044 | 0.0582352 | 0.197493 | 0.234698 
InterfModel=0 12 | 0.042014 | 0.0146716 | 0.0553457 | 0.214295 | 0.221363 
InterfModel=0 13 | 0.0516839 | 0.012004 | 0.0615692 | 0.229097 | 0.220059 
InterfModel=0 14 | 0.0536845 | 0.0146716 | 0.051567 | 0.222163 | 0.197093 
InterfModel=0 15 | 0.0333334 | 0.012004 | 0.0488998 | 0.212428 | 0.212695 
InterfModel=0 16 | 0.0400133 | 0.012004 | 0.0480106 | 0.192718 | 0.239765 
InterfModel=0 17 | 0.0456819 | 0.0126709 | 0.0580129 | 0.216591 | 0.205494 
InterfModel=0 18 | 0.0470157 | 0.0163388 | 0.054691 | 0.205627 | 0.212828 
InterfModel=0 19 | 0.047 | 0.0110037 | 0.0609024 | 0.209895 | 0.22723 
InterfModel=0 20 | 0.0383461 | 0.012004 | 0.0586797 | 0.216724 | 0.224163 
InterfModel=0 21 | 0.0393465 | 0.0113371 | 0.0502222 | 0.217925 | 0.21219 
InterfModel=0 22 | 0.0413471 | 0.0126666 | 0.0562347 | 0.217333 | 0.231662 
InterfModel=0 23 | 0.0426809 | 0.0136712 | 0.0466771 | 0.202294 | 0.212323 
