CastaliaResults -i saida.txt -s Packet Breakdown -n --all -o2                                                              

Communication.MAC:Packet breakdown
 | Failed, buffer overflow | Failed, busy channel | Failed, no ack | Success, first try | Success, not first try
InterfModel=0,node=1 | 0 | 18.33 | 262.99 | 1902.03 | 813.91 
InterfModel=0,node=2 | 0 | 19.96 | 62.25 | 2101.12 | 814.54 
InterfModel=0,node=3 | 24.96 | 16.08 | 482.61 | 2934.03 | 1031.08 
InterfModel=0,node=4 | 1917.14 | 16.17 | 278.72 | 4041.84 | 1213.86 
InterfModel=0,node=5 | 1972.6 | 7.88 | 594.58 | 3608.39 | 1283.83 
InterfModel=1,node=1 | 0 | 19.84 | 588.43 | 1487.75 | 899.8 
InterfModel=1,node=2 | 0 | 19.96 | 415.89 | 1601.24 | 959.82 
InterfModel=1,node=3 | 904.42 | 17.88 | 822.32 | 1767.39 | 956.4 
InterfModel=1,node=4 | 3538.94 | 16.75 | 665.19 | 2131.19 | 1114.53 
InterfModel=1,node=5 | 3820.72 | 7.08 | 1240.74 | 1430.82 | 967.28 
InterfModel=2,node=1 | 0 | 18.64 | 412.72 | 1750.53 | 814.84 
InterfModel=2,node=2 | 0 | 20.93 | 39.95 | 2319.38 | 617.58 
InterfModel=2,node=3 | 332.83 | 15.91 | 669.38 | 2471.04 | 986.59 
InterfModel=2,node=4 | 2434.83 | 15.57 | 403.95 | 3521.83 | 1091.4 
InterfModel=2,node=5 | 2867.99 | 7.2 | 902.24 | 2585.89 | 1103.8 
Communication.MAC:Packet breakdown - all values
 | Failed, buffer overflow | Failed, busy channel | Failed, no ack | Success, first try | Success, not first try
InterfModel=0,node=1 0 | - | 15 | 259 | 1896 | 828 
InterfModel=0,node=1 1 | - | 16 | 266 | 1902 | 813 
InterfModel=0,node=1 2 | - | 21 | 267 | 1869 | 840 
InterfModel=0,node=1 3 | - | 17 | 244 | 1944 | 792 
InterfModel=0,node=1 4 | - | 13 | 296 | 1847 | 841 
InterfModel=0,node=1 5 | - | 22 | 285 | 1925 | 767 
InterfModel=0,node=1 6 | - | 11 | 289 | 1873 | 824 
InterfModel=0,node=1 7 | - | 21 | 279 | 1908 | 790 
InterfModel=0,node=1 8 | - | 22 | 273 | 1840 | 861 
InterfModel=0,node=1 9 | - | 20 | 272 | 1922 | 783 
InterfModel=0,node=1 10 | - | 18 | 271 | 1918 | 789 
InterfModel=0,node=1 11 | - | 22 | 258 | 1836 | 882 
InterfModel=0,node=1 12 | - | 25 | 268 | 1899 | 804 
InterfModel=0,node=1 13 | - | 19 | 263 | 1883 | 832 
InterfModel=0,node=1 14 | - | 19 | 240 | 1935 | 803 
InterfModel=0,node=1 15 | - | 27 | 254 | 1865 | 854 
InterfModel=0,node=1 16 | - | 15 | 253 | 1972 | 757 
InterfModel=0,node=1 17 | - | 25 | 230 | 1901 | 841 
InterfModel=0,node=1 18 | - | 19 | 274 | 1956 | 748 
InterfModel=0,node=1 19 | - | 13 | 267 | 1872 | 847 
InterfModel=0,node=1 20 | - | 14 | 265 | 1923 | 793 
InterfModel=0,node=1 21 | - | 19 | 279 | 1887 | 814 
