CastaliaResults -i saida.txt -s Packets received per node -n --all -o2                                                                       

Application:Packets received per node
 | index=1 | index=2 | index=3 | index=4 | index=5
InterfModel=0 | 2733.99 | 2921.87 | 3998.05 | 5276.7 | 4928.97 
InterfModel=1 | 2421.96 | 2590.25 | 2769.28 | 3288.81 | 2462.11 
InterfModel=2 | 2584.63 | 2938.42 | 3489.75 | 4631.29 | 3722.4 
Application:Packets received per node - all values
 | index=1 | index=2 | index=3 | index=4 | index=5
InterfModel=0 0 | 2741 | 2931 | 4052 | 5388 | 4805 
InterfModel=0 1 | 2724 | 2918 | 4007 | 5308 | 5018 
InterfModel=0 2 | 2725 | 2930 | 4006 | 5353 | 4884 
InterfModel=0 3 | 2748 | 2923 | 4000 | 5405 | 4887 
InterfModel=0 4 | 2708 | 2911 | 4005 | 5206 | 4796 
InterfModel=0 5 | 2711 | 2932 | 4002 | 5351 | 4838 
InterfModel=0 6 | 2719 | 2913 | 3926 | 5233 | 4991 
InterfModel=0 7 | 2717 | 2921 | 3974 | 5334 | 4949 
InterfModel=0 8 | 2719 | 2936 | 3986 | 5395 | 4830 
InterfModel=0 9 | 2722 | 2910 | 3975 | 5263 | 4921 
InterfModel=0 10 | 2719 | 2924 | 3996 | 5257 | 4975 
InterfModel=0 11 | 2731 | 2923 | 3996 | 5296 | 4771 
InterfModel=0 12 | 2724 | 2918 | 3986 | 5283 | 5011 
InterfModel=0 13 | 2738 | 2935 | 4050 | 5278 | 4875 
InterfModel=0 14 | 2766 | 2924 | 3991 | 5311 | 4888 
InterfModel=0 15 | 2742 | 2935 | 4000 | 5392 | 5011 
InterfModel=0 16 | 2742 | 2922 | 4035 | 5242 | 5004 
InterfModel=0 17 | 2756 | 2900 | 3959 | 5219 | 4923 
InterfModel=0 18 | 2717 | 2903 | 3992 | 5365 | 4780 
InterfModel=0 19 | 2740 | 2918 | 3978 | 5361 | 4886 
InterfModel=0 20 | 2736 | 2918 | 3974 | 5181 | 5002 
InterfModel=0 21 | 2724 | 2932 | 4015 | 5228 | 4944 
InterfModel=0 22 | 2736 | 2927 | 3982 | 5264 | 5042 
InterfModel=0 23 | 2725 | 2919 | 4015 | 5323 | 4926 
InterfModel=0 24 | 2718 | 2936 | 3995 | 5272 | 5017 
InterfModel=0 25 | 2727 | 2932 | 3976 | 5392 | 4791 
InterfModel=0 26 | 2735 | 2913 | 3979 | 5356 | 4905 
InterfModel=0 27 | 2718 | 2927 | 4044 | 5337 | 4871 
InterfModel=0 28 | 2725 | 2920 | 3949 | 5218 | 5067 
InterfModel=0 29 | 2733 | 2927 | 3982 | 5366 | 4813 
InterfModel=0 30 | 2738 | 2939 | 3982 | 5551 | 4772 
InterfModel=0 31 | 2729 | 2915 | 3937 | 5369 | 4849 
InterfModel=0 32 | 2735 | 2917 | 3985 | 5193 | 4972 
InterfModel=0 33 | 2743 | 2916 | 3966 | 5136 | 4936 
InterfModel=0 34 | 2711 | 2914 | 4069 | 5188 | 5075 
InterfModel=0 35 | 2777 | 2916 | 4039 | 5321 | 4836 
InterfModel=0 36 | 2719 | 2912 | 3985 | 5127 | 4942 
InterfModel=0 37 | 2738 | 2936 | 4074 | 5439 | 4744 
InterfModel=0 38 | 2742 | 2929 | 3949 | 5252 | 4837 
InterfModel=0 39 | 2715 | 2922 | 3932 | 5294 | 4854 
InterfModel=0 40 | 2777 | 2928 | 3990 | 5208 | 4775 
InterfModel=0 41 | 2746 | 2929 | 3959 | 5294 | 4877 
InterfModel=0 42 | 2709 | 2906 | 4071 | 5330 | 4928 
InterfModel=0 43 | 2728 | 2924 | 4054 | 5432 | 4752 
InterfModel=0 44 | 2745 | 2922 | 3911 | 5296 | 4947 
InterfModel=0 45 | 2724 | 2925 | 3911 | 5189 | 4948 
InterfModel=0 46 | 2757 | 2914 | 4058 | 5180 | 4832 
InterfModel=0 47 | 2747 | 2928 | 3931 | 5179 | 5090 
InterfModel=0 48 | 2753 | 2916 | 4028 | 5223 | 4900 
InterfModel=0 49 | 2735 | 2917 | 4037 | 5204 | 5038 
InterfModel=0 50 | 2730 | 2931 | 4025 | 5251 | 4921 
InterfModel=0 51 | 2759 | 2918 | 4013 | 5259 | 5007 
InterfModel=0 52 | 2724 | 2927 | 3988 | 5231 | 5058 
InterfModel=0 53 | 2709 | 2912 | 4004 | 5353 | 5031 
InterfModel=0 54 | 2720 | 2923 | 4034 | 5319 | 5023 
InterfModel=0 55 | 2745 | 2927 | 3898 | 5186 | 4963 
InterfModel=0 56 | 2734 | 2933 | 4022 | 5339 | 4884 
InterfModel=0 57 | 2758 | 2910 | 3968 | 5287 | 4905 
InterfModel=0 58 | 2677 | 2923 | 3961 | 5182 | 5092 
InterfModel=0 59 | 2733 | 2906 | 4080 | 5273 | 4989 
InterfModel=0 60 | 2737 | 2920 | 3995 | 5257 | 4984 
InterfModel=0 61 | 2752 | 2915 | 4034 | 5314 | 4976 
InterfModel=0 62 | 2738 | 2926 | 4027 | 5101 | 4909 
InterfModel=0 63 | 2728 | 2901 | 3989 | 5312 | 4873 
InterfModel=0 64 | 2718 | 2910 | 4084 | 5217 | 4999 
InterfModel=0 65 | 2743 | 2923 | 4046 | 5336 | 4778 
InterfModel=0 66 | 2756 | 2932 | 4022 | 5261 | 4884 
InterfModel=0 67 | 2764 | 2924 | 3949 | 5174 | 4950 
InterfModel=0 68 | 2720 | 2916 | 4037 | 5170 | 5041 
InterfModel=0 69 | 2712 | 2917 | 3988 | 5287 | 4891 
